pair,date,ref_mode,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
EURJPY,2015-01-09,midpoint,BUY1,BUY,100.0,141.265,140.715,SL,-55.0,-5500.0,85992,86005
EURJPY,2015-01-09,midpoint,SELL1,SELL,130.0,141.265,140.715,TP,55.0,7150.0,85992,86005
EURJPY,2015-01-15,midpoint,BUY1,BUY,100.0,138.386,137.005,SL,-138.1,-13810.0,86136,86145
EURJPY,2015-01-15,midpoint,SELL1,SELL,130.0,138.386,137.005,TP,138.1,17953.0,86136,86145
EURJPY,2015-01-20,midpoint,BUY1,BUY,100.0,136.518,137.02499999999998,TP,50.7,5070.0,86256,86258
EURJPY,2015-01-20,midpoint,SELL1,SELL,130.0,136.518,135.133,TP,138.5,18005.0,86256,86318
EURJPY,2015-01-22,midpoint,BUY1,BUY,100.0,136.874,135.8,SL,-107.4,-10740.0,86304,86318
EURJPY,2015-01-22,midpoint,SELL1,SELL,130.0,136.874,135.8,TP,107.4,13962.0,86304,86318
EURJPY,2015-01-27,midpoint,BUY1,BUY,100.0,133.335,133.911,TP,57.6,5760.0,86424,86432
EURJPY,2015-01-27,midpoint,SELL1,SELL,130.0,133.335,135.224,TIME_EXIT,-188.9,-24557.0,86424,86855
EURJPY,2015-01-28,midpoint,BUY1,BUY,100.0,133.893,132.499,SL,-139.4,-13940.0,86448,86468
EURJPY,2015-01-28,midpoint,SELL1,SELL,130.0,133.893,132.499,TP,139.4,18122.0,86448,86468
EURJPY,2015-02-03,midpoint,BUY1,BUY,100.0,133.332,132.462,SL,-87.0,-8700.0,86592,86596
EURJPY,2015-02-03,midpoint,SELL1,SELL,130.0,133.332,132.462,TP,87.0,11310.0,86592,86596
EURJPY,2015-02-04,midpoint,BUY1,BUY,100.0,134.797,135.391,TP,59.4,5940.0,86616,86785
EURJPY,2015-02-04,midpoint,SELL1,SELL,130.0,134.797,135.36,TIME_EXIT,-56.3,-7319.0,86616,87047
EURJPY,2015-02-06,midpoint,BUY1,BUY,100.0,134.823,135.361,TP,53.8,5380.0,86664,86785
EURJPY,2015-02-06,midpoint,SELL1,SELL,130.0,134.823,134.768,TIME_EXIT,5.5,715.0,86664,87095
EURJPY,2015-02-07,midpoint,BUY1,BUY,100.0,134.73,134.001,SL,-72.9,-7290.0,86688,86747
EURJPY,2015-02-07,midpoint,SELL1,SELL,130.0,134.73,134.001,TP,72.9,9477.0,86688,86747
EURJPY,2015-02-12,midpoint,BUY1,BUY,100.0,135.958,135.031,SL,-92.7,-9270.0,86808,86816
EURJPY,2015-02-12,midpoint,SELL1,SELL,130.0,135.958,135.031,TP,92.7,12051.0,86808,86816
EURJPY,2015-02-13,midpoint,BUY1,BUY,100.0,135.619,134.714,SL,-90.5,-9050.0,86832,86920
EURJPY,2015-02-13,midpoint,SELL1,SELL,130.0,135.619,134.714,TP,90.5,11765.0,86832,86920
EURJPY,2015-02-18,midpoint,BUY1,BUY,100.0,135.945,133.933,SL,-201.2,-20120.0,86952,87013
EURJPY,2015-02-18,midpoint,SELL1,SELL,130.0,135.945,133.933,TP,201.2,26156.0,86952,87013
EURJPY,2015-02-21,midpoint,BUY1,BUY,100.0,135.36,133.547,SL,-181.3,-18130.0,87024,87159
EURJPY,2015-02-21,midpoint,SELL1,SELL,130.0,135.36,133.547,TP,181.3,23569.0,87024,87159
EURJPY,2015-03-03,midpoint,BUY1,BUY,100.0,134.352,133.741,SL,-61.1,-6110.0,87264,87274
EURJPY,2015-03-03,midpoint,SELL1,SELL,130.0,134.352,133.741,TP,61.1,7943.0,87264,87274
EURJPY,2015-03-10,midpoint,BUY1,BUY,100.0,131.57,130.861,SL,-70.9,-7090.0,87432,87442
EURJPY,2015-03-10,midpoint,SELL1,SELL,130.0,131.57,130.861,TP,70.9,9217.0,87432,87442
EURJPY,2015-03-17,midpoint,BUY1,BUY,100.0,128.311,128.98899999999998,TP,67.8,6780.0,87600,87614
EURJPY,2015-03-17,midpoint,SELL1,SELL,130.0,128.311,130.468,TIME_EXIT,-215.7,-28041.0,87600,88031
EURJPY,2015-03-19,midpoint,BUY1,BUY,100.0,130.263,130.677,TIME_EXIT,41.4,4140.0,87648,88079
