pair,date,ref_mode,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
EURUSD,2015-01-05,pivot,BUY1,BUY,100.0,1.19469,1.18677,SL,-79.2,-7920.0,94107,94153
EURUSD,2015-01-05,pivot,SELL1,SELL,130.0,1.19469,1.18677,TP,79.2,10296.0,94107,94153
EURUSD,2015-01-06,pivot,BUY1,BUY,100.0,1.19374,1.18872,SL,-50.2,-5020.0,94131,94143
EURUSD,2015-01-06,pivot,SELL1,SELL,130.0,1.19374,1.18872,TP,50.2,6526.0,94131,94143
EURUSD,2015-01-13,pivot,BUY1,BUY,100.0,1.18319,1.17861,SL,-45.8,-4580.0,94299,94311
EURUSD,2015-01-13,pivot,SELL1,SELL,130.0,1.18319,1.17861,TP,45.8,5954.0,94299,94311
EURUSD,2015-01-17,pivot,BUY1,BUY,100.0,1.15626,1.16687,TP,106.1,10610.0,94395,94505
EURUSD,2015-01-17,pivot,SELL1,SELL,130.0,1.15626,1.146,TP,102.6,13338.0,94395,94529
EURUSD,2015-01-22,pivot,BUY1,BUY,100.0,1.16146,1.15412,SL,-73.4,-7340.0,94515,94528
EURUSD,2015-01-22,pivot,SELL1,SELL,130.0,1.16146,1.15412,TP,73.4,9542.0,94515,94528
EURUSD,2015-01-27,pivot,BUY1,BUY,100.0,1.12496,1.13154,TP,65.8,6580.0,94635,94643
EURUSD,2015-01-27,pivot,SELL1,SELL,130.0,1.12496,1.13877,TIME_EXIT,-138.1,-17953.0,94635,95066
EURUSD,2015-01-28,pivot,BUY1,BUY,100.0,1.13678,1.14425,TP,74.7,7470.0,94659,94816
EURUSD,2015-01-28,pivot,SELL1,SELL,130.0,1.13678,1.13877,TIME_EXIT,-19.9,-2587.0,94659,95090
EURUSD,2015-01-30,pivot,BUY1,BUY,100.0,1.13338,1.13878,TP,54.0,5400.0,94707,94816
EURUSD,2015-01-30,pivot,SELL1,SELL,130.0,1.13338,1.13322,TIME_EXIT,1.6,208.0,94707,95138
EURUSD,2015-02-03,pivot,BUY1,BUY,100.0,1.13386,1.13821,TP,43.5,4350.0,94803,94816
EURUSD,2015-02-03,pivot,SELL1,SELL,130.0,1.13386,1.12922,TP,46.4,6032.0,94803,94959
EURUSD,2015-02-04,pivot,BUY1,BUY,100.0,1.14564,1.13124,SL,-144.0,-14400.0,94827,94850
EURUSD,2015-02-04,pivot,SELL1,SELL,130.0,1.14564,1.13124,TP,144.0,18720.0,94827,94850
EURUSD,2015-02-06,pivot,BUY1,BUY,100.0,1.14705,1.13159,SL,-154.6,-15460.0,94875,94892
EURUSD,2015-02-06,pivot,SELL1,SELL,130.0,1.14705,1.13159,TP,154.6,20098.0,94875,94892
EURUSD,2015-02-10,pivot,BUY1,BUY,100.0,1.13242,1.13795,TP,55.3,5530.0,94971,95033
EURUSD,2015-02-10,pivot,SELL1,SELL,130.0,1.13242,1.12703,TP,53.9,7007.0,94971,95368
