pair,date,ref_mode,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
USDJPY,2015-01-01,pivot,BUY1,BUY,100.0,119.724,120.14,TP,41.6,4160.0,100032,100057
USDJPY,2015-01-01,pivot,SELL1,SELL,130.0,119.724,119.25,TP,47.4,6162.0,100032,100152
USDJPY,2015-01-03,pivot,BUY1,BUY,100.0,120.445,119.805,SL,-64.0,-6400.0,100080,100141
USDJPY,2015-01-03,pivot,SELL1,SELL,130.0,120.445,119.805,TP,64.0,8320.0,100080,100141
USDJPY,2015-01-08,pivot,BUY1,BUY,100.0,119.281,119.848,TP,56.7,5670.0,100200,100206
USDJPY,2015-01-08,pivot,SELL1,SELL,130.0,119.281,118.641,TP,64.0,8320.0,100200,100240
USDJPY,2015-01-15,pivot,BUY1,BUY,100.0,117.431,116.072,SL,-135.9,-13590.0,100368,100390
USDJPY,2015-01-15,pivot,SELL1,SELL,130.0,117.431,116.072,TP,135.9,17667.0,100368,100390
USDJPY,2015-01-21,pivot,BUY1,BUY,100.0,118.657,117.695,SL,-96.2,-9620.0,100512,100515
USDJPY,2015-01-21,pivot,SELL1,SELL,130.0,118.657,117.695,TP,96.2,12506.0,100512,100515
USDJPY,2015-01-30,pivot,BUY1,BUY,100.0,118.27,117.556,SL,-71.4,-7140.0,100728,100738
USDJPY,2015-01-30,pivot,SELL1,SELL,130.0,118.27,117.556,TP,71.4,9282.0,100728,100738
USDJPY,2015-02-03,pivot,BUY1,BUY,100.0,117.595,117.117,SL,-47.8,-4780.0,100824,100828
USDJPY,2015-02-03,pivot,SELL1,SELL,130.0,117.595,117.117,TP,47.8,6214.0,100824,100828
USDJPY,2015-02-11,pivot,BUY1,BUY,100.0,119.36,119.819,TP,45.9,4590.0,101016,101026
USDJPY,2015-02-11,pivot,SELL1,SELL,130.0,119.36,118.399,TP,96.1,12493.0,101016,101139
USDJPY,2015-02-12,pivot,BUY1,BUY,100.0,120.203,119.285,SL,-91.8,-9180.0,101040,101048
USDJPY,2015-02-12,pivot,SELL1,SELL,130.0,120.203,119.285,TP,91.8,11934.0,101040,101048
USDJPY,2015-02-21,pivot,BUY1,BUY,100.0,118.966,119.388,TP,42.2,4220.0,101256,101337
USDJPY,2015-02-21,pivot,SELL1,SELL,130.0,118.966,121.052,TIME_EXIT,-208.6,-27118.0,101256,101687
USDJPY,2015-02-28,pivot,BUY1,BUY,100.0,119.57,119.998,TP,42.8,4280.0,101424,101487
USDJPY,2015-02-28,pivot,SELL1,SELL,130.0,119.57,121.299,TIME_EXIT,-172.9,-22477.0,101424,101855
USDJPY,2015-03-06,pivot,BUY1,BUY,100.0,120.059,120.59400000000001,TP,53.5,5350.0,101568,101581
USDJPY,2015-03-06,pivot,SELL1,SELL,130.0,120.059,119.628,TP,43.1,5603.0,101568,101876
USDJPY,2015-03-07,pivot,BUY1,BUY,100.0,120.827,121.48,TP,65.3,6530.0,101592,101663
USDJPY,2015-03-07,pivot,SELL1,SELL,130.0,120.827,119.897,TP,93.0,12090.0,101592,101876
USDJPY,2015-03-12,pivot,BUY1,BUY,100.0,121.411,121.019,SL,-39.2,-3920.0,101712,101720
USDJPY,2015-03-12,pivot,SELL1,SELL,130.0,121.411,121.019,TP,39.2,5096.0,101712,101720
USDJPY,2015-03-13,pivot,BUY1,BUY,100.0,121.325,120.654,SL,-67.1,-6710.0,101736,101874
USDJPY,2015-03-13,pivot,SELL1,SELL,130.0,121.325,120.654,TP,67.1,8723.0,101736,101874
USDJPY,2015-03-20,pivot,BUY1,BUY,100.0,120.749,119.673,SL,-107.6,-10760.0,101904,101989
