buy_tp_above_yh_pips,sell_sl_above_yh_pips,sell_tp_after_buy_below_yh_pips,above_pivot_days,closed_legs,weighted_total_pips,weighted_buy_pips,weighted_sell_pips,cal_ppd_weighted
150,50,75,3430,6860,-4477.494,-4855.7,378.206,-0.635
150,50,100,3430,6860,-4477.494,-4855.7,378.206,-0.635
150,50,40,3430,6860,-4477.494,-4855.7,378.206,-0.635
150,50,10,3430,6860,-4477.494,-4855.7,378.206,-0.635
150,50,20,3430,6860,-4477.494,-4855.7,378.206,-0.635
150,50,30,3430,6860,-4477.494,-4855.7,378.206,-0.635
150,50,0,3430,6860,-4477.494,-4855.7,378.206,-0.635
150,50,50,3430,6860,-4477.494,-4855.7,378.206,-0.635
20,50,100,3430,6860,-4906.474,-6651.2,1744.726,-0.6959
125,50,30,3430,6860,-4978.294,-5356.5,378.206,-0.706
125,50,10,3430,6860,-4978.294,-5356.5,378.206,-0.706
125,50,100,3430,6860,-4978.294,-5356.5,378.206,-0.706
125,50,75,3430,6860,-4978.294,-5356.5,378.206,-0.706
125,50,0,3430,6860,-4978.294,-5356.5,378.206,-0.706
125,50,20,3430,6860,-4978.294,-5356.5,378.206,-0.706
125,50,50,3430,6860,-4978.294,-5356.5,378.206,-0.706
125,50,40,3430,6860,-4978.294,-5356.5,378.206,-0.706
100,50,20,3430,6860,-5402.194,-5780.4,378.206,-0.7662
100,50,10,3430,6860,-5402.194,-5780.4,378.206,-0.7662
100,50,75,3430,6860,-5402.194,-5780.4,378.206,-0.7662
100,50,50,3430,6860,-5402.194,-5780.4,378.206,-0.7662
100,50,100,3430,6860,-5402.194,-5780.4,378.206,-0.7662
100,50,30,3430,6860,-5402.194,-5780.4,378.206,-0.7662
100,50,0,3430,6860,-5402.194,-5780.4,378.206,-0.7662
100,50,40,3430,6860,-5402.194,-5780.4,378.206,-0.7662
20,50,75,3430,6860,-5650.313,-6651.2,1000.887,-0.8013
75,50,75,3430,6860,-5996.394,-6374.6,378.206,-0.8504
75,50,40,3430,6860,-5996.394,-6374.6,378.206,-0.8504
75,50,30,3430,6860,-5996.394,-6374.6,378.206,-0.8504
75,50,20,3430,6860,-5996.394,-6374.6,378.206,-0.8504
75,50,0,3430,6860,-5996.394,-6374.6,378.206,-0.8504
75,50,10,3430,6860,-5996.394,-6374.6,378.206,-0.8504
75,50,50,3430,6860,-5996.394,-6374.6,378.206,-0.8504
75,50,100,3430,6860,-5996.394,-6374.6,378.206,-0.8504
150,100,20,3430,6860,-6226.792,-4855.7,-1371.092,-0.8831
150,100,50,3430,6860,-6226.792,-4855.7,-1371.092,-0.8831
150,100,40,3430,6860,-6226.792,-4855.7,-1371.092,-0.8831
150,100,75,3430,6860,-6226.792,-4855.7,-1371.092,-0.8831
150,100,30,3430,6860,-6226.792,-4855.7,-1371.092,-0.8831
150,100,0,3430,6860,-6226.792,-4855.7,-1371.092,-0.8831
150,100,10,3430,6860,-6226.792,-4855.7,-1371.092,-0.8831
150,100,100,3430,6860,-6226.792,-4855.7,-1371.092,-0.8831
10,50,100,3430,6860,-6248.939,-7943.5,1694.561,-0.8862
75,100,30,3430,6860,-6599.009,-6374.6,-224.409,-0.9359
20,50,30,3430,6860,-6609.544,-6651.2,41.656,-0.9374
20,50,50,3430,6860,-6622.752,-6651.2,28.448,-0.9393
20,50,40,3430,6860,-6649.549,-6651.2,1.651,-0.9431
125,100,75,3430,6860,-6727.592,-5356.5,-1371.092,-0.9541
125,100,20,3430,6860,-6727.592,-5356.5,-1371.092,-0.9541
125,100,10,3430,6860,-6727.592,-5356.5,-1371.092,-0.9541
125,100,0,3430,6860,-6727.592,-5356.5,-1371.092,-0.9541
125,100,50,3430,6860,-6727.592,-5356.5,-1371.092,-0.9541
125,100,100,3430,6860,-6727.592,-5356.5,-1371.092,-0.9541
125,100,30,3430,6860,-6727.592,-5356.5,-1371.092,-0.9541
125,100,40,3430,6860,-6727.592,-5356.5,-1371.092,-0.9541
50,50,30,3430,6860,-6779.594,-7157.8,378.206,-0.9615
50,50,0,3430,6860,-6779.594,-7157.8,378.206,-0.9615
50,50,10,3430,6860,-6779.594,-7157.8,378.206,-0.9615
50,50,20,3430,6860,-6779.594,-7157.8,378.206,-0.9615
50,50,50,3430,6860,-6779.594,-7157.8,378.206,-0.9615
50,50,40,3430,6860,-6779.594,-7157.8,378.206,-0.9615
50,50,75,3430,6860,-6779.594,-7157.8,378.206,-0.9615
50,50,100,3430,6860,-6779.594,-7157.8,378.206,-0.9615
75,100,0,3430,6860,-6803.098,-6374.6,-428.498,-0.9648
75,100,20,3430,6860,-6831.292,-6374.6,-456.692,-0.9688
20,50,20,3430,6860,-6840.938,-6651.2,-189.738,-0.9702
75,100,10,3430,6860,-6855.93,-6374.6,-481.33,-0.9723
20,100,100,3430,6860,-6907.994,-6651.2,-256.794,-0.9797
30,50,0,3430,6860,-7010.792,-7798.7,787.908,-0.9943
40,50,0,3430,6860,-7014.781,-8894.0,1879.219,-0.9949
40,50,10,3430,6860,-7019.607,-8894.0,1874.393,-0.9955
30,50,100,3430,6860,-7046.479,-7798.7,752.221,-0.9994
30,50,30,3430,6860,-7075.308,-7798.7,723.392,-1.0034
30,50,20,3430,6860,-7084.452,-7798.7,714.248,-1.0047
30,50,10,3430,6860,-7148.333,-7798.7,650.367,-1.0138
100,100,20,3430,6860,-7151.492,-5780.4,-1371.092,-1.0143
100,100,0,3430,6860,-7151.492,-5780.4,-1371.092,-1.0143
100,100,50,3430,6860,-7151.492,-5780.4,-1371.092,-1.0143
100,100,10,3430,6860,-7151.492,-5780.4,-1371.092,-1.0143
100,100,30,3430,6860,-7151.492,-5780.4,-1371.092,-1.0143
100,100,100,3430,6860,-7151.492,-5780.4,-1371.092,-1.0143
100,100,75,3430,6860,-7151.492,-5780.4,-1371.092,-1.0143
100,100,40,3430,6860,-7151.492,-5780.4,-1371.092,-1.0143
150,400,100,3430,6860,-7270.351,-4855.7,-2414.651,-1.0311
75,150,30,3430,6860,-7281.253,-6374.6,-906.653,-1.0327
10,50,75,3430,6860,-7298.213,-7943.5,645.287,-1.0351
20,100,75,3430,6860,-7321.125,-6651.2,-669.925,-1.0383
75,150,0,3430,6860,-7363.803,-6374.6,-989.203,-1.0444
40,50,30,3430,6860,-7369.492,-8894.0,1524.508,-1.0452
30,50,40,3430,6860,-7399.92,-7798.7,398.78,-1.0495
150,300,100,3430,6860,-7399.891,-4855.7,-2544.191,-1.0495
150,150,20,3430,6860,-7401.161,-4855.7,-2545.461,-1.0497
150,150,10,3430,6860,-7401.161,-4855.7,-2545.461,-1.0497
150,150,0,3430,6860,-7401.161,-4855.7,-2545.461,-1.0497
150,150,30,3430,6860,-7401.161,-4855.7,-2545.461,-1.0497
150,150,75,3430,6860,-7401.161,-4855.7,-2545.461,-1.0497
150,150,50,3430,6860,-7401.161,-4855.7,-2545.461,-1.0497
150,150,40,3430,6860,-7401.161,-4855.7,-2545.461,-1.0497
150,150,100,3430,6860,-7401.161,-4855.7,-2545.461,-1.0497
40,50,20,3430,6860,-7404.417,-8894.0,1489.583,-1.0501
30,50,50,3430,6860,-7431.797,-7798.7,366.903,-1.054
75,100,50,3430,6860,-7433.653,-6374.6,-1059.053,-1.0543
150,400,75,3430,6860,-7460.851,-4855.7,-2605.151,-1.0581
30,50,75,3430,6860,-7470.151,-7798.7,328.549,-1.0594
75,100,75,3430,6860,-7470.991,-6374.6,-1096.391,-1.0596
75,100,40,3430,6860,-7473.023,-6374.6,-1098.423,-1.0599
75,400,30,3430,6860,-7589.736,-6374.6,-1215.136,-1.0764
150,300,75,3430,6860,-7590.391,-4855.7,-2734.691,-1.0765
150,250,100,3430,6860,-7591.28,-4855.7,-2735.58,-1.0766
75,100,100,3430,6860,-7596.086,-6374.6,-1221.486,-1.0773
75,150,20,3430,6860,-7647.521,-6374.6,-1272.921,-1.0846
150,400,50,3430,6860,-7651.351,-4855.7,-2795.651,-1.0851
75,150,10,3430,6860,-7678.255,-6374.6,-1303.655,-1.089
125,400,100,3430,6860,-7686.696,-5356.5,-2330.196,-1.0902
75,300,30,3430,6860,-7719.276,-6374.6,-1344.676,-1.0948
150,400,40,3430,6860,-7727.551,-4855.7,-2871.851,-1.096
150,250,75,3430,6860,-7750.03,-4855.7,-2894.33,-1.0991
100,150,30,3430,6860,-7760.711,-5780.4,-1980.311,-1.1007
75,250,30,3430,6860,-7761.948,-6374.6,-1387.348,-1.1008
125,150,75,3430,6860,-7764.039,-5356.5,-2407.539,-1.1011
150,300,50,3430,6860,-7780.891,-4855.7,-2925.191,-1.1035
100,150,0,3430,6860,-7786.492,-5780.4,-2006.092,-1.1043
