side,bucket,bin,trades,wins,losses,avg_win_pips,avg_loss_pips,expectancy_pips,avg_r,sum_win_pips,sum_loss_pips,indicator,win_rate,rr_ratio,profit_factor
BUY,00-05%,Q3,46,30,16,3.0111111111113,2.071041666666428,1.2434057971016552,-0.0211278557400564,90.333333333339,33.13666666666285,adx14,0.6521739130434783,1.4539114106564637,2.7260838949808694
BUY,05-10%,Q5,44,38,6,8.475438596490898,46.57194444444406,0.9689772727270399,-0.02336424503152562,322.0666666666541,279.43166666666434,adx14,0.8636363636363636,0.1819859294601989,1.1525775532479263
BUY,10-15%,Q1,56,43,13,12.127906976743912,44.86256410256358,-1.1020238095238972,-0.030022081122669363,521.4999999999882,583.2133333333265,adx14,0.7678571428571429,0.270334681473342,0.8941839464118234
BUY,15-20%,Q3,50,38,12,17.771052631579387,41.92319444444451,3.4444333333336488,0.07611023745905247,675.3000000000167,503.0783333333342,adx14,0.76,0.42389547998612337,1.3423356866227238
BUY,20-25%,Q5,58,34,24,35.450980392156815,51.17229166666676,-0.3931321839081128,-0.028228280558585866,1205.3333333333317,1228.1350000000023,adx14,0.5862068965517241,0.6927768766558742,0.9814339085958217
BUY,25-30%,Q5,40,27,13,43.38148148148156,63.89858974359007,8.51545833333327,0.2981446695663017,1171.300000000002,830.6816666666709,adx14,0.675,0.6789114072088474,1.4100467688183753
SELL,00-05%,Q3,46,37,9,2.224324324324242,0.41851851851863686,1.7072463768115045,0.027618146923298004,82.29999999999694,3.7666666666677315,adx14,0.8043478260869565,5.314757235109518,21.849557522116903
SELL,05-10%,Q5,53,47,6,8.476595744680928,41.51666666666686,2.816981132075518,0.009441208933492946,398.4000000000036,249.10000000000116,adx14,0.8867924528301887,0.2041733218309327,1.5993576876756392
SELL,10-15%,Q5,44,39,5,13.933333333333326,45.21000000000049,7.21249999999994,0.12520820908778132,543.3999999999997,226.05000000000246,adx14,0.8863636363636364,0.3081914030819105,2.403892944038902
SELL,15-20%,Q5,54,43,11,22.017054263566195,55.070151515150854,6.314104938271981,0.1372242376883054,946.7333333333463,605.7716666666594,adx14,0.7962962962962963,0.39980013960028565,1.562855091164753
SELL,20-25%,Q3,59,40,19,27.02916666666672,45.27315789473678,3.7453672316384723,0.10867838248225466,1081.1666666666688,860.1899999999988,adx14,0.6779661016949152,0.5970241070771206,1.2568928570044644
SELL,25-30%,Q2,79,44,35,30.403030303030153,35.78214285714286,1.080485232067428,0.07393473405459612,1337.7333333333268,1252.375,adx14,0.5569620253164557,0.8496704745831363,1.0681571680473714
SELL,30-35%,Q2,38,19,19,39.322807017543994,26.81666666666685,6.253070175438574,0.1173677076855239,747.1333333333359,509.5166666666702,adx14,0.5,1.4663570050047379,1.466357005004738
BUY,00-05%,Q3,33,24,9,1.9361111111112355,6.07370370370334,-0.24838383838364866,-0.007927573566160577,46.46666666666965,54.66333333333006,atr14,0.7272727272727273,0.31876943716084205,0.8500518324289121
