indicator,groups,trades_total,avg_r_weighted,rr_weighted,expectancy_pips_weighted,profit_factor_weighted
tr,52,3073,-0.019510117354895596,0.5092126422575112,-0.9273023104458279,0.9493377002736221
hl_range_pct,52,3098,-0.021466483035737977,0.7358932550526003,-0.9735899505057144,3.0840322574588774
di_minus14,62,3161,-0.022045194139687564,0.5237628083995595,-0.9343082357903725,0.990663814811289
rsi2,44,3006,-0.022509511899571497,0.6077697840975078,-1.0942060323797012,1.1641633256144792
sma20_dist,59,3092,-0.02469052759977469,0.5114508505780438,-0.9364305735230753,0.9588163260124566
rsi14,60,3146,-0.025142848940992318,0.5646205213158603,-1.035675460902745,1.2443322430305221
keltner_pos,57,3078,-0.02524963713761495,0.6031268252289816,-0.9193637643491422,1.3013935933091065
ema20_dist,58,3098,-0.025721971016409884,0.5070053987608741,-0.9469700882289733,0.9741168518135751
roc10,61,3150,-0.025980768917266743,0.5756438265581865,-1.0108984126984262,1.0870448799515864
cci20,61,3114,-0.02622392342679034,0.563064010800491,-1.0620086705202405,1.0573260532515996
roc1,33,2915,-0.026262605081414765,0.5600350493746956,-1.0527781589479746,0.9242545632337485
macd_hist,64,3222,-0.026296539097359083,0.5405592452565556,-0.9614452720877334,0.9822627889884228
roc5,57,3058,-0.02637019716562494,0.5175779191691333,-1.1063276651406249,1.0464340256331037
di_spread14,63,3199,-0.02665562101051629,0.5212016091485048,-1.0621866208190118,0.9675064019197084
donchian_width20,60,3104,-0.027257999682174513,0.5667532124595661,-0.9123399914089401,1.0831864124847177
natr14,54,2953,-0.028598386053982277,0.5178894904075358,-1.053287617112547,0.944742674752469
rsi5,52,3036,-0.02867675124353467,0.5268317662608507,-1.174988471673266,0.9452088070590902
di_plus14,63,3193,-0.02894303789449054,0.5212464435661043,-1.1845902495041292,1.0095922365093146
park_vol10,57,3045,-0.030522499844895322,0.5344740643927339,-1.079115489874121,0.9959557160572665
bbz20,57,3093,-0.03092626788417915,0.532414860755188,-1.1548895355102924,0.9540681196844041
stochd14,62,3159,-0.03113367125139076,0.5326382827303188,-1.0700232140972954,0.9822057690801048
stochk14,53,3051,-0.031238433812061324,0.5218600923015424,-1.1580438107724256,0.9323430963893963
wr14,53,3051,-0.031238433812061324,0.5218600923015424,-1.1580438107724256,0.9323430963893963
range_pos20,57,3115,-0.03165472388870258,0.5229733022719355,-1.1968437667201723,0.9277418832416116
sma50_dist,61,3105,-0.03175632923260377,0.49846209874633285,-1.2209581320450953,0.9364194432945404
macd,64,3219,-0.03205930228411874,0.5244268087303182,-1.1909324842083517,0.9402358756938503
roc3,50,2962,-0.03211017523863567,0.5129806642718052,-1.2895667341886208,0.9183343086820454
atr14,56,3011,-0.03296871381667305,0.5514835729623414,-1.2378788885198717,1.1222138313062733
adx14,63,3178,-0.03597748497609941,0.5923368089190422,-1.3045217117684145,1.2742093886141408
macd_signal,62,3151,-0.037426218162374965,0.5617300946329526,-1.377115730455943,1.0725691490906715
