date,entry_px,sl_px,tp_px,exit_px,exit_reason,sl_dist_pips,tp_dist_pips,atr_pips,raw_pips,net_pips,hold_hours,pp,s1
2003-08-18,134.15367,133.45797,135.05808,133.45797,SL,69.57,90.44,99.39,-69.57,-70.57,13.0,134.15367,134.04133
2003-08-19,133.36,132.64499,134.28951,132.64499,SL,71.5,92.95,102.14,-71.5007,-72.5007,5.0,133.36,132.46
2003-08-20,132.21333,131.4784,133.16875,131.4784,SL,73.49,95.54,104.99,-73.4935,-74.4935,10.5,132.21333,131.41667
2003-08-21,131.43667,130.67723,132.42394,130.67723,SL,75.94,98.73,108.49,-75.944,-76.944,5.25,131.43667,130.55333
2003-08-22,129.4,128.53931,130.5189,128.53931,SL,86.07,111.89,122.96,-86.0694,-87.0694,6.25,129.4,127.54
2003-08-23,128.00533,127.12162,129.15416,127.12162,SL,88.37,114.88,126.25,-88.3716,-89.3716,70.0,128.00533,127.05867
2003-08-24,127.86,127.03651,128.93054,127.03651,SL,82.35,107.05,117.64,-82.3493,-83.3493,46.0,127.86,127.86
2003-08-25,127.65,126.85233,128.68697,126.85233,SL,79.77,103.7,113.95,-79.7672,-80.7672,23.0,127.65,127.27
2003-08-26,127.35,126.5288,128.41755,128.41755,TP,82.12,106.76,117.31,106.7555,105.7555,35.0,127.35,126.44
2003-08-27,127.48667,126.66213,128.55857,128.55857,TP,82.45,107.19,117.79,107.1901,106.1901,9.0,127.48667,126.95333
2003-08-28,127.83333,126.99619,128.92162,126.99619,SL,83.71,108.83,119.59,-83.7143,-84.7143,10.25,127.83333,126.94667
2003-08-29,127.57,126.72715,128.6657,126.72715,SL,84.28,109.57,120.41,-84.2847,-85.2847,110.25,127.57,126.97
2003-08-31,128.3,127.49133,129.35127,127.49133,SL,80.87,105.13,115.52,-80.8666,-81.8666,36.25,128.3,128.3
2003-09-01,128.19333,127.41843,129.20071,127.41843,SL,77.49,100.74,110.7,-77.4904,-78.4904,30.25,128.19333,127.94667
2003-09-02,127.93,127.15545,128.93692,127.15545,SL,77.46,100.69,110.65,-77.4554,-78.4554,6.5,127.93,127.27
2003-09-03,126.42,125.57827,127.51425,125.57827,SL,84.17,109.42,120.25,-84.1728,-85.1728,0.25,126.42,124.93
2003-09-04,125.52667,124.68506,126.62075,126.62075,TP,84.16,109.41,120.23,109.4087,108.4087,2.5,125.52667,124.87333
2003-09-07,129.59,128.69469,130.7539,130.7539,TP,89.53,116.39,127.9,116.3899,115.3899,64.75,129.59,129.59
2003-09-08,130.21,129.32314,131.36291,129.32314,SL,88.69,115.29,126.69,-88.6856,-89.6856,9.75,130.21,129.8
2003-09-09,129.51667,128.61116,130.69383,130.69383,TP,90.55,117.72,129.36,117.7162,116.7162,16.75,129.51667,128.47333
2003-09-10,130.45333,129.489,131.70696,131.70696,TP,96.43,125.36,137.76,125.3629,124.3629,18.25,130.45333,129.53667
2003-09-11,130.83333,129.87688,132.07672,132.07672,TP,95.64,124.34,136.64,124.3384,123.3384,7.0,130.83333,130.26667
2003-09-12,131.08667,130.10003,132.36929,132.36929,TP,98.66,128.26,140.95,128.2621,127.2621,13.75,131.08667,130.04333
2003-09-14,132.41,131.43969,133.6714,131.43969,SL,97.03,126.14,138.62,-97.0308,-98.0308,54.75,132.41,132.41
2003-09-15,132.21,131.2825,133.41575,131.2825,SL,92.75,120.57,132.5,-92.75,-93.75,31.5,132.21,131.97
2003-09-16,132.41667,131.51042,133.59479,131.51042,SL,90.62,117.81,129.46,-90.625,-91.625,6.75,132.41667,131.95333
2003-09-17,130.61,129.61098,131.90872,129.61098,SL,99.9,129.87,142.72,-99.9018,-100.9018,0.25,130.61,128.58
