sl_mult,tp_mult,cal_ppd,buy_cal_ppd,sell_cal_ppd,total_pips,initial_entries,no_touch_days,legs_closed
0.08,0.2,0.293,0.0756,0.2175,856.288,2032,884,4064
0.08,0.24,0.2916,0.0731,0.2185,852.0528,2032,884,4064
0.08,0.3,0.2908,0.0712,0.2196,849.6289,2032,884,4064
0.08,0.4,0.2904,0.0708,0.2196,848.4059,2032,884,4064
0.08,0.7,0.2904,0.0708,0.2196,848.4059,2032,884,4064
0.08,1.0,0.2904,0.0708,0.2196,848.4059,2032,884,4064
0.08,0.55,0.2904,0.0708,0.2196,848.4059,2032,884,4064
0.08,0.16,0.2893,0.071,0.2183,845.4504,2032,884,4064
0.08,0.12,0.2881,0.0602,0.2279,841.8501,2032,884,4064
0.08,0.1,0.2771,0.0534,0.2237,809.5865,2032,884,4064
0.08,0.08,0.2628,0.044,0.2188,767.9259,2032,884,4064
0.1,0.12,-0.6969,-0.3911,-0.3058,-2036.3983,2032,884,4064
0.1,0.1,-0.6978,-0.3932,-0.3046,-2038.9007,2032,884,4064
0.1,0.08,-0.6992,-0.4123,-0.2869,-2043.0449,2032,884,4064
0.1,0.2,-0.7059,-0.3862,-0.3197,-2062.5843,2032,884,4064
0.1,0.16,-0.7127,-0.396,-0.3167,-2082.481,2032,884,4064
0.1,0.24,-0.7187,-0.3988,-0.3199,-2100.1805,2032,884,4064
0.1,0.55,-0.722,-0.3984,-0.3236,-2109.7725,2032,884,4064
0.1,0.4,-0.7249,-0.4022,-0.3227,-2118.0784,2032,884,4064
0.1,0.7,-0.7254,-0.4019,-0.3236,-2119.7639,2032,884,4064
0.1,1.0,-0.7254,-0.4019,-0.3236,-2119.7639,2032,884,4064
0.1,0.3,-0.73,-0.4049,-0.3251,-2133.0376,2032,884,4064
0.12,0.08,-1.3346,-0.7254,-0.6092,-3899.5879,2032,884,4064
0.12,0.1,-1.3354,-0.6999,-0.6354,-3901.9236,2032,884,4064
0.12,0.12,-1.3389,-0.6952,-0.6437,-3912.2972,2032,884,4064
0.12,0.16,-1.4394,-0.7253,-0.714,-4205.8324,2032,884,4064
0.12,0.2,-1.4499,-0.7028,-0.747,-4236.5314,2032,884,4064
0.12,0.24,-1.4946,-0.7329,-0.7617,-4367.2008,2032,884,4064
0.12,0.7,-1.5203,-0.7395,-0.7808,-4442.4403,2032,884,4064
0.12,1.0,-1.5203,-0.7395,-0.7808,-4442.4403,2032,884,4064
0.12,0.3,-1.5269,-0.7501,-0.7768,-4461.4902,2032,884,4064
0.12,0.55,-1.5331,-0.7537,-0.7794,-4479.7619,2032,884,4064
0.12,0.4,-1.5371,-0.7577,-0.7794,-4491.4518,2032,884,4064
0.4,0.3,-1.6799,-0.5683,-1.1116,-4908.5587,2032,884,4064
0.4,0.7,-1.6958,-0.5708,-1.125,-4954.9846,2032,884,4064
0.5,0.3,-1.7055,-0.4499,-1.2556,-4983.6004,2032,884,4064
0.4,0.55,-1.7162,-0.5866,-1.1296,-5014.7357,2032,884,4064
0.5,0.55,-1.7657,-0.3767,-1.389,-5159.4028,2032,884,4064
0.4,0.4,-1.7765,-0.5549,-1.2216,-5190.9014,2032,884,4064
0.3,0.2,-1.7855,-0.6613,-1.1242,-5217.1761,2032,884,4064
0.5,0.4,-1.7945,-0.3676,-1.4268,-5243.3968,2032,884,4064
0.4,0.2,-1.8053,-0.6568,-1.1485,-5275.1278,2032,884,4064
0.3,0.3,-1.8117,-0.6116,-1.2001,-5293.8777,2032,884,4064
0.4,0.24,-1.8697,-0.5675,-1.3023,-5463.3915,2032,884,4064
0.5,0.7,-1.8737,-0.5146,-1.3591,-5475.029,2032,884,4064
0.3,0.24,-1.887,-0.643,-1.244,-5513.8087,2032,884,4064
0.4,1.0,-1.8892,-0.5951,-1.2941,-5520.3521,2032,884,4064
0.3,0.16,-1.8908,-0.7959,-1.0948,-5524.7857,2032,884,4064
0.5,0.24,-1.9128,-0.4848,-1.428,-5589.2545,2032,884,4064
0.5,0.2,-1.913,-0.6373,-1.2758,-5589.9084,2032,884,4064
0.5,1.0,-1.9298,-0.368,-1.5619,-5638.9506,2032,884,4064
0.4,0.16,-1.9422,-0.854,-1.0882,-5675.1781,2032,884,4064
0.3,0.12,-2.0176,-0.8592,-1.1584,-5895.4083,2032,884,4064
0.3,0.4,-2.0214,-0.6064,-1.415,-5906.6511,2032,884,4064
0.16,0.1,-2.0306,-1.063,-0.9675,-5933.2728,2032,884,4064
0.16,0.12,-2.0372,-1.0591,-0.9781,-5952.6944,2032,884,4064
0.3,0.55,-2.0842,-0.6991,-1.3851,-6089.9594,2032,884,4064
0.5,0.16,-2.0905,-0.8671,-1.2234,-6108.4906,2032,884,4064
0.16,0.08,-2.0947,-1.0865,-1.0082,-6120.796,2032,884,4064
0.16,0.16,-2.1272,-1.0749,-1.0523,-6215.7421,2032,884,4064
0.16,0.2,-2.139,-1.0064,-1.1326,-6250.1655,2032,884,4064
0.3,0.1,-2.1409,-0.9634,-1.1775,-6255.7536,2032,884,4064
0.4,0.12,-2.1789,-0.9481,-1.2308,-6366.7357,2032,884,4064
0.3,0.7,-2.1847,-0.6992,-1.4855,-6383.6383,2032,884,4064
0.2,0.1,-2.2602,-1.0738,-1.1864,-6604.2866,2032,884,4064
0.16,0.24,-2.27,-1.0755,-1.1946,-6633.0504,2032,884,4064
0.2,0.12,-2.2758,-1.0871,-1.1887,-6649.8065,2032,884,4064
0.5,0.12,-2.281,-0.9203,-1.3608,-6665.1381,2032,884,4064
0.3,1.0,-2.2851,-0.7378,-1.5473,-6677.0771,2032,884,4064
0.4,0.1,-2.2876,-1.0634,-1.2242,-6684.3942,2032,884,4064
0.2,0.2,-2.3131,-1.0174,-1.2957,-6758.9451,2032,884,4064
0.2,0.16,-2.3298,-1.0894,-1.2403,-6807.5848,2032,884,4064
0.16,0.3,-2.3988,-1.1577,-1.2411,-7009.3127,2032,884,4064
0.2,0.08,-2.3989,-1.1266,-1.2722,-7009.5204,2032,884,4064
0.3,0.08,-2.4204,-1.072,-1.3484,-7072.4368,2032,884,4064
0.5,0.1,-2.4374,-1.0717,-1.3657,-7122.1214,2032,884,4064
0.2,0.24,-2.4377,-1.0502,-1.3875,-7122.9339,2032,884,4064
0.16,1.0,-2.4797,-1.1849,-1.2948,-7245.652,2032,884,4064
0.16,0.7,-2.4858,-1.1878,-1.298,-7263.5906,2032,884,4064
