sl_mult,tp_mult,cal_ppd,buy_cal_ppd,sell_cal_ppd,total_pips,initial_entries,no_touch_days,legs_closed
1.0,0.3,-2.2568,-0.5729,-1.6839,-6594.2945,2032,884,4064
1.0,0.55,-2.2713,-0.5854,-1.6859,-6636.7495,2032,884,4064
1.0,0.95,-2.3004,-0.3915,-1.9089,-6721.7924,2032,884,4064
1.0,0.4,-2.4385,-0.6173,-1.8213,-7125.3944,2032,884,4064
1.0,0.2,-2.4768,-0.9031,-1.5737,-7237.2315,2032,884,4064
1.0,0.7,-2.4924,-0.7425,-1.7498,-7282.6863,2032,884,4064
1.0,0.85,-2.4981,-0.5281,-1.97,-7299.4907,2032,884,4064
1.0,0.24,-2.5863,-0.7663,-1.82,-7557.0753,2032,884,4064
1.0,0.16,-2.6818,-1.1147,-1.5671,-7836.1894,2032,884,4064
1.0,0.12,-3.0849,-1.2471,-1.8378,-9014.1056,2032,884,4064
1.0,0.1,-3.1864,-1.3979,-1.7886,-9310.72,2032,884,4064
1.0,0.08,-3.4588,-1.5395,-1.9193,-10106.7586,2032,884,4064
