trail_pips,max_hold_hours,wins,losses,time_exits,win_rate,profit_factor,avg_win_pips,avg_loss_pips,win_loss_count_ratio,total_pips,cal_ppd,pf_distance_to_1p27
50,720,5309,8795,0,0.376418,0.975993,50.4189,31.1834,0.603638,-6584.2,-0.9337,0.294007
75,720,5354,8750,0,0.379609,1.003085,75.294,45.9296,0.611886,1240.0,0.1758,0.266915
100,720,5321,8783,2,0.377269,1.035045,103.0108,60.294,0.605829,18558.3,2.6316,0.234955
125,720,5257,8847,89,0.372731,0.992894,125.2351,74.9488,0.594213,-4711.5,-0.6681,0.277106
150,720,5245,8859,291,0.37188,1.001981,150.5529,88.9591,0.592053,1561.2,0.2214,0.268019
175,720,5199,8905,565,0.368619,0.96954,172.0998,103.6336,0.583829,-28110.1,-3.9861,0.30046
200,720,5287,8817,983,0.374858,1.034711,203.6664,118.0291,0.599637,36122.0,5.1222,0.235289
225,720,5261,8843,1536,0.373015,1.00863,223.3015,131.7129,0.594934,10052.0,1.4254,0.26137
250,720,5399,8705,2327,0.382799,1.032968,243.5993,146.2627,0.620218,41975.5,5.9523,0.237032
300,720,5570,8534,3732,0.394923,1.007793,265.9304,172.2262,0.652683,11454.5,1.6243,0.262207
350,720,5910,8194,5371,0.41903,1.027575,281.0404,197.2636,0.721259,44571.0,6.3203,0.242425
400,720,6237,7867,6695,0.442215,1.017049,285.2557,222.3612,0.792805,29824.0,4.2292,0.252951
500,720,6594,7510,9078,0.467527,0.988794,283.009,251.3064,0.878029,-21150.1,-2.9992,0.281206
