ratio_tp_to_sl,scale,tp_atr,sl_atr,wins,losses,time_exits,buys,sells,skipped_equal_open_pp,win_rate_excl_time_exit,total_pips,cal_ppd
1.8,0.85,0.85,0.472222,1274,2644,2455,2948,3425,665,0.325166,3017.9018,0.4288
1.8,1.0,1.0,0.555556,1010,2361,3002,2948,3425,665,0.299614,2751.3127,0.3909
1.75,0.85,0.85,0.485714,1283,2585,2505,2948,3425,665,0.331696,2737.2389,0.3889
1.8,0.9,0.9,0.5,1182,2542,2649,2948,3425,665,0.317401,2420.1684,0.3439
1.7,0.85,0.85,0.5,1295,2531,2547,2948,3425,665,0.338474,2409.0116,0.3423
1.75,0.75,0.75,0.428571,1469,2794,2110,2948,3425,665,0.344593,2254.3814,0.3203
1.8,0.8,0.8,0.444444,1359,2742,2272,2948,3425,665,0.331383,2207.7723,0.3137
1.65,0.85,0.85,0.515152,1306,2473,2594,2948,3425,665,0.345594,2162.2606,0.3072
1.8,0.95,0.95,0.527778,1086,2447,2840,2948,3425,665,0.307387,2125.5965,0.302
1.7,0.9,0.9,0.529412,1198,2432,2743,2948,3425,665,0.330028,2116.6769,0.3007
1.75,0.9,0.9,0.514286,1191,2488,2694,2948,3425,665,0.323729,2103.2208,0.2988
1.7,0.75,0.75,0.441176,1485,2740,2148,2948,3425,665,0.351479,2036.2426,0.2893
1.6,0.6,0.6,0.375,1788,2896,1689,2948,3425,665,0.381725,1833.1269,0.2605
1.6,0.85,0.85,0.53125,1313,2418,2642,2948,3425,665,0.351916,1829.5605,0.26
1.65,0.8,0.8,0.484848,1398,2576,2399,2948,3425,665,0.351787,1779.5001,0.2528
1.7,0.8,0.8,0.470588,1387,2641,2345,2948,3425,665,0.34434,1752.2373,0.249
1.75,1.0,1.0,0.571429,1014,2308,3051,2948,3425,665,0.305238,1722.8538,0.2448
1.55,0.75,0.75,0.483871,1531,2564,2278,2948,3425,665,0.373871,1665.8985,0.2367
1.75,0.95,0.95,0.542857,1094,2400,2879,2948,3425,665,0.313108,1577.5419,0.2241
1.55,0.85,0.85,0.548387,1326,2364,2683,2948,3425,665,0.35935,1565.7363,0.2225
1.75,0.7,0.7,0.4,1546,2884,1943,2948,3425,665,0.348984,1548.8588,0.2201
1.65,0.9,0.9,0.545455,1209,2384,2780,2948,3425,665,0.336488,1521.5195,0.2162
1.65,0.75,0.75,0.454545,1497,2689,2187,2948,3425,665,0.357621,1520.318,0.216
1.6,0.75,0.75,0.46875,1517,2630,2226,2948,3425,665,0.365807,1519.2305,0.2159
1.6,0.8,0.8,0.5,1414,2519,2440,2948,3425,665,0.359522,1490.0719,0.2117
1.7,0.65,0.65,0.382353,1655,2919,1799,2948,3425,665,0.361828,1488.8653,0.2115
1.75,0.65,0.65,0.371429,1637,2969,1767,2948,3425,665,0.355406,1476.9625,0.2099
1.5,0.65,0.65,0.433333,1738,2703,1932,2948,3425,665,0.391353,1407.2975,0.2
1.75,0.8,0.8,0.457143,1370,2701,2302,2948,3425,665,0.336527,1401.7432,0.1992
1.65,0.65,0.65,0.393939,1675,2872,1826,2948,3425,665,0.368375,1397.9446,0.1986
1.7,1.0,1.0,0.588235,1015,2246,3112,2948,3425,665,0.311254,1325.9875,0.1884
1.55,0.8,0.8,0.516129,1426,2457,2490,2948,3425,665,0.367242,1278.5993,0.1817
