trail_pips,days,trades,buy_trades,sell_trades,wins,losses,win_rate,total_pips,cal_ppd,avg_pips_per_trade,dataset_end_exits
250,3332,3332,1487,1845,496,2836,0.14886,10082.88,3.0261,3.0261,0
130,3332,3332,1487,1845,770,2562,0.231092,7909.5683,2.3738,2.3738,0
200,3332,3332,1487,1845,570,2762,0.171068,7071.255,2.1222,2.1222,0
90,3332,3332,1487,1845,929,2403,0.278812,6208.0217,1.8632,1.8632,0
150,3332,3332,1487,1845,709,2623,0.212785,5991.5267,1.7982,1.7982,0
110,3332,3332,1487,1845,829,2503,0.2488,5091.8633,1.5282,1.5282,0
75,3332,3332,1487,1845,1025,2307,0.307623,4378.425,1.3141,1.3141,0
225,3332,3332,1487,1845,525,2807,0.157563,3731.2633,1.1198,1.1198,0
300,3332,3332,1487,1845,428,2904,0.128451,2913.1567,0.8743,0.8743,0
60,3332,3332,1487,1845,1081,2251,0.32443,2414.4433,0.7246,0.7246,0
175,3332,3332,1487,1845,638,2694,0.191477,1883.2717,0.5652,0.5652,0
50,3332,3332,1487,1845,1122,2210,0.336735,-677.8483,-0.2034,-0.2034,0
350,3332,3332,1487,1845,365,2967,0.109544,-921.0167,-0.2764,-0.2764,0
40,3332,3332,1487,1845,1145,2187,0.343637,-2571.9567,-0.7719,-0.7719,0
400,3332,3332,1487,1845,335,2997,0.10054,-5111.0067,-1.5339,-1.5339,0
30,3332,3332,1487,1845,1174,2158,0.352341,-5892.785,-1.7685,-1.7685,0
20,3332,3332,1487,1845,1102,2230,0.330732,-8721.9117,-2.6176,-2.6176,0
