trades,wins,losses,win_rate,total_pips,cal_ppd,avg_pips_per_trade,dataset_end_exits,tp_norm,trail_pips
3332,987,2345,0.296218,5015.4533,1.5052,1.5052,0,0.8,250
3332,989,2343,0.296819,4290.1617,1.2876,1.2876,0,0.8,225
3332,989,2343,0.296819,4053.6267,1.2166,1.2166,0,0.8,200
3332,1007,2325,0.302221,3902.8083,1.1713,1.1713,0,0.8,130
3332,1096,2236,0.328932,3875.5317,1.1631,1.1631,0,0.65,250
3332,990,2342,0.297119,3734.2,1.1207,1.1207,0,0.8,175
3332,997,2335,0.29922,3664.0783,1.0997,1.0997,0,0.8,150
3332,1093,2239,0.328031,3275.3333,0.983,0.983,0,0.65,200
3332,1313,2019,0.394058,3248.775,0.975,0.975,0,0.45,250
3332,1093,2239,0.328031,3224.5983,0.9678,0.9678,0,0.65,175
3332,1096,2236,0.328932,3101.265,0.9308,0.9308,0,0.65,225
3332,1096,2236,0.328932,2873.8233,0.8625,0.8625,0,0.65,130
3332,1091,2241,0.327431,2712.9483,0.8142,0.8142,0,0.65,150
3332,1296,2036,0.388956,2672.5567,0.8021,0.8021,0,0.45,130
3332,1311,2021,0.393457,2228.8283,0.6689,0.6689,0,0.45,225
3332,1307,2025,0.392257,2039.455,0.6121,0.6121,0,0.45,200
3332,1304,2028,0.391357,1872.435,0.562,0.562,0,0.45,175
3332,1299,2033,0.389856,1810.74,0.5434,0.5434,0,0.45,150
3332,1513,1819,0.454082,1109.4633,0.333,0.333,0,0.3,130
3332,1526,1806,0.457983,802.9183,0.241,0.241,0,0.3,175
3332,1532,1800,0.459784,747.8817,0.2245,0.2245,0,0.3,250
3332,1521,1811,0.456483,741.1467,0.2224,0.2224,0,0.3,150
3332,1529,1803,0.458884,534.725,0.1605,0.1605,0,0.3,200
3332,1530,1802,0.459184,292.3,0.0877,0.0877,0,0.3,225
