trades,wins,losses,win_rate,total_pips,cal_ppd,avg_pips_per_trade,dataset_end_exits,tp_norm
3332,1241,2091,0.372449,-3033.1217,-0.9103,-0.9103,0,0.5
3332,1233,2099,0.370048,-3281.2667,-0.9848,-0.9848,0,0.8
3332,1482,1850,0.444778,-3334.5567,-1.0008,-1.0008,0,0.2
3332,1249,2083,0.37485,-3368.7317,-1.011,-1.011,0,0.45
3332,1303,2029,0.391056,-3378.9617,-1.0141,-1.0141,0,0.35
3332,1233,2099,0.370048,-3477.2717,-1.0436,-1.0436,0,0.6
3332,1233,2099,0.370048,-3513.8117,-1.0546,-1.0546,0,0.65
3332,1270,2062,0.381152,-3560.2567,-1.0685,-1.0685,0,0.4
3332,1233,2099,0.370048,-3677.4817,-1.1037,-1.1037,0,0.7
3332,1352,1980,0.405762,-3693.7317,-1.1086,-1.1086,0,0.3
3332,1233,2099,0.370048,-3706.8717,-1.1125,-1.1125,0,1.0
3332,1233,2099,0.370048,-3736.9417,-1.1215,-1.1215,0,0.55
3332,1233,2099,0.370048,-3907.9517,-1.1729,-1.1729,0,0.85
3332,1409,1923,0.422869,-3914.2717,-1.1748,-1.1748,0,0.25
3332,1842,1490,0.552821,-3963.4717,-1.1895,-1.1895,0,0.05
3332,1233,2099,0.370048,-3986.0217,-1.1963,-1.1963,0,0.75
3332,1233,2099,0.370048,-4061.9317,-1.2191,-1.2191,0,0.95
3332,1233,2099,0.370048,-4109.1767,-1.2332,-1.2332,0,0.9
3332,1570,1762,0.471188,-4139.9917,-1.2425,-1.2425,0,0.15
3332,1692,1640,0.507803,-4253.5217,-1.2766,-1.2766,0,0.1
3332,1913,1419,0.57413,-4405.0367,-1.322,-1.322,0,0.0
