trail_pips,days,trades,buy_trades,sell_trades,wins,losses,win_rate,total_pips,cal_ppd,avg_pips_per_trade,dataset_end_exits
200,3332,3332,1487,1845,1240,2092,0.372149,38656.0,11.6014,11.6014,0
250,3332,3332,1487,1845,1253,2079,0.37605,38224.5,11.4719,11.4719,0
225,3332,3332,1487,1845,1224,2108,0.367347,31962.6,9.5926,9.5926,0
130,3332,3332,1487,1845,1272,2060,0.381753,21977.2,6.5958,6.5958,0
150,3332,3332,1487,1845,1274,2058,0.382353,21605.9,6.4844,6.4844,0
350,3332,3332,1487,1845,1224,2108,0.367347,14065.6,4.2214,4.2214,0
110,3332,3332,1487,1845,1245,2087,0.373649,13478.7,4.0452,4.0452,0
300,3332,3332,1487,1845,1229,2103,0.368848,11786.7,3.5374,3.5374,0
175,3332,3332,1487,1845,1257,2075,0.377251,10448.2,3.1357,3.1357,0
90,3332,3332,1487,1845,1251,2081,0.37545,4854.4,1.4569,1.4569,0
75,3332,3332,1487,1845,1293,2039,0.388055,4763.6,1.4297,1.4297,0
60,3332,3332,1487,1845,1260,2072,0.378151,2435.2,0.7309,0.7309,0
50,3332,3332,1487,1845,1269,2063,0.380852,107.7,0.0323,0.0323,0
40,3332,3332,1487,1845,1238,2094,0.371549,-2160.4,-0.6484,-0.6484,0
30,3332,3332,1487,1845,1215,2117,0.364646,-6410.0,-1.9238,-1.9238,0
20,3332,3332,1487,1845,1118,2214,0.335534,-8985.6,-2.6968,-2.6968,0
400,3332,3332,1487,1845,1262,2070,0.378752,-10096.0,-3.03,-3.03,0
