tp_mult_open_to_pivot,sl_level_rule,wins,losses,time_exits,buys,sells,skipped_equal_open_pp,skipped_invalid_sl_side,win_rate_excl_time_exit,total_pips,cal_ppd
1.3,"buy->S1, sell->R1",3221,1561,1236,2956,3430,665,368,0.673568,-2672.2467,-0.379
1.35,"buy->S1, sell->R1",3170,1598,1250,2956,3430,665,368,0.664849,-2826.5283,-0.4009
1.25,"buy->S1, sell->R1",3265,1536,1217,2956,3430,665,368,0.680067,-2855.2667,-0.4049
1.4,"buy->S1, sell->R1",3124,1624,1270,2956,3430,665,368,0.657961,-3231.4667,-0.4583
1.45,"buy->S1, sell->R1",3077,1652,1289,2956,3430,665,368,0.650666,-3604.4217,-0.5112
1.75,"buy->S1, sell->R1",2838,1797,1383,2956,3430,665,368,0.612298,-3771.1917,-0.5348
1.7,"buy->S1, sell->R1",2874,1780,1364,2956,3430,665,368,0.617533,-3839.8967,-0.5446
1.5,"buy->S1, sell->R1",3033,1679,1306,2956,3430,665,368,0.643676,-3861.8167,-0.5477
1.8,"buy->S1, sell->R1",2799,1817,1402,2956,3430,665,368,0.606369,-3873.2733,-0.5493
1.65,"buy->S1, sell->R1",2907,1756,1355,2956,3430,665,368,0.623418,-3995.51,-0.5667
1.6,"buy->S1, sell->R1",2940,1733,1345,2956,3430,665,368,0.629146,-4287.5333,-0.6081
1.55,"buy->S1, sell->R1",2981,1713,1324,2956,3430,665,368,0.635066,-4562.8283,-0.6471
