entry_time,initial_entries,reentry_pairs,total_legs_closed,total_pips,cal_ppd,buy_cal_ppd,sell_cal_ppd
14:00,2919,1529,8896,-909.1221,-0.3111,0.4857,-0.7968
02:00,2919,1466,8770,-2790.7364,-0.9551,-0.0804,-0.8747
01:00,2919,1460,8758,-3584.0119,-1.2266,-0.3731,-0.8535
07:00,2919,1423,8684,-3859.9453,-1.321,0.25,-1.571
13:00,2919,1437,8712,-3969.9795,-1.3587,-0.118,-1.2406
08:00,2919,1412,8662,-4331.0902,-1.4822,0.0653,-1.5476
15:00,2919,1416,8670,-4334.5515,-1.4834,0.0183,-1.5017
11:00,2919,1420,8678,-4980.9502,-1.7046,-0.029,-1.6757
09:00,2919,1394,8626,-5021.92,-1.7187,-0.0112,-1.7075
03:00,2919,1362,8562,-5138.7741,-1.7586,-0.5343,-1.2243
00:00,2919,1400,8638,-5298.4957,-1.8133,-0.5839,-1.2295
10:00,2919,1377,8592,-5352.0263,-1.8316,-0.1327,-1.6989
12:00,2919,1387,8612,-5571.7914,-1.9068,-0.444,-1.4629
04:00,2919,1350,8538,-5769.952,-1.9747,-0.0414,-1.9332
16:00,2919,1345,8528,-5943.4314,-2.034,-0.1387,-1.8953
22:00,2919,1371,8580,-6176.8908,-2.1139,-0.3286,-1.7854
05:00,2919,1310,8458,-7416.6281,-2.5382,-0.4407,-2.0975
06:00,2919,1315,8468,-7575.3802,-2.5925,-0.2329,-2.3596
23:00,2919,1307,8452,-7915.1219,-2.7088,-1.0899,-1.6189
21:00,2919,1226,8290,-8590.8607,-2.9401,-0.4916,-2.4485
18:00,2919,1248,8334,-8720.0556,-2.9843,-0.6507,-2.3336
19:00,2919,1197,8232,-9454.7615,-3.2357,-1.0844,-2.1513
20:00,2919,1183,8204,-9654.5726,-3.3041,-0.8794,-2.4247
17:00,2919,1192,8222,-9870.0172,-3.3778,-0.828,-2.5498
