indicator,side,bucket,bin,trades,avg_r,rr_ratio,expectancy_pips,profit_factor
di_minus14,BUY,30-35%,Q5,34,0.5066294490304283,1.4991075754626733,24.1677450980391,3.1344976577855896
keltner_pos,SELL,30-35%,Q4,38,0.3724484069614134,1.7677107240594336,14.966710526315875,2.710489776891131
bbz20,SELL,30-35%,Q4,30,0.3580430339925966,1.6622138546841323,15.246722222221877,2.4933207820261982
di_spread14,BUY,30-35%,Q1,37,0.3449900762486943,1.5430882299363766,17.17986486486491,2.2631960705733523
di_plus14,SELL,30-35%,Q4,36,0.300121540867009,1.019337581411285,5.898564814815305,1.4270726139757988
adx14,BUY,25-30%,Q5,40,0.2981446695663017,0.6789114072088474,8.51545833333327,1.410046768818375
roc10,BUY,30-35%,Q1,44,0.2837335761278343,1.3953692890297535,13.856174242423943,1.8360122224075703
macd_hist,SELL,30-35%,Q2,32,0.2764910614620124,1.0831883036298022,4.951250000000297,1.39267067609546
sma20_dist,SELL,30-35%,Q4,34,0.2659180118932387,1.4348069427904786,8.72686274509856,1.8174221275346063
donchian_width20,BUY,30-35%,Q5,32,0.2622420669934979,1.6561159226031346,17.786406249999875,2.1292919004897444
rsi14,BUY,30-35%,Q1,43,0.2546744347073053,1.364136833611623,11.19639534883731,1.7231202108778396
natr14,SELL,30-35%,Q4,50,0.2473884216723838,1.1668352150404258,6.009299999999826,1.485063000960542
roc5,SELL,25-30%,Q1,31,0.246318368456559,0.8799635346852845,8.951397849462339,1.59993369942779
rsi2,SELL,30-35%,Q3,31,0.2340937611751332,1.4184956868515175,8.974999999999747,1.7224590483197004
ema20_dist,SELL,30-35%,Q4,31,0.2314968120918181,1.7223158441196946,11.20962365591392,2.0913835250024864
tr,SELL,30-35%,Q3,39,0.2195457188834498,1.3034438921033558,4.875854700854888,1.5206845407872485
park_vol10,SELL,30-35%,Q4,50,0.2068013904273409,1.2711483063129143,5.85143333333329,1.49221757697603
atr14,BUY,25-30%,Q2,34,0.2009039599285645,0.8688154966514041,6.321323529412178,1.5928284105275743
rsi5,SELL,30-35%,Q4,45,0.2006583294367147,1.1021028849496366,3.871851851852398,1.259546154228156
hl_range_pct,SELL,30-35%,Q2,35,0.1967467958798203,1.4708654136809487,3.999142857143073,1.7466526787461265
cci20,BUY,25-30%,Q3,32,0.1876413933276398,1.0055481155538557,10.304583333333351,1.6759135259230928
macd,BUY,30-35%,Q1,33,0.172398064308747,1.2803489126245944,5.808939393939518,1.3603707196636314
sma50_dist,BUY,30-35%,Q1,37,0.1652819982346092,1.514887022709409,9.971171171171232,1.5990474128599317
stochd14,BUY,15-20%,Q5,33,0.155872290508181,0.4451248174430049,6.717828282827831,2.003061678493522
range_pos20,BUY,30-35%,Q1,43,0.1478831909775173,1.434553751089496,8.239573643411017,1.5028658344747103
stochk14,SELL,20-25%,Q4,54,0.1463988831808158,0.5464883708990258,3.8928086419754657,1.297909880885186
wr14,SELL,20-25%,Q4,54,0.1463988831808158,0.5464883708990258,3.8928086419754657,1.297909880885186
macd_signal,SELL,25-30%,Q2,70,0.1329493731214034,1.1095056762171147,7.3102857142855315,1.5686114732724723
roc1,SELL,15-20%,Q3,43,0.1293423488451255,0.4786876661103681,4.766937984496116,2.0942585392328605
roc3,BUY,30-35%,Q1,54,0.1223328027575933,1.4601856481380724,9.147098765431911,1.4601856481380724
