indicator,side,bucket,bin,trades,avg_r,rr_ratio,expectancy_pips,profit_factor
macd_hist,SELL,15-20%,Q5,72,0.2101936309589541,0.3814295223949503,9.442569444444455,2.1152000787356333
rsi14,SELL,25-30%,Q4,86,0.2040632448430171,1.0327707156601782,8.47895348837181,1.7428005826765507
park_vol10,SELL,25-30%,Q5,80,0.2030011553463911,0.8253003796925239,6.946395833333355,1.3045070517720538
cci20,SELL,15-20%,Q5,67,0.1822021292231671,0.3264858393827984,5.289004975124082,1.662109727766974
roc10,SELL,15-20%,Q5,78,0.1682239333848454,0.3146016600453988,4.619230769230581,1.438179017350395
natr14,SELL,25-30%,Q5,82,0.1641975206510973,0.8277302216573789,5.221280487804861,1.2290539654912596
sma50_dist,SELL,25-30%,Q3,65,0.1596418561742855,0.8499422674192801,3.801333333333078,1.2749134011289205
donchian_width20,SELL,15-20%,Q5,73,0.1557159461257496,0.3323367569919679,5.620114155251319,1.4005620473232936
atr14,SELL,15-20%,Q5,60,0.1419615770662371,0.3431076370933714,5.701694444444802,1.3724305483734855
macd_signal,SELL,25-30%,Q2,70,0.1329493731214034,1.1095056762171147,7.3102857142855315,1.5686114732724723
rsi2,SELL,10-15%,Q4,75,0.1320882115606074,0.3110986756842641,7.755222222222187,2.605451408855712
keltner_pos,SELL,15-20%,Q5,70,0.130785409694105,0.3379843415205355,3.277190476190336,1.351937366082142
rsi5,SELL,15-20%,Q5,85,0.1286217615977163,0.3646805018275324,4.1317450980390085,1.4587220073101297
sma20_dist,SELL,15-20%,Q5,77,0.1250035744262178,0.3026643677070558,1.950519480519391,1.1539079018831506
hl_range_pct,SELL,15-20%,Q5,68,0.1241308011798606,0.3992188428967642,7.313235294117781,1.4105732449019004
roc1,SELL,10-15%,Q5,82,0.1229922604122908,0.2654337903831438,7.2306707317073,1.9111232907586355
di_plus14,SELL,20-25%,Q5,81,0.1192452990124581,0.6967165250048754,7.431111111111356,1.4738234182795442
roc3,SELL,10-15%,Q5,65,0.1175865222548022,0.3231748676040166,7.842512820512831,2.3026209316786184
di_spread14,SELL,15-20%,Q2,65,0.1175587676803588,0.6771974241147524,9.370282051282274,2.4669334735608834
stochd14,SELL,15-20%,Q5,67,0.1151246760803095,0.3048113513561759,1.5345771144274771,1.1539286872769516
tr,SELL,15-20%,Q5,61,0.1125401978474262,0.3980499456193833,6.53904371584727,1.3363105317222157
bbz20,SELL,15-20%,Q5,83,0.1069021205779512,0.3541312913521806,2.776927710843117,1.2788074409939856
adx14,SELL,20-25%,Q5,71,0.096685202250283,0.846286569545997,10.077136150235084,1.6573111986942444
stochk14,SELL,10-15%,Q5,62,0.0964772297528874,0.3114725229368114,5.14833333333319,2.102439529823477
wr14,SELL,10-15%,Q5,62,0.0964772297528874,0.3114725229368114,5.14833333333319,2.102439529823477
ema20_dist,SELL,10-15%,Q5,61,0.0936024220507928,0.2503223457258116,4.496557377049142,1.658385540433502
macd,SELL,25-30%,Q4,67,0.0886819481091018,0.8704922488840904,1.985547263681608,1.140645015779153
di_minus14,SELL,20-25%,Q1,76,0.0850511683054859,0.6381899115769306,3.711951754386496,1.2272882914940972
roc5,SELL,10-15%,Q4,60,0.0759673950771972,0.2869578766632624,4.077249999999935,1.6260946344251537
range_pos20,SELL,10-15%,Q5,66,0.0704746239792525,0.3021644394964555,4.346414141414161,1.692120861180151
