pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-01,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-01,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-01,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-02,24,BUY,main,BUY,103368,103408,122.868,122.49424826971642,SL,True,-78.75034605671453,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-02,12,SELL,main,SELL,103380,103480,123.017,123.39075173028357,SL,True,-78.75034605671453,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-02,8,SELL,main,SELL,103376,103537,123.169,123.54275173028357,SL,True,-78.75034605671453,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-03,24,BUY,main,BUY,103392,103408,122.831,122.45614125045098,SL,True,-78.97174990980398,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-03,12,BUY,main,BUY,103404,103408,122.858,122.48314125045098,SL,True,-78.97174990980398,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-03,8,SELL,main,SELL,103400,103540,123.26,123.63485874954902,SL,True,-78.97174990980398,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-04,24,BUY,main,BUY,103416,103455,122.544,122.16178116113305,SL,True,-80.44376777338948,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-04,12,BUY,main,BUY,103428,103446,122.649,122.26678116113305,SL,True,-80.44376777338948,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-04,8,SELL,main,SELL,103424,103480,122.925,123.30721883886694,SL,True,-80.44376777338948,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-05,24,SELL,main,SELL,103440,103480,122.956,123.33142463609074,SL,True,-79.08492721814832,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-05,12,BUY,main,BUY,103452,103455,122.426,122.05057536390926,SL,True,-79.08492721814832,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-05,8,BUY,main,BUY,103448,103455,122.441,122.06557536390926,SL,True,-79.08492721814832,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-06,24,BUY,main,BUY,103464,103600,122.311,121.93021640934431,SL,True,-80.1567181311392,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-06,12,SELL,main,SELL,103476,103479,122.808,123.1887835906557,SL,True,-80.1567181311392,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-06,8,SELL,main,SELL,103472,103480,123.058,123.4387835906557,SL,True,-80.1567181311392,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-07,24,SELL,main,SELL,103488,103537,123.163,123.55550976275171,SL,True,-82.50195255034293,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-07,12,SELL,main,SELL,103500,103537,123.163,123.55550976275171,SL,True,-82.50195255034293,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-07,8,SELL,main,SELL,103496,103537,123.163,123.55550976275171,SL,True,-82.50195255034293,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-08,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-08,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-08,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-09,24,SELL,main,SELL,103536,103543,123.358,123.70492525461755,SL,True,-73.38505092350908,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-09,12,BUY,main,BUY,103548,103550,122.877,122.53007474538245,SL,True,-73.38505092350908,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-09,8,SELL,main,SELL,103544,103576,123.703,122.16110997947757,TP,True,304.3780041044861,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-10,24,BUY,main,BUY,103560,103563,122.785,122.41730869214085,SL,True,-77.53826157182937,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-10,12,BUY,main,BUY,103572,103575,122.643,122.27530869214085,SL,True,-77.53826157182937,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-10,8,BUY,main,BUY,103568,103574,122.761,122.39330869214085,SL,True,-77.53826157182937,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-11,24,BUY,main,BUY,103584,103600,122.269,121.90082949984507,SL,True,-77.63410003098636,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-11,12,BUY,main,BUY,103596,103600,122.281,121.91282949984507,SL,True,-77.63410003098636,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-11,8,SELL,main,SELL,103592,103710,122.535,120.8986866659781,TP,True,323.26266680437845,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-12,24,SELL,main,SELL,103608,103646,121.937,122.32313332157243,SL,True,-81.22666431448602,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-12,12,BUY,main,BUY,103620,103624,121.745,121.35886667842757,SL,True,-81.22666431448602,2.0,
eurjpy,adjust,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2017-01-12,8,BUY,main,BUY,103616,103706,121.514,121.12786667842757,SL,True,-81.22666431448602,2.0,
