pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
eurjpy,oos,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2022-01-01,24,BUY,main,BUY,141144,141201,130.854,130.62796707755652,SL,True,-49.20658448869881,2.0,
eurjpy,oos,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2022-01-01,12,BUY,main,BUY,141156,141201,130.854,130.62796707755652,SL,True,-49.20658448869881,2.0,
eurjpy,oos,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2022-01-01,8,BUY,main,BUY,141152,141201,130.854,130.62796707755652,SL,True,-49.20658448869881,2.0,
eurjpy,oos,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2022-01-02,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2022-01-02,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2022-01-02,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2022-01-03,24,SELL,main,SELL,141192,141229,130.948,131.2188125708824,SL,True,-58.16251417647686,2.0,
eurjpy,oos,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2022-01-03,12,BUY,main,BUY,141204,141206,130.665,130.3941874291176,SL,True,-58.16251417647686,2.0,
eurjpy,oos,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2022-01-03,8,BUY,main,BUY,141200,141205,130.829,130.55818742911762,SL,True,-58.16251417647686,2.0,
eurjpy,oos,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2022-01-04,24,BUY,main,BUY,141216,141384,130.341,131.59806775284798,TP,True,247.4135505695947,2.0,
eurjpy,oos,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2022-01-04,12,SELL,main,SELL,141228,141229,130.965,131.2478402443908,SL,True,-60.568048878159516,2.0,
eurjpy,oos,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2022-01-04,8,SELL,main,SELL,141224,141225,130.681,130.9638402443908,SL,True,-60.568048878159516,2.0,
eurjpy,oos,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2022-01-05,24,SELL,main,SELL,141240,141256,131.078,131.37731236979147,SL,True,-63.862473958293094,2.0,
eurjpy,oos,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2022-01-05,12,BUY,main,BUY,141252,141371,130.928,130.62868763020853,SL,True,-63.862473958293094,2.0,
eurjpy,oos,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2022-01-05,8,SELL,main,SELL,141248,141256,131.102,131.40131236979147,SL,True,-63.862473958293094,2.0,
eurjpy,oos,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2022-01-06,24,SELL,main,SELL,141264,141384,131.343,131.64523291480634,SL,True,-64.44658296127068,2.0,
