pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-01,24,SELL,main,SELL,41976,42059,133.257,133.71606559175223,SL,True,-95.81311835044426,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-01,12,SELL,main,SELL,41988,42059,133.225,133.68406559175222,SL,True,-95.81311835044426,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-01,8,SELL,main,SELL,41984,42059,133.288,133.74706559175223,SL,True,-95.81311835044426,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-02,24,BUY,main,BUY,42000,42047,133.22,132.78359980765865,SL,True,-91.2800384682705,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-02,12,BUY,main,BUY,42012,42047,133.22,132.78359980765865,SL,True,-91.2800384682705,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-02,8,BUY,main,BUY,42008,42047,133.22,132.78359980765865,SL,True,-91.2800384682705,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-03,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-03,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-03,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-04,24,BUY,main,BUY,42048,42076,132.755,132.35828707905262,SL,True,-83.34258418947593,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-04,12,SELL,main,SELL,42060,42086,133.52,131.75683146245606,TP,True,348.6337075087895,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-04,8,SELL,main,SELL,42056,42057,133.075,133.47171292094737,SL,True,-83.34258418947593,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-05,24,SELL,main,SELL,42072,42087,133.385,131.54562921513775,TP,True,363.87415697244796,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-05,12,BUY,main,BUY,42084,42085,132.785,132.371141573406,SL,True,-86.77168531880079,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-05,8,BUY,main,BUY,42080,42085,132.79,132.376141573406,SL,True,-86.77168531880079,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-06,24,BUY,main,BUY,42096,42127,131.505,133.50013001451495,TP,True,395.0260029029912,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-06,12,SELL,main,SELL,42108,42111,132.665,133.11390425326584,SL,True,-93.78085065317032,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-06,8,BUY,main,BUY,42104,42142,132.0,133.99513001451496,TP,True,395.0260029029912,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-07,24,SELL,main,SELL,42120,42127,133.015,133.50335752088972,SL,True,-101.6715041779471,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-07,12,SELL,main,SELL,42132,42142,133.31,133.79835752088974,SL,True,-101.6715041779471,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-07,8,SELL,main,SELL,42128,42142,133.48,133.96835752088973,SL,True,-101.6715041779471,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-08,24,SELL,main,SELL,42144,42226,133.785,134.29440341225475,SL,True,-105.8806824509511,2.0,
eurjpy,train,L1,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.30,2010-01-08,12,BUY,main,BUY,42156,42157,133.29,132.78059658774524,SL,True,-105.8806824509511,2.0,
