pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-01,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-01,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-01,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-02,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-02,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-02,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-03,24,BUY,main,BUY,111603,111666,1.04575,1.059850673206755,TP,True,280.0134641351002,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-03,12,BUY,main,BUY,111615,111651,1.0394,1.0535006732067551,TP,True,280.0134641351002,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-03,8,BUY,main,BUY,111611,111666,1.04608,1.060180673206755,TP,True,280.0134641351002,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-04,24,SELL,main,SELL,111627,111666,1.04174,1.0604010157726838,SL,True,-375.2203154536728,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-04,12,SELL,main,SELL,111639,111688,1.04313,1.0617910157726835,SL,True,-375.2203154536728,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-04,8,SELL,main,SELL,111635,111666,1.04171,1.0603710157726836,SL,True,-375.2203154536728,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-05,24,SELL,main,SELL,111651,111950,1.04968,1.068955836074635,SL,True,-387.5167214927002,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-05,12,SELL,main,SELL,111663,111950,1.04934,1.068615836074635,SL,True,-387.5167214927002,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-05,8,SELL,main,SELL,111659,112089,1.05594,1.0752158360746351,SL,True,-387.5167214927002,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-06,24,SELL,main,SELL,111675,112106,1.06039,1.07591,TIME_EXIT,True,-312.3999999999995,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-06,12,SELL,main,SELL,111687,112118,1.05859,1.07431,TIME_EXIT,True,-316.40000000000356,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-06,8,SELL,main,SELL,111683,112114,1.05841,1.07377,TIME_EXIT,True,-309.19999999999635,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-07,24,BUY,main,BUY,111699,111950,1.0529,1.0696151969871441,TP,True,332.30393974288376,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-07,12,BUY,main,BUY,111711,111950,1.0529,1.0696151969871441,TP,True,332.30393974288376,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-07,8,BUY,main,BUY,111707,111950,1.0529,1.0696151969871441,TP,True,332.30393974288376,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-08,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-08,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-08,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-09,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-09,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-09,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-10,24,SELL,main,SELL,111771,112104,1.05858,1.0765003249021232,SL,True,-360.4064980424628,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-10,12,SELL,main,SELL,111783,112104,1.05782,1.0757403249021231,SL,True,-360.4064980424628,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-10,8,SELL,main,SELL,111779,112210,1.05978,1.06958,TIME_EXIT,True,-198.0000000000006,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-11,24,BUY,main,BUY,111795,111950,1.05522,1.0698939197508806,TP,True,291.47839501761007,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-11,12,BUY,main,BUY,111807,111831,1.0519,1.0665739197508806,TP,True,291.47839501761007,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-11,8,BUY,main,BUY,111803,111950,1.0558,1.0704739197508806,TP,True,291.47839501761007,2.0,
eurusd,adjust,L1,N/A,w24|slm3.50|smf0.70|TP_ATR_2.0|sf0.30,2017-01-12,24,SELL,main,SELL,111819,112250,1.05942,1.07169,TIME_EXIT,True,-247.40000000000003,2.0,
