pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
usdjpy,adjust,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2017-01-01,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,adjust,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2017-01-01,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,adjust,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2017-01-01,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,adjust,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2017-01-02,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,adjust,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2017-01-02,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,adjust,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2017-01-02,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,adjust,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2017-01-03,24,SELL,main,SELL,117624,117639,117.457,118.37759587691777,SL,True,-188.11917538355453,2.0,
usdjpy,adjust,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2017-01-03,12,SELL,main,SELL,117636,117672,118.2,116.72704659693157,TP,True,290.5906806136861,2.0,
usdjpy,adjust,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2017-01-03,8,SELL,main,SELL,117632,117672,117.84,116.36704659693157,TP,True,290.5906806136861,2.0,
usdjpy,adjust,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2017-01-04,24,BUY,main,BUY,117648,117672,117.635,116.65685740000494,SL,True,-199.6285199990134,2.0,
usdjpy,adjust,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2017-01-04,12,BUY,main,BUY,117660,117672,117.579,116.60085740000493,SL,True,-199.6285199990134,2.0,
usdjpy,adjust,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2017-01-04,8,SELL,main,SELL,117656,117672,118.001,116.4359718400079,TP,True,309.005631998422,2.0,
