pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-01,24,BUY,main,BUY,161328,161409,115.091,115.86243919950792,TP,True,150.2878399015848,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-01,12,BUY,main,BUY,161340,161409,115.091,115.86243919950792,TP,True,150.2878399015848,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-01,8,BUY,main,BUY,161336,161409,115.091,115.86243919950792,TP,True,150.2878399015848,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-02,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-02,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-02,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-03,24,SELL,main,SELL,161376,161402,115.14,115.5688559461634,SL,True,-89.77118923267903,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-03,12,BUY,main,BUY,161388,161403,115.064,115.75016951386142,TP,True,133.2339027722859,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-03,8,SELL,main,SELL,161384,161403,115.289,115.7178559461634,SL,True,-89.77118923267903,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-04,24,SELL,main,SELL,161400,161403,115.33,115.76572337858029,SL,True,-91.14467571605837,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-04,12,SELL,main,SELL,161412,161555,116.144,115.44684259427154,TP,True,135.43148114569226,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-04,8,SELL,main,SELL,161408,161411,115.736,116.1717233785803,SL,True,-91.14467571605837,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-05,24,SELL,main,SELL,161424,161555,116.174,115.37478240896644,TP,True,155.8435182067135,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-05,12,BUY,main,BUY,161436,161559,115.669,115.169489005604,SL,True,-103.90219887919807,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-05,8,SELL,main,SELL,161432,161556,116.032,115.23278240896643,TP,True,155.8435182067135,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-06,24,SELL,main,SELL,161448,161556,116.124,115.2930122368974,TP,True,162.19755262051967,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-06,12,BUY,main,BUY,161460,161556,115.797,115.27763264806087,SL,True,-107.8734703878248,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-06,8,BUY,main,BUY,161456,161555,115.869,115.34963264806088,SL,True,-107.8734703878248,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-07,24,BUY,main,BUY,161472,161555,115.864,115.33181960177082,SL,True,-110.43607964583737,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-07,12,BUY,main,BUY,161484,161556,115.798,115.26581960177081,SL,True,-110.43607964583737,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-07,8,BUY,main,BUY,161480,161555,115.877,115.34481960177081,SL,True,-110.43607964583737,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-08,24,BUY,main,BUY,161496,161607,115.529,114.9867074873586,SL,True,-112.45850252827915,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-08,12,BUY,main,BUY,161508,161607,115.529,114.9867074873586,SL,True,-112.45850252827915,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-08,8,BUY,main,BUY,161504,161607,115.529,114.9867074873586,SL,True,-112.45850252827915,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-09,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-09,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-09,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-10,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-10,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-10,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-11,24,BUY,main,BUY,161568,161608,115.279,114.7613089831366,SL,True,-107.53820337267905,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-11,12,SELL,main,SELL,161580,161609,115.399,114.57069437301858,TP,True,161.66112539628364,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-11,8,BUY,main,BUY,161576,161608,115.256,114.7383089831366,SL,True,-107.53820337267905,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-12,24,BUY,main,BUY,161592,161608,115.332,114.801733341484,SL,True,-110.05333170319966,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-12,12,SELL,main,SELL,161604,161609,115.398,114.54957334637439,TP,True,165.68533072512173,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-12,8,SELL,main,SELL,161600,161609,115.403,114.5545733463744,TP,True,165.68533072512173,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-13,24,BUY,main,BUY,161616,161631,114.675,114.085109531378,SL,True,-121.97809372440042,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-13,12,BUY,main,BUY,161628,161640,114.506,113.916109531378,SL,True,-121.97809372440042,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-13,8,BUY,main,BUY,161624,161641,114.408,113.818109531378,SL,True,-121.97809372440042,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-14,24,BUY,main,BUY,161640,161653,114.116,113.5056552791367,SL,True,-126.06894417265914,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-14,12,BUY,main,BUY,161652,161739,113.885,114.86155155338126,TP,True,191.31031067625122,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-14,8,BUY,main,BUY,161648,161738,113.797,114.77355155338125,TP,True,191.31031067625122,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-15,24,SELL,main,SELL,161664,161738,114.187,114.82383795508734,SL,True,-131.36759101746884,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-15,12,SELL,main,SELL,161676,161738,114.187,114.82383795508734,SL,True,-131.36759101746884,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-15,8,SELL,main,SELL,161672,161738,114.187,114.82383795508734,SL,True,-131.36759101746884,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-16,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-16,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-16,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-17,24,SELL,main,SELL,161712,161739,114.309,114.87775313474367,SL,True,-117.75062694873463,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-17,12,SELL,main,SELL,161724,161739,114.478,115.04675313474367,SL,True,-117.75062694873463,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-17,8,SELL,main,SELL,161720,161739,114.401,114.96975313474367,SL,True,-117.75062694873463,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-18,24,SELL,main,SELL,161736,161810,114.572,113.67342391409511,TP,True,175.71521718097847,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-18,12,SELL,main,SELL,161748,161808,114.687,113.7884239140951,TP,True,175.71521718097847,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-18,8,SELL,main,SELL,161744,161799,114.874,113.9754239140951,TP,True,175.71521718097847,2.0,
usdjpy,oos,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2022-01-19,24,BUY,main,BUY,161760,161799,114.555,113.97921923585878,SL,True,-119.1561528282457,2.0,
