pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
usdjpy,train,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2010-01-01,24,SELL,main,SELL,56208,56318,93.001,91.50442224214218,TP,True,295.31555157156424,2.0,
usdjpy,train,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2010-01-01,12,SELL,main,SELL,56220,56318,92.995,91.49842224214218,TP,True,295.31555157156424,2.0,
usdjpy,train,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2010-01-01,8,SELL,main,SELL,56216,56318,92.993,91.49642224214217,TP,True,295.31555157156424,2.0,
usdjpy,train,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2010-01-02,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,train,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2010-01-02,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,train,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2010-01-02,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,train,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2010-01-03,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,train,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2010-01-03,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,train,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2010-01-03,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,train,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2010-01-04,24,BUY,main,BUY,56280,56308,92.735,91.94698174790142,SL,True,-161.60365041971625,2.0,
usdjpy,train,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2010-01-04,12,BUY,main,BUY,56292,56308,92.795,92.00698174790142,SL,True,-161.60365041971625,2.0,
usdjpy,train,L1,N/A,w24|slm2.50|smf0.50|TP_ATR_2.0|sf0.40,2010-01-04,8,SELL,main,SELL,56288,56308,93.035,91.77417079664225,TP,True,248.16584067154884,2.0,
