pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-01,24,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-01,12,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-01,8,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-02,24,BUY,addon,BUY,103391,103408,122.68112413485821,122.49424826971642,SL,True,-16.550069211342905,0.8,
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-02,12,SELL,addon,SELL,103398,103480,123.20387586514178,123.39075173028357,SL,True,-16.550069211342905,0.8,
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-02,8,SELL,addon,SELL,103376,103537,123.35587586514178,123.54275173028357,SL,True,-16.550069211342905,0.8,
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-03,24,BUY,addon,BUY,103407,103408,122.6435706252255,122.45614125045098,SL,True,-16.594349981960793,0.8,
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-03,12,BUY,addon,BUY,103407,103408,122.6705706252255,122.48314125045098,SL,True,-16.594349981960793,0.8,
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-03,8,SELL,addon,SELL,103480,103540,123.44742937477452,123.63485874954902,SL,True,-16.594349981960793,0.8,
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-04,24,BUY,addon,BUY,103446,103455,122.35289058056652,122.16178116113305,SL,True,-16.888753554677898,0.8,
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-04,12,BUY,addon,BUY,103443,103446,122.45789058056653,122.26678116113305,SL,True,-16.888753554677898,0.8,
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-04,8,SELL,addon,SELL,103435,103480,123.11610941943347,123.30721883886694,SL,True,-16.888753554677898,0.8,
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-05,24,SELL,addon,SELL,103471,103480,123.14371231804537,123.33142463609074,SL,True,-16.616985443629666,0.8,
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-05,12,BUY,addon,BUY,103453,103455,122.23828768195463,122.05057536390926,SL,True,-16.616985443629666,0.8,
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-05,8,BUY,addon,BUY,103448,103455,122.25328768195463,122.06557536390926,SL,True,-16.616985443629666,0.8,
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-06,24,BUY,addon,BUY,103580,103600,122.12060820467217,121.93021640934431,SL,True,-16.831343626228414,0.8,
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-06,12,SELL,addon,SELL,103477,103479,122.99839179532785,123.1887835906557,SL,True,-16.831343626228414,0.8,
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-06,8,SELL,addon,SELL,103480,103480,123.24839179532785,123.4387835906557,SL,True,-16.831343626228414,0.8,
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-07,24,SELL,addon,SELL,103534,103537,123.35925488137585,123.55550976275171,SL,True,-17.300390510069157,0.8,
eurjpy,adjust,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2017-01-07,12,SELL,addon,SELL,103534,103537,123.35925488137585,123.55550976275171,SL,True,-17.300390510069157,0.8,
