pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
eurjpy,train,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2010-01-01,24,SELL,addon,SELL,41997,42059,133.48653279587612,133.71606559175223,SL,True,-19.962623670088853,0.8,
eurjpy,train,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2010-01-01,12,SELL,addon,SELL,41997,42059,133.4545327958761,133.68406559175222,SL,True,-19.962623670088853,0.8,
eurjpy,train,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2010-01-01,8,SELL,addon,SELL,42057,42059,133.51753279587612,133.74706559175223,SL,True,-19.962623670088853,0.8,
eurjpy,train,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2010-01-02,24,BUY,addon,BUY,42046,42047,133.00179990382932,132.78359980765865,SL,True,-19.056007693654102,0.8,
eurjpy,train,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2010-01-02,12,BUY,addon,BUY,42046,42047,133.00179990382932,132.78359980765865,SL,True,-19.056007693654102,0.8,
eurjpy,train,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2010-01-02,8,BUY,addon,BUY,42046,42047,133.00179990382932,132.78359980765865,SL,True,-19.056007693654102,0.8,
eurjpy,train,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2010-01-03,24,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,train,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2010-01-03,12,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,train,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2010-01-03,8,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,train,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2010-01-04,24,BUY,addon,BUY,42051,42076,132.5566435395263,132.35828707905262,SL,True,-17.468516837895187,0.8,
eurjpy,train,L2,N/A,w24|slm1.50|smf0.30|TP_ATR_2.0|sf0.25|ao0.50,2010-01-04,12,SELL,addon,SELL,42060,42086,133.7183564604737,131.75683146245606,TP,True,155.32199984141099,0.8,
