pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
eurusd,adjust,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2017-01-01,24,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2017-01-01,12,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2017-01-01,8,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2017-01-02,24,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2017-01-02,12,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2017-01-02,8,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2017-01-03,24,BUY,addon,BUY,111611,111618,1.0427888586265814,1.0358795287552716,SL,True,-56.07463897047902,0.8,
eurusd,adjust,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2017-01-03,12,BUY,addon,BUY,111618,111642,1.0364388586265816,1.0477866666666666,TP,True,89.98246432068049,0.8,
eurusd,adjust,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2017-01-03,8,BUY,addon,BUY,111611,111618,1.0431188586265814,1.0362095287552715,SL,True,-56.07463897047902,0.8,
eurusd,adjust,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2017-01-04,24,SELL,addon,SELL,111641,111651,1.0449390312753173,1.052403437584391,SL,True,-60.51525047258908,0.8,
eurusd,adjust,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2017-01-04,12,SELL,addon,SELL,111641,111651,1.046329031275317,1.0537934375843907,SL,True,-60.51525047258908,0.8,
eurusd,adjust,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2017-01-04,8,SELL,addon,SELL,111641,111651,1.044909031275317,1.0523734375843907,SL,True,-60.51525047258908,0.8,
eurusd,adjust,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2017-01-05,24,SELL,addon,SELL,111651,111666,1.052984429041366,1.0606947634712198,SL,True,-62.48267543883133,0.8,
eurusd,adjust,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2017-01-05,12,SELL,addon,SELL,111664,111666,1.052644429041366,1.0603547634712198,SL,True,-62.48267543883133,0.8,
eurusd,adjust,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2017-01-05,8,SELL,addon,SELL,111666,111810,1.059244429041366,1.04628,TP,True,102.91543233092773,0.8,
