pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-01,24,SELL,addon,SELL,155656,155660,1.1388567458462926,1.1439591528209754,SL,True,-41.61925579746226,0.8,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-01,12,SELL,addon,SELL,155656,155660,1.1388567458462926,1.1439591528209754,SL,True,-41.61925579746226,0.8,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-01,8,SELL,addon,SELL,155656,155660,1.1388567458462926,1.1439591528209754,SL,True,-41.61925579746226,0.8,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-02,24,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-02,12,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-02,8,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-03,24,SELL,addon,SELL,155656,155656,1.1391854104490993,1.1371933333333333,TP,True,15.136616926127912,0.8,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-03,12,BUY,addon,BUY,155441,155442,1.1336145895509007,1.1291219651696691,SL,True,-36.74099504985237,0.8,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-03,8,BUY,addon,BUY,155441,155443,1.1328645895509006,1.128371965169669,SL,True,-36.74099504985237,0.8,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-04,24,BUY,addon,BUY,155462,155466,1.1280847188686935,1.1318966666666668,TP,True,29.695582383785798,0.8,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-04,12,BUY,addon,BUY,-1,-1,,,NO_FILL,False,0.0,0.0,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-04,8,BUY,addon,BUY,-1,-1,,,NO_FILL,False,0.0,0.0,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-05,24,BUY,addon,BUY,-1,-1,,,NO_FILL,False,0.0,0.0,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-05,12,SELL,addon,SELL,155490,155506,1.1339879467647844,1.12924,TP,True,37.18357411827524,0.8,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-05,8,SELL,addon,SELL,155486,155506,1.1319479467647844,1.12924,TP,True,20.863574118274904,0.8,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-06,24,BUY,addon,BUY,155506,155509,1.1289022780041287,1.1311233333333333,TP,True,16.968442633636638,0.8,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-06,12,SELL,addon,SELL,155537,155537,1.1334477219958714,1.1311233333333333,TP,True,17.795109300305167,0.8,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-06,8,BUY,addon,BUY,-1,-1,,,NO_FILL,False,0.0,0.0,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-07,24,BUY,addon,BUY,-1,-1,,,NO_FILL,False,0.0,0.0,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-07,12,SELL,addon,SELL,155537,155537,1.1325869275675948,1.1303733333333335,TP,True,16.908753874090987,0.8,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-07,8,SELL,addon,SELL,155537,155537,1.132666927567595,1.1303733333333335,TP,True,17.548753874091627,0.8,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-08,24,SELL,addon,SELL,155656,155660,1.1381294041699097,1.1432613472330317,SL,True,-41.85554450497629,0.8,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-08,12,SELL,addon,SELL,155656,155660,1.1381294041699097,1.1432613472330317,SL,True,-41.85554450497629,0.8,
eurusd,oos,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2022-01-08,8,SELL,addon,SELL,155656,155660,1.1381294041699097,1.1432613472330317,SL,True,-41.85554450497629,0.8,
