pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
eurusd,train,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2010-01-01,24,SELL,addon,SELL,50270,50487,1.440370340828904,1.4579644694296798,SL,True,-141.55302880620732,0.8,
eurusd,train,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2010-01-01,12,SELL,addon,SELL,50270,50630,1.440750340828904,1.42967,TIME_EXIT,True,87.84272663123173,0.8,
eurusd,train,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2010-01-01,8,SELL,addon,SELL,50270,50626,1.440510340828904,1.44037,TIME_EXIT,True,0.32272663123214046,0.8,
eurusd,train,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2010-01-02,24,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,train,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2010-01-02,12,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,train,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2010-01-02,8,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,train,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2010-01-03,24,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,train,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2010-01-03,12,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,train,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2010-01-03,8,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,train,L2,N/A,w24|slm2.00|smf0.70|TP_PP|sf0.25|ao0.30,2010-01-04,24,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
