pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-01,24,BUY,addon,BUY,161607,161607,114.88849721012916,115.097,TP,True,15.080223189666775,0.8,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-01,12,BUY,addon,BUY,161607,161607,114.88849721012916,115.097,TP,True,15.080223189666775,0.8,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-01,8,BUY,addon,BUY,161607,161607,114.88849721012916,115.097,TP,True,15.080223189666775,0.8,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-02,24,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-02,12,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-02,8,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-03,24,SELL,addon,SELL,161382,161386,115.32011949738862,115.101,TP,True,15.92955979108947,0.8,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-03,12,BUY,addon,BUY,161607,161607,114.88388050261138,115.101,TP,True,15.769559791089844,0.8,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-03,8,SELL,addon,SELL,161401,161410,115.46911949738862,115.88939832462874,SL,True,-35.22230617921001,0.8,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-04,24,SELL,addon,SELL,161402,161411,115.51300381900371,115.9400127300124,SL,True,-35.76071288069475,0.8,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-04,12,SELL,addon,SELL,161412,161556,116.32700381900372,115.214,TP,True,87.44030552029781,0.8,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-04,8,SELL,addon,SELL,161411,161412,115.91900381900372,116.3460127300124,SL,True,-35.76071288069475,0.8,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-05,24,SELL,addon,SELL,-1,-1,,,NO_FILL,False,0.0,0.0,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-05,12,BUY,addon,BUY,161555,161607,115.45920538235369,114.96968460784562,SL,True,-40.761661960645235,0.8,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-05,8,SELL,addon,SELL,-1,-1,,,NO_FILL,False,0.0,0.0,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-06,24,SELL,addon,SELL,-1,-1,,,NO_FILL,False,0.0,0.0,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-06,12,BUY,addon,BUY,161490,161560,115.57886571218556,115.06988570728522,SL,True,-42.31840039202698,0.8,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-06,8,BUY,addon,BUY,161463,161472,115.65086571218556,115.99466666666667,TP,True,25.904076358488876,0.8,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-07,24,BUY,addon,BUY,161487,161559,115.64048423274374,115.11894744247914,SL,True,-43.32294322116841,0.8,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-07,12,BUY,addon,BUY,161490,161560,115.57448423274374,115.05294744247914,SL,True,-43.32294322116841,0.8,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-07,8,BUY,addon,BUY,161487,161559,115.65348423274374,115.13194744247913,SL,True,-43.32294322116841,0.8,
usdjpy,oos,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2022-01-08,24,BUY,addon,BUY,161555,161608,115.30123714469062,114.76979048230204,SL,True,-44.115732991086,0.8,
