pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
usdjpy,train,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2010-01-01,24,SELL,addon,SELL,56365,56389,93.39385166143768,92.68666666666667,TP,True,54.97479958168096,0.8,
usdjpy,train,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2010-01-01,12,SELL,addon,SELL,56365,56389,93.38785166143768,92.68666666666667,TP,True,54.494799581680944,0.8,
usdjpy,train,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2010-01-01,8,SELL,addon,SELL,56365,56389,93.38585166143767,92.68666666666667,TP,True,54.33479958168018,0.8,
usdjpy,train,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2010-01-02,24,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,train,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2010-01-02,12,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,train,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2010-01-02,8,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,train,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2010-01-03,24,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,train,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2010-01-03,12,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,train,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2010-01-03,8,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
usdjpy,train,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2010-01-04,24,BUY,addon,BUY,56295,56308,92.4040323341186,91.63177444706197,SL,True,-63.38063096453003,0.8,
usdjpy,train,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2010-01-04,12,BUY,addon,BUY,56295,56308,92.4640323341186,91.69177444706197,SL,True,-63.38063096453003,0.8,
usdjpy,train,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2010-01-04,8,SELL,addon,SELL,56365,56389,93.3659676658814,92.83333333333333,TP,True,41.010746603845654,0.8,
usdjpy,train,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2010-01-05,24,BUY,addon,BUY,56305,56319,92.12423538168154,91.31745127227184,SL,True,-66.14272875277639,0.8,
usdjpy,train,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2010-01-05,12,BUY,addon,BUY,56317,56343,91.75423538168154,92.62166666666667,TP,True,67.79450279881044,0.8,
usdjpy,train,L2,N/A,w24|slm2.50|smf0.70|TP_PP|sf0.40|ao0.30,2010-01-05,8,BUY,addon,BUY,56318,56343,91.53923538168155,92.62166666666667,TP,True,84.99450279880958,0.8,
