pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-01,24,BUY,main,BUY,141144,141201,130.854,130.60285230839614,SL,True,-54.22953832077519,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-01,24,BUY,sar,SELL,141202,141202,130.60285230839614,130.70060230839613,SL,True,-8.242499999999346,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-01,12,BUY,main,BUY,141156,141201,130.854,130.60285230839614,SL,True,-54.22953832077519,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-01,12,BUY,sar,SELL,141202,141202,130.60285230839614,130.70060230839613,SL,True,-8.242499999999346,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-01,8,BUY,main,BUY,141152,141201,130.854,130.60285230839614,SL,True,-54.22953832077519,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-01,8,BUY,sar,SELL,141202,141202,130.60285230839614,130.70060230839613,SL,True,-8.242499999999346,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-02,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-02,24,?,sar,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-02,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-02,12,?,sar,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-02,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-02,8,?,sar,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-03,24,SELL,main,SELL,141192,141229,130.948,131.248902856536,SL,True,-64.18057130719967,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-03,24,SELL,sar,BUY,141230,141230,131.248902856536,131.175652856536,SL,True,-6.527500000000111,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-03,12,BUY,main,BUY,141204,141206,130.665,130.364097143464,SL,True,-64.18057130719967,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-03,12,BUY,sar,SELL,141207,141208,130.364097143464,130.07109714346402,TP,True,19.109999999998454,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-03,8,BUY,main,BUY,141200,141205,130.829,130.528097143464,SL,True,-64.18057130719967,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-03,8,BUY,sar,SELL,141206,141206,130.528097143464,130.601347143464,SL,True,-6.527500000000111,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-04,24,BUY,main,BUY,141216,141384,130.341,131.59806775284798,TP,True,247.4135505695947,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-04,24,BUY,sar,SELL,-1,-1,,,NO_FILL,False,0.0,0.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-04,12,SELL,main,SELL,141228,141229,130.965,131.279266938212,SL,True,-66.8533876424001,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-04,12,SELL,sar,BUY,141230,141232,131.279266938212,131.035266938212,SL,True,-18.479999999999986,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-04,8,SELL,main,SELL,141224,141226,130.681,130.995266938212,SL,True,-66.8533876424001,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-04,8,SELL,sar,BUY,141227,141272,130.995266938212,130.751266938212,SL,True,-18.479999999999986,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-05,24,SELL,main,SELL,141240,141257,131.078,131.41056929976827,SL,True,-70.51385995365331,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-05,24,SELL,sar,BUY,141258,141265,131.41056929976827,131.12531929976828,SL,True,-21.367499999999346,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-05,12,BUY,main,BUY,141252,141371,130.928,130.59543070023173,SL,True,-70.51385995365331,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-05,12,BUY,sar,SELL,141372,141384,130.59543070023173,130.88068070023172,SL,True,-21.367499999999346,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-05,8,SELL,main,SELL,141248,141257,131.102,131.43456929976827,SL,True,-70.51385995365331,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-05,8,SELL,sar,BUY,141258,141265,131.43456929976827,131.14931929976828,SL,True,-21.367499999999346,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-06,24,SELL,main,SELL,141264,141384,131.343,131.67881434978483,SL,True,-71.16286995696805,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-06,24,SELL,sar,BUY,141385,141385,131.67881434978483,132.43481434978483,TP,True,51.52000000000001,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-06,12,BUY,main,BUY,141276,141280,131.007,130.67118565021516,SL,True,-71.16286995696805,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-06,12,BUY,sar,SELL,141281,141281,130.67118565021516,130.86018565021516,SL,True,-14.629999999999503,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-06,8,BUY,main,BUY,141272,141372,130.814,130.47818565021515,SL,True,-71.16286995696805,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-06,8,BUY,sar,SELL,141373,141384,130.47818565021515,130.66718565021515,SL,True,-14.629999999999503,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-07,24,BUY,main,BUY,141288,141372,130.869,130.52899381805693,SL,True,-72.0012363886135,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-07,24,BUY,sar,SELL,141373,141384,130.52899381805693,130.72624381805693,SL,True,-15.207499999999774,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-07,12,BUY,main,BUY,141300,141372,130.905,130.56499381805693,SL,True,-72.0012363886135,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-07,12,BUY,sar,SELL,141373,141384,130.56499381805693,130.76224381805693,SL,True,-15.207499999999774,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-07,8,SELL,main,SELL,141296,141359,131.01,131.35000618194306,SL,True,-72.0012363886135,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-07,8,SELL,sar,BUY,141360,141368,131.35000618194306,131.15275618194306,SL,True,-15.207499999999774,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-08,24,SELL,main,SELL,141312,141384,131.266,131.60072002609,SL,True,-70.94400521799935,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-08,24,SELL,sar,BUY,141385,141385,131.60072002609,132.13272002609,TP,True,35.84000000000074,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-08,12,SELL,main,SELL,141324,141384,131.266,131.60072002609,SL,True,-70.94400521799935,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-08,12,SELL,sar,BUY,141385,141385,131.60072002609,132.13272002609,TP,True,35.84000000000074,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-08,8,SELL,main,SELL,141320,141384,131.266,131.60072002609,SL,True,-70.94400521799935,2.0,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-08,8,SELL,sar,BUY,141385,141385,131.60072002609,132.13272002609,TP,True,35.84000000000074,0.7,
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-09,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-09,24,?,sar,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-09,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-09,12,?,sar,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2022-01-09,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
