be_mode,n_cal_days,main_n_trades,main_total_pips,main_cal_ppd,main_win_rate,main_ter,main_best_day,main_worst_day,addon_n_trades,addon_total_pips,addon_cal_ppd,addon_win_rate,addon_ter,sar_n_trades,sar_total_pips,sar_cal_ppd,sar_win_rate,sar_ter,total_pips,total_cal_ppd,be_tp_count,sl_count,tp_count,time_exit_count,split,pair,layer
BE_OFF,2557,6108,16483.11,6.4463,0.2963,0.0034,752.03,-303.87,4712,-4831.79,-1.8896,0.0881,0.003,0,0.0,0.0,0.0,0.0,11651.32,4.5566,0,4297,1790,21,train,eurjpy,L4
BE_ON,2557,6108,-3911.68,-1.5298,0.2295,0.0011,752.03,-303.87,4712,-4831.79,-1.8896,0.0881,0.003,0,0.0,0.0,0.0,0.0,-8743.47,-3.4194,1269,3437,1395,7,train,eurjpy,L4
BE_OFF,1826,3807,-1910.68,-1.0464,0.2963,0.0018,443.18,-182.87,2933,-3750.61,-2.054,0.088,0.0024,0,0.0,0.0,0.0,0.0,-5661.29,-3.1004,0,2675,1125,7,adjust,eurjpy,L4
BE_ON,1826,3807,-11613.11,-6.3599,0.2304,0.0008,443.18,-178.92,2933,-3750.61,-2.054,0.088,0.0024,0,0.0,0.0,0.0,0.0,-15363.71,-8.4139,774,2153,877,3,adjust,eurjpy,L4
BE_OFF,1526,2791,-2095.54,-1.3732,0.2949,0.0029,603.98,-247.19,2137,-5863.78,-3.8426,0.0796,0.0019,0,0.0,0.0,0.0,0.0,-7959.33,-5.2158,0,1967,816,8,oos,eurjpy,L4
BE_ON,1526,2791,-4352.0,-2.8519,0.2343,0.0014,603.98,-247.19,2137,-5863.78,-3.8426,0.0796,0.0019,0,0.0,0.0,0.0,0.0,-10215.79,-6.6945,570,1566,651,4,oos,eurjpy,L4
BE_OFF,2557,6240,24074.01,9.4149,0.6096,0.0946,737.42,-932.05,2779,-1572.41,-0.6149,0.2443,0.145,0,0.0,0.0,0.0,0.0,22501.6,8.8,0,2050,3600,590,train,eurusd,L4
BE_ON,2557,6240,31278.29,12.2324,0.5413,0.05,737.42,-932.05,2779,-1572.41,-0.6149,0.2443,0.145,0,0.0,0.0,0.0,0.0,29705.89,11.6175,764,1877,3287,312,train,eurusd,L4
BE_OFF,1826,4401,50190.43,27.4865,0.6251,0.0913,407.05,-648.61,1904,7532.95,4.1254,0.2726,0.1408,0,0.0,0.0,0.0,0.0,57723.38,31.6119,0,1358,2641,402,adjust,eurusd,L4
BE_ON,1826,4401,45750.81,25.0552,0.5496,0.0484,407.05,-648.61,1904,7532.95,4.1254,0.2726,0.1408,0,0.0,0.0,0.0,0.0,53283.76,29.1806,578,1247,2363,213,adjust,eurusd,L4
BE_OFF,1526,3637,-4859.9,-3.1847,0.6068,0.096,354.16,-542.91,1663,1706.35,1.1182,0.2502,0.1419,0,0.0,0.0,0.0,0.0,-3153.54,-2.0665,0,1206,2082,349,oos,eurusd,L4
BE_ON,1526,3637,-1747.15,-1.1449,0.5301,0.0558,354.16,-542.91,1663,1706.35,1.1182,0.2502,0.1419,0,0.0,0.0,0.0,0.0,-40.79,-0.0267,485,1087,1862,203,oos,eurusd,L4
BE_OFF,2557,6054,21574.87,8.4376,0.4823,0.1031,585.53,-516.57,3526,-6718.87,-2.6276,0.1846,0.0973,0,0.0,0.0,0.0,0.0,14856.0,5.8099,0,2846,2584,624,train,usdjpy,L4
BE_ON,2557,6054,31513.95,12.3246,0.4063,0.0538,585.53,-516.57,3526,-6718.87,-2.6276,0.1846,0.0973,0,0.0,0.0,0.0,0.0,24795.08,9.6969,1038,2431,2259,326,train,usdjpy,L4
BE_OFF,1826,4287,-4890.54,-2.6783,0.4742,0.1054,680.87,-590.83,2541,-1451.53,-0.7949,0.1889,0.0952,0,0.0,0.0,0.0,0.0,-6342.08,-3.4732,0,2036,1799,452,adjust,usdjpy,L4
BE_ON,1826,4287,-6597.26,-3.613,0.3909,0.0625,680.87,-590.83,2541,-1451.53,-0.7949,0.1889,0.0952,0,0.0,0.0,0.0,0.0,-8048.8,-4.4079,746,1737,1536,268,adjust,usdjpy,L4
BE_OFF,1526,3493,-22796.31,-14.9386,0.4592,0.0744,771.56,-669.09,2117,-7383.17,-4.8382,0.1578,0.0605,0,0.0,0.0,0.0,0.0,-30179.48,-19.7769,0,1765,1468,260,oos,usdjpy,L4
BE_ON,1526,3493,-21422.82,-14.0385,0.3842,0.0472,771.56,-669.09,2117,-7383.17,-4.8382,0.1578,0.0605,0,0.0,0.0,0.0,0.0,-28805.99,-18.8768,554,1519,1255,165,oos,usdjpy,L4
