pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
eurjpy,oos,L4,BE_ON,w24|slm2.00|smf0.30|TP_ATR_1.5|sf0.35|ao0.70,2022-01-01,24,BUY,main,N/A,141144,141205,130.854,130.55262277007537,SL,True,-64.27544598492796,2.0,
eurjpy,oos,L4,BE_ON,w24|slm2.00|smf0.30|TP_ATR_1.5|sf0.35|ao0.70,2022-01-01,24,BUY,addon,N/A,141144,141205,130.64303593905277,130.55262277007537,SL,True,-8.833053518191356,0.8,
eurjpy,oos,L4,BE_ON,w24|slm2.00|smf0.30|TP_ATR_1.5|sf0.35|ao0.70,2022-01-01,12,BUY,main,N/A,141156,141205,130.854,130.55262277007537,SL,True,-64.27544598492796,2.0,
eurjpy,oos,L4,BE_ON,w24|slm2.00|smf0.30|TP_ATR_1.5|sf0.35|ao0.70,2022-01-01,12,BUY,addon,N/A,141156,141205,130.64303593905277,130.55262277007537,SL,True,-8.833053518191356,0.8,
eurjpy,oos,L4,BE_ON,w24|slm2.00|smf0.30|TP_ATR_1.5|sf0.35|ao0.70,2022-01-01,8,BUY,main,N/A,141152,141205,130.854,130.55262277007537,SL,True,-64.27544598492796,2.0,
eurjpy,oos,L4,BE_ON,w24|slm2.00|smf0.30|TP_ATR_1.5|sf0.35|ao0.70,2022-01-01,8,BUY,addon,N/A,141152,141205,130.64303593905277,130.55262277007537,SL,True,-8.833053518191356,0.8,
eurjpy,oos,L4,BE_ON,w24|slm2.00|smf0.30|TP_ATR_1.5|sf0.35|ao0.70,2022-01-02,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L4,BE_ON,w24|slm2.00|smf0.30|TP_ATR_1.5|sf0.35|ao0.70,2022-01-02,24,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L4,BE_ON,w24|slm2.00|smf0.30|TP_ATR_1.5|sf0.35|ao0.70,2022-01-02,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L4,BE_ON,w24|slm2.00|smf0.30|TP_ATR_1.5|sf0.35|ao0.70,2022-01-02,12,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L4,BE_ON,w24|slm2.00|smf0.30|TP_ATR_1.5|sf0.35|ao0.70,2022-01-02,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L4,BE_ON,w24|slm2.00|smf0.30|TP_ATR_1.5|sf0.35|ao0.70,2022-01-02,8,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,oos,L4,BE_ON,w24|slm2.00|smf0.30|TP_ATR_1.5|sf0.35|ao0.70,2022-01-03,24,SELL,main,N/A,141192,141208,130.948,130.045291430392,TP,True,176.541713921599,2.0,
eurjpy,oos,L4,BE_ON,w24|slm2.00|smf0.30|TP_ATR_1.5|sf0.35|ao0.70,2022-01-03,24,SELL,addon,N/A,-1,-1,,,NO_FILL,False,0.0,0.0,
eurjpy,oos,L4,BE_ON,w24|slm2.00|smf0.30|TP_ATR_1.5|sf0.35|ao0.70,2022-01-03,12,BUY,main,N/A,141204,141207,130.665,130.3039165721568,SL,True,-76.2166855686396,2.0,
