pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-01,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-01,24,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-01,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-01,12,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-01,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-01,8,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-02,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-02,24,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-02,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-02,12,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-02,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-02,8,?,addon,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-03,24,BUY,main,N/A,111603,111656,1.04575,1.0563255049050662,TP,True,209.51009810132405,2.0,
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-03,24,BUY,addon,N/A,-1,-1,,,NO_FILL,False,0.0,0.0,
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-03,12,BUY,main,N/A,111615,111646,1.0394,1.0499755049050663,TP,True,209.51009810132405,2.0,
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-03,12,BUY,addon,N/A,-1,-1,,,NO_FILL,False,0.0,0.0,
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-03,8,BUY,main,N/A,111611,111657,1.04608,1.056655504905066,TP,True,209.51009810132405,2.0,
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-03,8,BUY,addon,N/A,-1,-1,,,NO_FILL,False,0.0,0.0,
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-04,24,SELL,main,N/A,111627,111666,1.04174,1.0604010157726838,SL,True,-375.2203154536728,2.0,
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-04,24,SELL,addon,N/A,111627,111666,1.0548027110408786,1.0604010157726838,SL,True,-45.586437854440916,0.8,
eurusd,adjust,L4,BE_ON,w24|slm3.50|smf0.70|TP_ATR_1.5|sf0.25|ao0.70,2017-01-04,12,SELL,main,N/A,111639,111688,1.04313,1.0617910157726835,SL,True,-375.2203154536728,2.0,
