date,entry_px,exit_px,net_pips,exit_reason
2024-01-03,155.65167,156.33694,-69.5269,SL
2024-01-30,160.011,159.17182,82.9182,TP
2024-01-31,159.76733,158.90934,84.7991,TP
2024-07-25,167.383,166.18456,118.8443,TP
2024-07-30,166.72733,167.58591,-86.8572,SL
2024-07-31,165.96633,164.63291,132.3424,TP
2024-08-02,161.49267,159.89243,159.0238,TP
2024-08-05,159.09033,157.58911,149.1225,TP
2024-08-07,158.55267,159.86928,-132.6613,SL
2024-08-13,160.97533,162.20611,-124.0773,SL
2024-08-21,162.082,160.47459,159.741,TP
2024-08-22,162.09133,160.481,160.0335,TP
2024-08-26,161.088,162.11197,-103.3971,SL
2024-08-28,161.257,162.25962,-101.2618,SL
2024-08-29,160.82267,161.80082,-98.8152,SL
2024-08-30,160.60767,161.57795,-98.0284,SL
2024-09-05,159.46733,158.0647,139.2634,TP
2024-09-10,158.069,156.78679,127.221,TP
2024-09-24,159.93833,160.88408,-95.5749,SL
2024-09-25,160.101,161.0729,-98.1895,SL
2024-12-02,158.06867,156.97755,108.1117,TP
2024-12-03,157.33367,158.17047,-84.68,SL
2024-12-18,161.467,160.30773,114.9268,TP
2024-12-19,160.482,161.3384,-86.6402,SL
2025-01-01,162.878,161.83959,102.8411,TP
2025-01-03,161.91867,162.70996,-80.1289,SL
2025-01-10,162.78933,161.76553,101.3804,TP
2025-01-17,160.24733,161.08086,-84.3527,SL
2025-02-05,159.907,158.60684,129.0159,TP
2025-02-07,157.57567,156.22591,133.976,TP
2025-02-11,156.68233,157.59166,-91.9324,SL
2025-02-14,160.07567,158.60261,146.3052,TP
2025-02-17,159.551,158.29102,124.9976,TP
2025-02-18,158.96667,157.722,123.4668,TP
2025-02-19,158.761,157.54756,120.3443,TP
2025-02-21,156.97433,157.86416,-89.9829,SL
2025-02-27,156.42767,155.26155,115.6121,TP
2025-02-28,156.23733,155.03488,119.2456,TP
