date,entry_px,exit_px,net_pips,exit_reason
2024-02-23,163.00133,163.46751,-47.6172,SL
2024-03-01,162.37467,162.85585,-49.1179,SL
2024-03-06,162.95233,162.30654,63.5795,TP
2024-03-19,162.27267,162.79175,-52.9082,SL
2024-03-22,164.79333,163.92931,85.4026,TP
2024-03-27,164.12833,163.35244,76.5889,TP
2024-03-28,163.79567,163.00646,77.9208,TP
2024-04-02,162.97767,163.4607,-49.3034,SL
2024-04-05,164.216,164.75149,-54.549,SL
2024-04-08,164.27667,164.75622,-48.9558,SL
2024-04-10,164.839,164.16647,66.253,TP
2024-04-11,164.38533,163.68363,69.1702,TP
2024-04-19,164.616,163.83901,76.6989,TP
2024-05-16,168.42367,167.32748,108.6183,TP
2024-05-24,169.77867,170.43477,-66.6101,SL
2024-05-27,170.176,170.74845,-58.2448,SL
2024-06-03,170.598,169.87092,71.7084,TP
2024-06-26,171.039,171.65962,-63.0617,SL
2024-07-08,173.92467,174.43753,-52.2868,SL
2024-10-02,159.43233,160.56977,-114.7434,SL
2024-10-08,162.605,163.68261,-108.7607,SL
2024-10-23,163.207,163.91098,-71.3979,SL
2024-11-01,165.68133,164.66074,101.0595,TP
2024-11-04,165.669,164.77808,88.0918,TP
2024-11-06,165.671,164.81605,84.4954,TP
2024-11-12,163.97467,164.60496,-64.0298,SL
2024-11-14,164.20867,164.86058,-66.1917,SL
2025-03-19,163.55067,162.25578,128.4889,TP
2025-03-21,161.359,162.30941,-96.0408,SL
2025-03-26,162.13567,162.99342,-86.7757,SL
2025-03-27,161.866,162.72439,-86.8388,SL
2025-04-03,161.84133,162.81512,-98.3786,SL
2025-04-04,161.74,160.30405,142.5952,TP
2025-05-30,163.71567,164.38403,-67.8363,SL
2025-06-02,163.26667,163.86276,-60.6095,SL
2025-06-05,163.37933,163.99859,-62.9257,SL
2025-06-13,166.11633,165.24897,85.7365,TP
2025-06-19,166.574,167.19507,-63.1069,SL
2025-06-23,168.16933,168.75921,-59.9873,SL
2025-06-25,168.481,169.13401,-66.3015,SL
2025-07-03,169.38633,170.01115,-63.4817,SL
2025-07-10,171.67967,170.83125,83.8417,TP
2025-07-11,171.29433,171.89921,-61.4876,SL
2025-07-17,172.42833,173.03918,-62.0843,SL
2025-08-08,171.622,172.35376,-74.1764,SL
2025-09-03,172.852,173.33941,-49.7406,SL
2025-09-04,172.786,173.27809,-50.2092,SL
2025-09-09,173.47133,172.77696,68.4372,TP
2025-09-10,172.699,173.22725,-53.8253,SL
2025-09-11,172.56067,173.08024,-52.957,SL
2025-09-15,173.186,173.65153,-47.5532,SL
2025-09-21,173.743,174.20639,-47.3388,SL
2025-09-29,174.90233,174.39296,49.9377,TP
2025-09-30,174.413,173.87463,52.8373,TP
2025-10-14,176.38,175.54673,82.3273,TP
2025-10-16,175.85767,175.00672,84.095,TP
2025-10-17,175.85367,174.99294,85.0728,TP
2025-10-21,175.741,176.3327,-60.1698,SL
2025-10-29,177.21733,177.76424,-55.6911,SL
2025-11-05,176.70433,175.8653,82.9035,TP
2025-11-07,176.70967,177.34008,-64.041,SL
2025-11-09,177.416,178.0105,-60.45,SL
2025-11-10,177.57133,178.13987,-57.8536,SL
2025-11-17,179.566,180.07797,-52.1973,SL
2025-11-25,180.76533,181.3265,-57.1169,SL
2025-12-01,180.958,180.24509,70.2913,TP
2025-12-02,180.56033,181.07608,-52.575,SL
2025-12-04,181.07133,180.34469,71.6644,TP
2025-12-05,180.77,181.29661,-53.6608,SL
2025-12-11,182.28967,182.80506,-52.5396,SL
2025-12-16,182.352,181.68086,66.1145,TP
2025-12-17,182.00833,182.49143,-49.3097,SL
2025-12-19,182.59167,183.1175,-53.583,SL
2025-12-25,183.682,184.24352,-57.1521,SL
2025-12-30,183.85267,184.34863,-50.5966,SL
2025-12-31,183.74,184.23424,-50.424,SL
