pair,date,regime,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
EURUSD,2015-01-01,BELOW,SELL1,SELL,100.0,1.20976,1.20768,TP,20.8,2080.0,94011,94035
EURUSD,2015-01-01,BELOW,BUY1,BUY,130.0,1.20976,1.17968,SL,-300.8,-39104.0,94011,94187
EURUSD,2015-01-01,BELOW,BUY2,BUY,130.0,1.20697,1.17968,SL,-272.9,-35477.0,94035,94187
EURUSD,2015-01-02,BELOW,SELL1,SELL,100.0,1.20871,1.20583,TP,28.8,2880.0,94035,94036
EURUSD,2015-01-02,BELOW,BUY1,BUY,130.0,1.20871,1.17783,SL,-308.8,-40144.0,94035,94189
EURUSD,2015-01-02,BELOW,BUY2,BUY,130.0,1.20073,1.17783,SL,-229.0,-29770.0,94052,94189
EURUSD,2015-01-03,BELOW,SELL1,SELL,100.0,1.20017,1.19804,TP,21.3,2130.0,94059,94105
EURUSD,2015-01-03,BELOW,BUY1,BUY,130.0,1.20017,1.17004,SL,-301.3,-39169.0,94059,94356
EURUSD,2015-01-03,BELOW,BUY2,BUY,130.0,1.1989,1.17004,SL,-288.6,-37518.0,94105,94356
EURUSD,2015-01-05,ABOVE,BUY1,BUY,100.0,1.19469,1.18677,SL,-79.2,-7920.0,94107,94153
EURUSD,2015-01-05,ABOVE,SELL1,SELL,130.0,1.19469,1.18677,TP,79.2,10296.0,94107,94153
EURUSD,2015-01-06,ABOVE,BUY1,BUY,100.0,1.19374,1.18872,SL,-50.2,-5020.0,94131,94143
EURUSD,2015-01-06,ABOVE,SELL1,SELL,130.0,1.19374,1.18872,TP,50.2,6526.0,94131,94143
EURUSD,2015-01-07,BELOW,SELL1,SELL,100.0,1.18722,1.18261,TP,46.1,4610.0,94155,94166
EURUSD,2015-01-07,BELOW,BUY1,BUY,130.0,1.18722,1.18661,TP,-6.1,-793.0,94155,94273
EURUSD,2015-01-07,BELOW,BUY2,BUY,130.0,1.18687,1.18661,TP,-2.6,-338.0,94166,94273
EURUSD,2015-01-08,BELOW,SELL1,SELL,100.0,1.18337,1.17822,TP,51.5,5150.0,94179,94188
EURUSD,2015-01-08,BELOW,BUY1,BUY,130.0,1.18337,1.18222,TP,-11.5,-1495.0,94179,94216
EURUSD,2015-01-08,BELOW,BUY2,BUY,130.0,1.17966,1.18222,TP,25.6,3328.0,94188,94216
EURUSD,2015-01-09,BELOW,SELL1,SELL,100.0,1.1792,1.18475,SL,-55.5,-5550.0,94203,94273
EURUSD,2015-01-09,BELOW,BUY1,BUY,130.0,1.1792,1.18475,TP,55.5,7215.0,94203,94273
EURUSD,2015-01-10,ABOVE,BUY1,BUY,100.0,1.18406,1.1866,TP,25.4,2540.0,94227,94273
EURUSD,2015-01-10,ABOVE,SELL1,SELL,130.0,1.18406,1.1826,TP,14.6,1898.0,94227,94283
EURUSD,2015-01-10,ABOVE,SELL2,SELL,130.0,1.18629,1.1826,TP,36.9,4797.0,94273,94283
EURUSD,2015-01-12,ABOVE,BUY1,BUY,100.0,1.18697,1.18406,SL,-29.1,-2910.0,94275,94283
EURUSD,2015-01-12,ABOVE,SELL1,SELL,130.0,1.18697,1.18406,TP,29.1,3783.0,94275,94283
EURUSD,2015-01-13,ABOVE,BUY1,BUY,100.0,1.18319,1.17861,SL,-45.8,-4580.0,94299,94311
EURUSD,2015-01-13,ABOVE,SELL1,SELL,130.0,1.18319,1.17861,TP,45.8,5954.0,94299,94311
EURUSD,2015-01-14,BELOW,SELL1,SELL,100.0,1.17771,1.17331,TP,44.0,4400.0,94323,94332
EURUSD,2015-01-14,BELOW,BUY1,BUY,130.0,1.17771,1.17731,TP,-4.0,-520.0,94323,94336
EURUSD,2015-01-14,BELOW,BUY2,BUY,130.0,1.17596,1.17731,TP,13.5,1755.0,94332,94336
EURUSD,2015-01-15,BELOW,SELL1,SELL,100.0,1.1784,1.17073,TP,76.7,7670.0,94347,94356
EURUSD,2015-01-15,BELOW,BUY1,BUY,130.0,1.1784,1.17473,TP,-36.7,-4771.0,94347,94357
EURUSD,2015-01-15,BELOW,BUY2,BUY,130.0,1.17464,1.17473,TP,0.9,117.0,94356,94357
EURUSD,2015-01-16,BELOW,SELL1,SELL,100.0,1.16361,1.15475,TP,88.6,8860.0,94371,94385
EURUSD,2015-01-16,BELOW,BUY1,BUY,130.0,1.16361,1.15875,TP,-48.6,-6318.0,94371,94391
EURUSD,2015-01-16,BELOW,BUY2,BUY,130.0,1.16903,1.15875,TP,-102.8,-13364.0,94385,94391
EURUSD,2015-01-17,ABOVE,BUY1,BUY,100.0,1.15626,1.16687,TP,106.1,10610.0,94395,94505
EURUSD,2015-01-17,ABOVE,SELL1,SELL,130.0,1.15626,1.16287,TP,-66.1,-8593.0,94395,94506
EURUSD,2015-01-17,ABOVE,SELL2,SELL,130.0,1.156,1.16287,TP,-68.7,-8931.0,94505,94506
EURUSD,2015-01-19,BELOW,SELL1,SELL,100.0,1.15614,1.15735,SL,-12.1,-1210.0,94443,94444
EURUSD,2015-01-19,BELOW,BUY1,BUY,130.0,1.15614,1.15735,TP,12.1,1573.0,94443,94444
EURUSD,2015-01-20,BELOW,SELL1,SELL,100.0,1.15946,1.16388,SL,-44.2,-4420.0,94467,94505
EURUSD,2015-01-20,BELOW,BUY1,BUY,130.0,1.15946,1.16388,TP,44.2,5746.0,94467,94505
EURUSD,2015-01-21,BELOW,SELL1,SELL,100.0,1.15454,1.1615,SL,-69.6,-6960.0,94491,94504
EURUSD,2015-01-21,BELOW,BUY1,BUY,130.0,1.15454,1.1615,TP,69.6,9048.0,94491,94504
EURUSD,2015-01-22,ABOVE,BUY1,BUY,100.0,1.16146,1.15412,SL,-73.4,-7340.0,94515,94528
EURUSD,2015-01-22,ABOVE,SELL1,SELL,130.0,1.16146,1.15412,TP,73.4,9542.0,94515,94528
EURUSD,2015-01-23,BELOW,SELL1,SELL,100.0,1.13468,1.1296,TP,50.8,5080.0,94539,94547
EURUSD,2015-01-23,BELOW,BUY1,BUY,130.0,1.13468,1.1336,TP,-10.8,-1404.0,94539,94643
EURUSD,2015-01-23,BELOW,BUY2,BUY,130.0,1.15505,1.1336,TP,-214.5,-27885.0,94547,94643
