pair,date,regime,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
USDJPY,2015-01-01,ABOVE,BUY1,BUY,100.0,119.724,120.14,TP,41.6,4160.0,100032,100057
USDJPY,2015-01-01,ABOVE,SELL1,SELL,130.0,119.724,119.74,TP,-1.6,-208.0,100032,100142
USDJPY,2015-01-01,ABOVE,SELL2,SELL,130.0,120.25,119.74,TP,51.0,6630.0,100057,100142
USDJPY,2015-01-02,ABOVE,BUY1,BUY,100.0,119.885,120.167,TP,28.2,2820.0,100056,100057
USDJPY,2015-01-02,ABOVE,SELL1,SELL,130.0,119.885,119.767,TP,11.8,1534.0,100056,100141
USDJPY,2015-01-02,ABOVE,SELL2,SELL,130.0,120.701,119.767,TP,93.4,12142.0,100070,100141
USDJPY,2015-01-03,ABOVE,BUY1,BUY,100.0,120.445,119.805,SL,-64.0,-6400.0,100080,100141
USDJPY,2015-01-03,ABOVE,SELL1,SELL,130.0,120.445,119.805,TP,64.0,8320.0,100080,100141
USDJPY,2015-01-05,BELOW,SELL1,SELL,100.0,120.395,120.119,TP,27.6,2760.0,100128,100128
USDJPY,2015-01-05,BELOW,BUY1,BUY,130.0,120.395,120.519,TP,12.4,1612.0,100128,100131
USDJPY,2015-01-05,BELOW,BUY2,BUY,130.0,119.6,117.319,SL,-228.1,-29653.0,100142,100348
USDJPY,2015-01-06,BELOW,SELL1,SELL,100.0,119.422,119.059,TP,36.3,3630.0,100152,100157
USDJPY,2015-01-06,BELOW,BUY1,BUY,130.0,119.422,119.459,TP,3.7,481.0,100152,100189
USDJPY,2015-01-06,BELOW,BUY2,BUY,130.0,119.645,119.459,TP,-18.6,-2418.0,100157,100189
USDJPY,2015-01-07,BELOW,SELL1,SELL,100.0,118.662,119.507,SL,-84.5,-8450.0,100176,100189
USDJPY,2015-01-07,BELOW,BUY1,BUY,130.0,118.662,119.507,TP,84.5,10985.0,100176,100189
USDJPY,2015-01-08,ABOVE,BUY1,BUY,100.0,119.281,119.848,TP,56.7,5670.0,100200,100206
USDJPY,2015-01-08,ABOVE,SELL1,SELL,130.0,119.281,119.448,TP,-16.7,-2171.0,100200,100213
USDJPY,2015-01-08,ABOVE,SELL2,SELL,130.0,119.641,119.448,TP,19.3,2509.0,100206,100213
USDJPY,2015-01-09,ABOVE,BUY1,BUY,100.0,119.797,119.159,SL,-63.8,-6380.0,100224,100237
USDJPY,2015-01-09,ABOVE,SELL1,SELL,130.0,119.797,119.159,TP,63.8,8294.0,100224,100237
USDJPY,2015-01-10,BELOW,SELL1,SELL,100.0,118.464,118.219,TP,24.5,2450.0,100248,100295
USDJPY,2015-01-10,BELOW,BUY1,BUY,130.0,118.464,118.619,TP,15.5,2015.0,100248,100304
USDJPY,2015-01-10,BELOW,BUY2,BUY,130.0,118.852,118.619,TP,-23.3,-3029.0,100295,100304
USDJPY,2015-01-12,BELOW,SELL1,SELL,100.0,118.232,118.464,SL,-23.2,-2320.0,100296,100298
USDJPY,2015-01-12,BELOW,BUY1,BUY,130.0,118.232,118.464,TP,23.2,3016.0,100296,100298
USDJPY,2015-01-13,BELOW,SELL1,SELL,100.0,118.337,117.89999999999999,TP,43.7,4370.0,100320,100320
USDJPY,2015-01-13,BELOW,BUY1,BUY,130.0,118.337,118.3,TP,-3.7,-481.0,100320,100324
USDJPY,2015-01-13,BELOW,BUY2,BUY,130.0,118.318,118.3,TP,-1.8,-234.0,100320,100324
USDJPY,2015-01-14,BELOW,SELL1,SELL,100.0,117.813,117.336,TP,47.7,4770.0,100344,100347
USDJPY,2015-01-14,BELOW,BUY1,BUY,130.0,117.813,117.736,TP,-7.7,-1001.0,100344,100369
USDJPY,2015-01-14,BELOW,BUY2,BUY,130.0,117.849,117.736,TP,-11.3,-1469.0,100347,100369
USDJPY,2015-01-15,ABOVE,BUY1,BUY,100.0,117.431,116.072,SL,-135.9,-13590.0,100368,100390
USDJPY,2015-01-15,ABOVE,SELL1,SELL,130.0,117.431,116.072,TP,135.9,17667.0,100368,100390
USDJPY,2015-01-16,BELOW,SELL1,SELL,100.0,116.135,117.942,SL,-180.7,-18070.0,100392,100489
USDJPY,2015-01-16,BELOW,BUY1,BUY,130.0,116.135,117.942,TP,180.7,23491.0,100392,100489
USDJPY,2015-01-17,ABOVE,BUY1,BUY,100.0,117.58,117.962,TP,38.2,3820.0,100416,100489
USDJPY,2015-01-17,ABOVE,SELL1,SELL,130.0,117.58,117.562,TP,1.8,234.0,100416,100518
USDJPY,2015-01-17,ABOVE,SELL2,SELL,130.0,116.853,117.562,TP,-70.9,-9217.0,100489,100518
USDJPY,2015-01-19,ABOVE,BUY1,BUY,100.0,117.593,117.357,SL,-23.6,-2360.0,100464,100465
USDJPY,2015-01-19,ABOVE,SELL1,SELL,130.0,117.593,117.357,TP,23.6,3068.0,100464,100465
USDJPY,2015-01-20,ABOVE,BUY1,BUY,100.0,117.743,118.023,TP,28.0,2800.0,100488,100489
USDJPY,2015-01-20,ABOVE,SELL1,SELL,130.0,117.743,117.62299999999999,TP,12.0,1560.0,100488,100518
