pair,date,regime,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
EURJPY,2015-01-01,BELOW,SELL1,SELL,100.0,144.771,144.544,TP,22.7,2270.0,85800,85839
EURJPY,2015-01-01,BELOW,BUY1,BUY,130.0,144.771,141.744,SL,-302.7,-39351.0,85800,85928
EURJPY,2015-01-02,ABOVE,BUY1,BUY,100.0,144.914,144.771,SL,-14.3,-1430.0,85824,85824
EURJPY,2015-01-02,ABOVE,SELL1,SELL,130.0,144.914,144.771,TP,14.3,1859.0,85824,85824
EURJPY,2015-01-03,BELOW,SELL1,SELL,100.0,144.58,143.924,TP,65.6,6560.0,85848,85894
EURJPY,2015-01-03,BELOW,BUY1,BUY,130.0,144.58,141.124,SL,-345.6,-44928.0,85848,85936
EURJPY,2015-01-05,BELOW,SELL1,SELL,100.0,143.84,142.93200000000002,TP,90.8,9080.0,85896,85908
EURJPY,2015-01-05,BELOW,BUY1,BUY,130.0,143.84,140.132,SL,-370.8,-48204.0,85896,86062
EURJPY,2015-01-06,BELOW,SELL1,SELL,100.0,142.564,142.078,TP,48.6,4860.0,85920,85926
EURJPY,2015-01-06,BELOW,BUY1,BUY,130.0,142.564,139.278,SL,-328.6,-42718.0,85920,86104
EURJPY,2015-01-07,BELOW,SELL1,SELL,100.0,140.878,140.37400000000002,TP,50.4,5040.0,85944,86006
EURJPY,2015-01-07,BELOW,BUY1,BUY,130.0,140.878,140.774,TP,-10.4,-1352.0,85944,86074
EURJPY,2015-01-08,BELOW,SELL1,SELL,100.0,141.157,141.668,SL,-51.1,-5110.0,85968,85971
EURJPY,2015-01-08,BELOW,BUY1,BUY,130.0,141.157,141.668,TP,51.1,6643.0,85968,85971
EURJPY,2015-01-09,ABOVE,BUY1,BUY,100.0,141.265,140.715,SL,-55.0,-5500.0,85992,86005
EURJPY,2015-01-09,ABOVE,SELL1,SELL,130.0,141.265,140.715,TP,55.0,7150.0,85992,86005
EURJPY,2015-01-10,BELOW,SELL1,SELL,100.0,140.334,139.989,TP,34.5,3450.0,86016,86079
EURJPY,2015-01-10,BELOW,BUY1,BUY,130.0,140.334,140.38899999999998,TP,5.5,715.0,86016,86093
EURJPY,2015-01-12,ABOVE,BUY1,BUY,100.0,140.342,140.101,SL,-24.1,-2410.0,86064,86069
EURJPY,2015-01-12,ABOVE,SELL1,SELL,130.0,140.342,140.101,TP,24.1,3133.0,86064,86069
EURJPY,2015-01-13,BELOW,SELL1,SELL,100.0,140.011,139.54600000000002,TP,46.5,4650.0,86088,86088
EURJPY,2015-01-13,BELOW,BUY1,BUY,130.0,140.011,139.946,TP,-6.5,-845.0,86088,86092
EURJPY,2015-01-14,BELOW,SELL1,SELL,100.0,138.753,138.11800000000002,TP,63.5,6350.0,86112,86117
EURJPY,2015-01-14,BELOW,BUY1,BUY,130.0,138.753,138.518,TP,-23.5,-3055.0,86112,86136
EURJPY,2015-01-15,ABOVE,BUY1,BUY,100.0,138.386,137.005,SL,-138.1,-13810.0,86136,86145
EURJPY,2015-01-15,ABOVE,SELL1,SELL,130.0,138.386,137.005,TP,138.1,17953.0,86136,86145
EURJPY,2015-01-16,BELOW,SELL1,SELL,100.0,135.146,134.497,TP,64.9,6490.0,86160,86320
EURJPY,2015-01-16,BELOW,BUY1,BUY,130.0,135.146,134.897,TP,-24.9,-3237.0,86160,86327
EURJPY,2015-01-17,ABOVE,BUY1,BUY,100.0,135.977,136.38,TP,40.3,4030.0,86184,86245
EURJPY,2015-01-17,ABOVE,SELL1,SELL,130.0,135.977,135.98000000000002,TP,-0.3,-39.0,86184,86286
EURJPY,2015-01-19,ABOVE,BUY1,BUY,100.0,135.958,135.646,SL,-31.2,-3120.0,86232,86233
EURJPY,2015-01-19,ABOVE,SELL1,SELL,130.0,135.958,135.646,TP,31.2,4056.0,86232,86233
EURJPY,2015-01-20,ABOVE,BUY1,BUY,100.0,136.518,137.02499999999998,TP,50.7,5070.0,86256,86258
EURJPY,2015-01-20,ABOVE,SELL1,SELL,130.0,136.518,136.625,TP,-10.7,-1391.0,86256,86264
EURJPY,2015-01-21,BELOW,SELL1,SELL,100.0,136.998,136.29500000000002,TP,70.3,7030.0,86280,86283
EURJPY,2015-01-21,BELOW,BUY1,BUY,130.0,136.998,136.695,TP,-30.3,-3939.0,86280,86294
EURJPY,2015-01-22,ABOVE,BUY1,BUY,100.0,136.874,135.8,SL,-107.4,-10740.0,86304,86318
EURJPY,2015-01-22,ABOVE,SELL1,SELL,130.0,136.874,135.8,TP,107.4,13962.0,86304,86318
EURJPY,2015-01-23,BELOW,SELL1,SELL,100.0,134.699,134.019,TP,68.0,6800.0,86328,86334
EURJPY,2015-01-23,BELOW,BUY1,BUY,130.0,134.699,131.219,SL,-348.0,-45240.0,86328,86340
EURJPY,2015-01-24,BELOW,SELL1,SELL,100.0,131.932,130.708,TP,122.4,12240.0,86352,86399
EURJPY,2015-01-24,BELOW,BUY1,BUY,130.0,131.932,131.10799999999998,TP,-82.4,-10712.0,86352,86400
EURJPY,2015-01-26,BELOW,SELL1,SELL,100.0,130.834,131.932,SL,-109.8,-10980.0,86400,86406
EURJPY,2015-01-26,BELOW,BUY1,BUY,130.0,130.834,131.932,TP,109.8,14274.0,86400,86406
EURJPY,2015-01-27,ABOVE,BUY1,BUY,100.0,133.335,133.911,TP,57.6,5760.0,86424,86432
EURJPY,2015-01-27,ABOVE,SELL1,SELL,130.0,133.335,133.51100000000002,TP,-17.6,-2288.0,86424,86433
EURJPY,2015-01-28,ABOVE,BUY1,BUY,100.0,133.893,132.499,SL,-139.4,-13940.0,86448,86468
EURJPY,2015-01-28,ABOVE,SELL1,SELL,130.0,133.893,132.499,TP,139.4,18122.0,86448,86468
EURJPY,2015-01-29,BELOW,SELL1,SELL,100.0,132.673,134.357,SL,-168.4,-16840.0,86472,86605
EURJPY,2015-01-29,BELOW,BUY1,BUY,130.0,132.673,134.357,TP,168.4,21892.0,86472,86605
EURJPY,2015-01-30,ABOVE,BUY1,BUY,100.0,134.048,132.557,SL,-149.1,-14910.0,86496,86511
EURJPY,2015-01-30,ABOVE,SELL1,SELL,130.0,134.048,132.557,TP,149.1,19383.0,86496,86511
EURJPY,2015-01-31,BELOW,SELL1,SELL,100.0,132.638,134.08,SL,-144.2,-14420.0,86520,86605
EURJPY,2015-01-31,BELOW,BUY1,BUY,130.0,132.638,134.08,TP,144.2,18746.0,86520,86605
EURJPY,2015-02-02,ABOVE,BUY1,BUY,100.0,132.505,132.874,TP,36.9,3690.0,86568,86569
EURJPY,2015-02-02,ABOVE,SELL1,SELL,130.0,132.505,132.47400000000002,TP,3.1,403.0,86568,86596
EURJPY,2015-02-03,ABOVE,BUY1,BUY,100.0,133.332,132.462,SL,-87.0,-8700.0,86592,86596
EURJPY,2015-02-03,ABOVE,SELL1,SELL,130.0,133.332,132.462,TP,87.0,11310.0,86592,86596
EURJPY,2015-02-04,ABOVE,BUY1,BUY,100.0,134.797,135.391,TP,59.4,5940.0,86616,86785
EURJPY,2015-02-04,ABOVE,SELL1,SELL,130.0,134.797,134.991,TP,-19.4,-2522.0,86616,86816
EURJPY,2015-02-05,BELOW,SELL1,SELL,100.0,132.747,135.356,SL,-260.9,-26090.0,86640,86785
EURJPY,2015-02-05,BELOW,BUY1,BUY,130.0,132.747,135.356,TP,260.9,33917.0,86640,86785
EURJPY,2015-02-06,ABOVE,BUY1,BUY,100.0,134.823,135.361,TP,53.8,5380.0,86664,86785
EURJPY,2015-02-06,ABOVE,SELL1,SELL,130.0,134.823,134.961,TP,-13.8,-1794.0,86664,86816
EURJPY,2015-02-07,ABOVE,BUY1,BUY,100.0,134.73,134.001,SL,-72.9,-7290.0,86688,86747
EURJPY,2015-02-07,ABOVE,SELL1,SELL,130.0,134.73,134.001,TP,72.9,9477.0,86688,86747
EURJPY,2015-02-10,BELOW,SELL1,SELL,100.0,134.294,134.989,SL,-69.5,-6950.0,86760,86773
EURJPY,2015-02-10,BELOW,BUY1,BUY,130.0,134.294,134.989,TP,69.5,9035.0,86760,86773
EURJPY,2015-02-11,ABOVE,BUY1,BUY,100.0,135.095,135.48899999999998,TP,39.4,3940.0,86784,86792
EURJPY,2015-02-11,ABOVE,SELL1,SELL,130.0,135.095,135.089,TP,0.6,78.0,86784,86816
EURJPY,2015-02-12,ABOVE,BUY1,BUY,100.0,135.958,135.031,SL,-92.7,-9270.0,86808,86816
EURJPY,2015-02-12,ABOVE,SELL1,SELL,130.0,135.958,135.031,TP,92.7,12051.0,86808,86816
EURJPY,2015-02-13,ABOVE,BUY1,BUY,100.0,135.619,134.714,SL,-90.5,-9050.0,86832,86920
EURJPY,2015-02-13,ABOVE,SELL1,SELL,130.0,135.619,134.714,TP,90.5,11765.0,86832,86920
EURJPY,2015-02-14,BELOW,SELL1,SELL,100.0,135.224,134.959,TP,26.5,2650.0,86856,86920
EURJPY,2015-02-14,BELOW,BUY1,BUY,130.0,135.224,135.35899999999998,TP,13.5,1755.0,86856,86937
EURJPY,2015-02-16,ABOVE,BUY1,BUY,100.0,135.206,135.001,SL,-20.5,-2050.0,86904,86920
EURJPY,2015-02-16,ABOVE,SELL1,SELL,130.0,135.206,135.001,TP,20.5,2665.0,86904,86920
EURJPY,2015-02-17,BELOW,SELL1,SELL,100.0,134.276,135.558,SL,-128.2,-12820.0,86928,86938
EURJPY,2015-02-17,BELOW,BUY1,BUY,130.0,134.276,135.558,TP,128.2,16666.0,86928,86938
EURJPY,2015-02-18,ABOVE,BUY1,BUY,100.0,135.945,133.933,SL,-201.2,-20120.0,86952,87013
EURJPY,2015-02-18,ABOVE,SELL1,SELL,130.0,135.945,133.933,TP,201.2,26156.0,86952,87013
EURJPY,2015-02-19,BELOW,SELL1,SELL,100.0,135.336,134.877,TP,45.9,4590.0,86976,87007
EURJPY,2015-02-19,BELOW,BUY1,BUY,130.0,135.336,135.277,TP,-5.9,-767.0,86976,87017
EURJPY,2015-02-20,BELOW,SELL1,SELL,100.0,135.231,134.746,TP,48.5,4850.0,87000,87008
