pair,date,leg,entry,exit,reason,pips,atr_pips,dist_pips
USDJPY,2022-01-01,BUY,115.097,115.28986,TP,17.286,38.57196,19.28598
USDJPY,2022-01-01,SELL,115.097,115.19986,SL,-12.286,38.57196,19.28598
USDJPY,2022-01-02,BUY,115.091,115.270084,TP,15.9084,35.81682,17.90841
USDJPY,2022-01-02,SELL,115.091,115.186084,SL,-11.5084,35.81682,17.90841
USDJPY,2022-01-03,BUY,115.101,115.002458,SL,-11.8542,34.308476,17.154238
USDJPY,2022-01-03,SELL,115.101,115.117542,SL,-3.6542,34.308476,17.154238
USDJPY,2022-01-04,BUY,115.214,115.243711,BOTH_SL,0.9711,34.85787,17.428935
USDJPY,2022-01-04,SELL,115.214,115.351289,SL,-15.7289,34.85787,17.428935
USDJPY,2022-01-05,BUY,115.937667,116.000196,BOTH_SL,4.2529,39.96088,19.98044
USDJPY,2022-01-05,SELL,115.937667,116.105804,SL,-18.8138,39.96088,19.98044
USDJPY,2022-01-06,BUY,115.994667,115.889253,SL,-12.5414,41.549388,20.774694
USDJPY,2022-01-06,SELL,115.994667,115.78692,TP,18.7747,41.549388,20.774694
USDJPY,2022-01-07,BUY,115.890333,115.833128,SL,-7.7205,42.574432,21.287216
USDJPY,2022-01-07,SELL,115.890333,115.898872,SL,-2.8539,42.574432,21.287216
USDJPY,2022-01-08,BUY,115.694,115.632083,SL,-8.1917,43.383401,21.691701
USDJPY,2022-01-08,SELL,115.694,115.513917,BOTH_SL,16.0083,43.383401,21.691701
USDJPY,2022-01-09,BUY,115.529,115.730423,TP,18.1423,40.284587,20.142293
USDJPY,2022-01-09,SELL,115.529,115.730423,SL,-22.1423,40.284587,20.142293
USDJPY,2022-01-10,BUY,115.605,115.796928,TP,17.1928,38.385688,19.192844
USDJPY,2022-01-10,SELL,115.605,115.735928,SL,-15.0928,38.385688,19.192844
USDJPY,2022-01-11,BUY,115.389,115.596076,TP,18.7076,41.415281,20.707641
USDJPY,2022-01-11,SELL,115.389,115.506076,SL,-13.7076,41.415281,20.707641
USDJPY,2022-01-12,BUY,115.378667,115.258893,SL,-13.9773,42.421333,21.210666
USDJPY,2022-01-12,SELL,115.378667,115.463107,SL,-10.444,42.421333,21.210666
USDJPY,2022-01-13,BUY,114.840667,114.820044,SL,-4.0623,47.191237,23.595619
USDJPY,2022-01-13,SELL,114.840667,114.937956,SL,-11.729,47.191237,23.595619
USDJPY,2022-01-14,BUY,114.270333,114.514471,TP,22.4138,48.827578,24.413789
USDJPY,2022-01-14,SELL,114.270333,114.458138,SL,-20.7805,48.827578,24.413789
USDJPY,2022-01-15,BUY,113.977333,113.976265,SL,-2.1069,50.947036,25.473518
USDJPY,2022-01-15,SELL,113.977333,114.215735,SL,-25.8402,50.947036,25.473518
USDJPY,2022-01-16,BUY,114.187,114.42354,TP,21.654,47.307962,23.653981
USDJPY,2022-01-16,SELL,114.187,114.35554,SL,-18.854,47.307962,23.653981
USDJPY,2022-01-17,BUY,114.255333,114.482835,TP,20.7501,45.500251,22.750125
USDJPY,2022-01-17,SELL,114.255333,114.432501,SL,-19.7168,45.500251,22.750125
USDJPY,2022-01-18,BUY,114.498667,114.606356,BOTH_SL,8.7689,44.928804,22.464402
USDJPY,2022-01-18,SELL,114.498667,114.672644,SL,-19.3977,44.928804,22.464402
USDJPY,2022-01-19,BUY,114.686667,114.556688,SL,-14.9979,46.062461,23.031231
USDJPY,2022-01-19,SELL,114.686667,114.769312,SL,-10.2646,46.062461,23.031231
USDJPY,2022-01-20,BUY,114.446333,114.311353,SL,-15.498,46.929428,23.464714
USDJPY,2022-01-20,SELL,114.446333,114.487647,SL,-6.1314,46.929428,23.464714
USDJPY,2022-01-21,BUY,114.132,113.912542,SL,-23.9458,48.491612,24.245806
USDJPY,2022-01-21,SELL,114.132,113.889542,TP,22.2458,48.491612,24.245806
USDJPY,2022-01-22,BUY,113.763667,113.733539,SL,-5.0128,48.092211,24.046106
USDJPY,2022-01-22,SELL,113.763667,113.898461,SL,-15.4794,48.092211,24.046106
USDJPY,2022-01-23,BUY,113.656,113.879285,TP,20.3285,44.657053,22.328527
USDJPY,2022-01-23,SELL,113.656,113.852285,SL,-21.6285,44.657053,22.328527
USDJPY,2022-01-24,BUY,113.739,113.760521,BOTH_SL,0.1521,42.695835,21.347918
USDJPY,2022-01-24,SELL,113.739,113.925479,SL,-20.6479,42.695835,21.347918
USDJPY,2022-01-25,BUY,113.858,113.778305,SL,-9.9695,44.13899,22.069495
USDJPY,2022-01-25,SELL,113.858,113.887695,SL,-4.9695,44.13899,22.069495
USDJPY,2022-01-26,BUY,113.904667,114.127026,TP,20.236,44.471919,22.235959
USDJPY,2022-01-26,SELL,113.904667,114.08136,SL,-19.6693,44.471919,22.235959
USDJPY,2022-01-27,BUY,114.413,114.363023,SL,-6.9977,48.195353,24.097677
USDJPY,2022-01-27,SELL,114.413,114.390977,BOTH_SL,0.2023,48.195353,24.097677
USDJPY,2022-01-28,BUY,115.104333,114.930986,SL,-19.3347,52.002828,26.001414
USDJPY,2022-01-28,SELL,115.104333,115.183014,SL,-9.8681,52.002828,26.001414
USDJPY,2022-01-29,BUY,115.329,115.328415,SL,-2.0585,52.316912,26.158456
USDJPY,2022-01-29,SELL,115.329,115.480585,SL,-17.1585,52.316912,26.158456
USDJPY,2022-01-30,BUY,115.181,115.4239,TP,22.29,48.57999,24.289995
USDJPY,2022-01-30,SELL,115.181,115.4239,SL,-26.29,48.57999,24.289995
USDJPY,2022-01-31,BUY,115.272333,115.504776,TP,21.2443,46.488562,23.244281
USDJPY,2022-01-31,SELL,115.272333,115.451443,SL,-19.9109,46.488562,23.244281
USDJPY,2022-02-01,BUY,115.211,115.151339,SL,-7.9661,47.932236,23.966118
USDJPY,2022-02-01,SELL,115.211,115.102661,BOTH_SL,8.8339,47.932236,23.966118
USDJPY,2022-02-02,BUY,114.83,115.074864,TP,22.4864,48.97279,24.486395
USDJPY,2022-02-02,SELL,114.83,114.976864,SL,-16.6864,48.97279,24.486395
USDJPY,2022-02-03,BUY,114.443667,114.694326,TP,23.0659,50.131877,25.065938
USDJPY,2022-02-03,SELL,114.443667,114.575659,SL,-15.1993,50.131877,25.065938
USDJPY,2022-02-04,BUY,114.756,114.585638,SL,-19.0362,51.272457,25.636229
USDJPY,2022-02-04,SELL,114.756,114.499638,TP,23.6362,51.272457,25.636229
USDJPY,2022-02-05,BUY,115.118333,114.992556,SL,-14.5777,52.28871,26.144355
USDJPY,2022-02-05,SELL,115.118333,115.174444,SL,-7.611,52.28871,26.144355
USDJPY,2022-02-06,BUY,115.154,115.133231,SL,-4.0769,48.553802,24.276901
USDJPY,2022-02-06,SELL,115.154,115.155769,SL,-2.1769,48.553802,24.276901
USDJPY,2022-02-07,BUY,115.233667,115.144572,SL,-10.9095,46.285674,23.142837
USDJPY,2022-02-07,SELL,115.233667,115.366428,SL,-15.2762,46.285674,23.142837
USDJPY,2022-02-08,BUY,115.117333,115.078567,SL,-5.8767,46.286697,23.143348
USDJPY,2022-02-08,SELL,115.117333,115.290433,SL,-19.31,46.286697,23.143348
USDJPY,2022-02-09,BUY,115.424333,115.661379,TP,21.7045,47.409076,23.704538
USDJPY,2022-02-09,SELL,115.424333,115.557045,SL,-15.2712,47.409076,23.704538
USDJPY,2022-02-10,BUY,115.506333,115.646851,BOTH_SL,12.0517,46.029856,23.014928
USDJPY,2022-02-10,SELL,115.506333,115.711149,SL,-22.4816,46.029856,23.014928
USDJPY,2022-02-11,BUY,115.956333,115.923719,SL,-5.2615,48.856295,24.428147
USDJPY,2022-02-11,SELL,115.956333,115.523281,BOTH_SL,41.3052,48.856295,24.428147
USDJPY,2022-02-12,BUY,115.531333,115.32556,SL,-22.5773,53.687988,26.843994
USDJPY,2022-02-12,SELL,115.531333,115.57144,SL,-6.0107,53.687988,26.843994
USDJPY,2022-02-13,BUY,115.411,115.344734,SL,-8.6266,49.853132,24.926566
USDJPY,2022-02-13,SELL,115.411,115.564266,SL,-17.3266,49.853132,24.926566
USDJPY,2022-02-14,BUY,115.497,115.352646,SL,-16.4354,48.270765,24.135383
USDJPY,2022-02-14,SELL,115.497,115.544354,SL,-6.7354,48.270765,24.135383
USDJPY,2022-02-15,BUY,115.431333,115.3056,SL,-14.5733,50.079996,25.039998
USDJPY,2022-02-15,SELL,115.431333,115.5074,SL,-9.6067,50.079996,25.039998
USDJPY,2022-02-16,BUY,115.589667,115.524486,SL,-8.5181,50.902854,25.451427
USDJPY,2022-02-16,SELL,115.589667,115.707514,SL,-13.7848,50.902854,25.451427
USDJPY,2022-02-17,BUY,115.505,115.283487,SL,-24.1513,50.50265,25.251325
USDJPY,2022-02-17,SELL,115.505,115.367513,BOTH_SL,11.7487,50.50265,25.251325
USDJPY,2022-02-18,BUY,115.064333,115.014095,SL,-7.0238,52.181032,26.090516
USDJPY,2022-02-18,SELL,115.064333,115.180905,SL,-13.6572,52.181032,26.090516
USDJPY,2022-02-19,BUY,115.024667,114.862552,SL,-18.2114,52.08953,26.044765
USDJPY,2022-02-19,SELL,115.024667,114.764219,TP,24.0448,52.08953,26.044765
USDJPY,2022-02-20,BUY,114.991,114.881156,SL,-12.9844,48.368849,24.184425
USDJPY,2022-02-20,SELL,114.991,115.110844,SL,-13.9844,48.368849,24.184425
USDJPY,2022-02-21,BUY,114.963,114.878716,SL,-10.4284,46.256788,23.128394
USDJPY,2022-02-21,SELL,114.963,115.106284,SL,-16.3284,46.256788,23.128394
USDJPY,2022-02-22,BUY,114.743,114.557915,SL,-20.5085,47.417018,23.708509
USDJPY,2022-02-22,SELL,114.743,114.756085,SL,-3.3085,47.417018,23.708509
USDJPY,2022-02-23,BUY,114.953333,114.843028,SL,-13.0305,49.194374,24.597187
USDJPY,2022-02-23,SELL,114.953333,115.072972,SL,-13.9639,49.194374,24.597187
USDJPY,2022-02-24,BUY,114.99,114.876955,SL,-13.3045,48.009061,24.004531
USDJPY,2022-02-24,SELL,114.99,114.892045,BOTH_SL,7.7955,48.009061,24.004531
USDJPY,2022-02-25,BUY,115.216333,115.485233,TP,24.8899,53.779843,26.889921
USDJPY,2022-02-25,SELL,115.216333,115.413899,SL,-21.7566,53.779843,26.889921
USDJPY,2022-02-26,BUY,115.468333,115.493379,BOTH_SL,0.5046,54.32414,27.16207
USDJPY,2022-02-26,SELL,115.468333,115.419621,BOTH_SL,2.8713,54.32414,27.16207
USDJPY,2022-02-27,BUY,115.501,115.512781,BOTH_SL,-0.8219,50.443844,25.221922
USDJPY,2022-02-27,SELL,115.501,115.400219,BOTH_SL,8.0781,50.443844,25.221922
USDJPY,2022-02-28,BUY,115.500333,115.433761,SL,-8.6573,51.247855,25.623928
USDJPY,2022-02-28,SELL,115.500333,115.244094,TP,23.6239,51.247855,25.623928
USDJPY,2022-03-01,BUY,115.211667,115.021421,SL,-21.0246,53.515865,26.757933
USDJPY,2022-03-01,SELL,115.211667,115.260579,SL,-6.8913,53.515865,26.757933
USDJPY,2022-03-02,BUY,114.942333,115.211907,TP,24.9574,53.914732,26.957366
USDJPY,2022-03-02,SELL,114.942333,115.060574,SL,-13.824,53.914732,26.957366
USDJPY,2022-03-03,BUY,115.330667,115.273717,SL,-7.6949,56.456537,28.228268
USDJPY,2022-03-03,SELL,115.330667,115.535283,SL,-22.4616,56.456537,28.228268
USDJPY,2022-03-04,BUY,115.556333,115.511773,SL,-6.456,55.445356,27.722678
USDJPY,2022-03-04,SELL,115.556333,115.656227,SL,-11.9893,55.445356,27.722678
USDJPY,2022-03-05,BUY,114.998,115.287818,TP,26.9818,57.963545,28.981772
USDJPY,2022-03-05,SELL,114.998,115.120818,SL,-14.2818,57.963545,28.981772
USDJPY,2022-03-06,BUY,114.789,115.058116,TP,24.9116,53.823291,26.911646
USDJPY,2022-03-06,SELL,114.789,115.058116,SL,-28.9116,53.823291,26.911646
USDJPY,2022-03-07,BUY,114.899667,115.155596,TP,23.593,51.185913,25.592957
USDJPY,2022-03-07,SELL,114.899667,115.08693,SL,-20.7263,51.185913,25.592957
USDJPY,2022-03-09,BUY,115.611667,115.564423,SL,-6.7244,51.715405,25.857702
USDJPY,2022-03-09,SELL,115.611667,115.812577,SL,-22.091,51.715405,25.857702
