days,entries,buys,sells,no_entry_days,ambiguous_touch_days,wins,losses,dataset_end_exits,win_rate,total_pips,cal_ppd,avg_pips_per_trade,tp_norm,tp_distance_from_entry_norm
3939,2718,1235,1483,1221,42,1563,1155,0,0.575055,-5133.665,-1.3033,-1.8888,0.0,0.225
3939,2718,1235,1483,1221,42,1446,1272,0,0.532009,-4008.78,-1.0177,-1.4749,0.05,0.275
3939,2718,1235,1483,1221,42,1330,1388,0,0.48933,-4405.4,-1.1184,-1.6208,0.1,0.325
3939,2718,1235,1483,1221,42,1237,1481,0,0.455114,-4267.38,-1.0834,-1.57,0.15,0.375
3939,2718,1235,1483,1221,42,1164,1554,0,0.428256,-4281.105,-1.0869,-1.5751,0.2,0.425
3939,2718,1235,1483,1221,42,1092,1626,0,0.401766,-4197.32,-1.0656,-1.5443,0.25,0.475
3939,2718,1235,1483,1221,42,1021,1697,0,0.375644,-5135.02,-1.3036,-1.8893,0.3,0.525
3939,2718,1235,1483,1221,42,964,1754,0,0.354673,-5943.06,-1.5088,-2.1866,0.35,0.575
3939,2718,1235,1483,1221,42,922,1796,0,0.33922,-4690.295,-1.1907,-1.7256,0.4,0.625
3939,2718,1235,1483,1221,42,881,1837,0,0.324135,-3745.88,-0.951,-1.3782,0.45,0.675
3939,2718,1235,1483,1221,42,833,1885,0,0.306475,-4832.91,-1.2269,-1.7781,0.5,0.725
3939,2718,1235,1483,1221,42,796,1922,0,0.292862,-4435.44,-1.126,-1.6319,0.55,0.775
3939,2718,1235,1483,1221,42,763,1955,0,0.280721,-4568.365,-1.1598,-1.6808,0.6,0.825
3939,2718,1235,1483,1221,42,733,1985,0,0.269684,-4174.56,-1.0598,-1.5359,0.65,0.875
3939,2718,1235,1483,1221,42,707,2011,0,0.260118,-4384.355,-1.1131,-1.6131,0.7,0.925
3939,2718,1235,1483,1221,42,676,2042,0,0.248712,-5119.49,-1.2997,-1.8836,0.75,0.975
3939,2718,1235,1483,1221,42,653,2065,0,0.24025,-5209.875,-1.3226,-1.9168,0.8,1.025
