entry_day,side,entry_idx,exit_idx,outcome,pips
2003-08-06,SELL,205,340,TP,89.4415699999987
2003-08-07,BUY,290,340,SL,-32.62250000000029
2003-08-05,SELL,97,388,TP,138.9603500000012
2003-08-08,BUY,385,414,SL,-41.462500000001
2003-08-11,BUY,673,673,SL,-5.100000000002524
2003-08-13,BUY,865,924,TP,112.74953333333337
2003-08-12,SELL,769,960,SL,-50.72500000000082
2003-08-14,SELL,961,962,SL,-39.73333333333733
2003-08-18,SELL,1345,1346,TP,16.04503999999929
2003-08-15,BUY,1057,1388,SL,-38.18333333333419
2003-08-19,BUY,1441,1463,SL,-37.89999999999998
2003-08-20,BUY,1538,1578,SL,-47.15000000000009
2003-08-21,BUY,1634,1658,SL,-51.05000000000166
2003-08-22,BUY,1729,1783,SL,-102.07500000000016
2003-08-25,BUY,2017,2048,TP,47.490199999999106
2003-08-27,SELL,2209,2243,SL,-41.300000000002
2003-08-26,SELL,2136,2247,SL,-53.32500000000044
2003-08-28,BUY,2305,2345,SL,-47.47499999999951
2003-08-29,BUY,2417,2443,SL,-43.57499999999936
2003-09-01,BUY,2689,2691,SL,-16.59999999999917
2003-09-02,BUY,2785,2810,SL,-36.75000000000017
2003-08-30,SELL,2497,2815,TP,128.18021666666704
2003-09-03,BUY,2881,2886,SL,-80.62500000000006
2003-09-04,SELL,2983,2983,SL,-40.00000000000006
2003-09-05,SELL,3073,3122,SL,-65.6166666666673
2003-09-06,SELL,3169,3350,SL,-72.29999999999939
2003-09-08,SELL,3361,3389,TP,84.5766999999986
2003-09-09,BUY,3457,3518,TP,125.25746666666942
2003-09-11,SELL,3649,3669,SL,-40.65000000000032
2003-09-10,SELL,3553,3672,SL,-77.18333333333283
2003-09-12,BUY,3782,3798,TP,143.73590000000058
2003-09-15,SELL,4033,4063,SL,-18.225000000001955
2003-09-16,SELL,4138,4153,TP,65.12300000000175
2003-09-18,SELL,4321,4383,TP,165.77690000000212
2003-09-19,BUY,4433,4472,SL,-58.850000000001955
2003-09-17,BUY,4225,4692,SL,-85.25000000000011
2003-09-20,SELL,4513,4692,TP,102.36187999999709
2003-09-23,SELL,4818,4827,TP,59.24539999999945
2003-09-22,BUY,4706,4828,SL,-65.34999999999889
2003-09-24,SELL,4897,4947,TP,90.83749999999833
2003-09-25,SELL,4993,5019,SL,-43.900000000000205
2003-09-26,SELL,5136,5364,TP,80.55169999999998
2003-09-27,BUY,5185,5367,SL,-27.181666666668946
2003-09-29,BUY,5378,5380,SL,-14.975000000000648
2003-09-30,SELL,5473,5659,SL,-88.04999999999927
2003-10-01,SELL,5569,5688,SL,-59.9666666666659
2003-10-02,SELL,5669,5790,TP,90.83749999999975
2003-10-03,BUY,5761,5794,SL,-42.27499999999884
2003-10-06,SELL,6049,6055,TP,41.171066666665524
2003-10-04,BUY,5857,6101,TP,113.15870333333089
2003-10-09,SELL,6340,6375,TP,65.85769999999991
2003-10-07,SELL,6145,6385,TP,173.89943333333144
2003-10-08,BUY,6241,6385,SL,-52.01666666666347
2003-10-10,BUY,6438,6465,SL,-68.6000000000002
2003-10-13,SELL,6724,6728,TP,27.65329999999915
2003-10-11,SELL,6529,6749,TP,103.82889999999827
2003-10-14,BUY,6820,6860,TP,124.63369999999878
2003-10-16,BUY,7010,7101,SL,-29.274999999999295
2003-10-17,BUY,7105,7182,TP,81.9936333333336
2003-10-20,BUY,7393,7397,TP,37.20440000000076
2003-10-15,BUY,6966,7448,TP,139.32769999999886
2003-10-22,BUY,7585,7610,TP,62.91890000000018
2003-10-21,BUY,7490,7695,TP,112.1438000000017
2003-10-23,SELL,7681,7700,SL,-34.500000000000796
2003-10-24,SELL,7798,8058,TP,107.73559999999998
2003-10-25,BUY,7873,8059,SL,-31.273333333332175
2003-10-27,BUY,8065,8067,SL,-19.914999999998372
2003-10-28,BUY,8161,8163,SL,-34.21666666666658
2003-10-30,BUY,8358,8387,SL,-20.174999999999898
2003-10-31,SELL,8467,8503,SL,-38.700000000000955
2003-10-29,BUY,8257,8505,TP,108.67193333333256
2003-11-04,BUY,8833,8833,SL,-37.616666666667186
2003-11-05,BUY,8929,8985,SL,-30.616666666666447
2003-11-07,BUY,9121,9200,TP,42.347300000000644
2003-11-06,BUY,9025,9409,TP,76.87819999999925
2003-11-08,SELL,9217,9409,SL,-20.599999999999795
2003-11-10,SELL,9409,9409,SL,-12.634999999999707
2003-11-12,SELL,9601,9611,SL,-34.149999999999125
2003-11-11,BUY,9505,9637,TP,161.36869999999897
2003-11-13,SELL,9697,9805,SL,-53.933333333332655
2003-11-14,SELL,9794,9805,SL,-34.149999999999125
2003-11-15,SELL,9889,10072,SL,-30.90000000000208
2003-11-17,SELL,10081,10081,SL,-18.098333333333926
2003-11-18,BUY,10177,10249,TP,112.16046666666466
2003-11-19,SELL,10273,10312,SL,-45.68333333333305
2003-11-21,SELL,10473,10504,TP,66.59240000000091
2003-11-20,SELL,10372,10791,TP,132.71540000000266
2003-11-24,SELL,10753,10791,TP,63.06435999999758
2003-11-25,BUY,10849,10902,TP,104.79680000000167
2003-11-26,BUY,10945,10985,TP,87.77246666666849
2003-11-28,SELL,11137,11139,SL,-20.499999999999318
2003-11-27,SELL,11041,11156,SL,-53.43333333333453
2003-11-29,SELL,11233,11420,SL,-36.86666666666645
2003-12-01,SELL,11425,11449,TP,76.44760333333431
2003-12-03,BUY,11671,11727,SL,-48.12499999999977
2003-12-04,BUY,11716,11727,SL,-31.8749999999975
2003-12-08,BUY,12097,12101,TP,28.060839999999644
2003-12-05,SELL,11836,12172,SL,-38.700000000000955
2003-12-09,SELL,12197,12228,SL,-25.049999999999727
2003-12-10,BUY,12316,12318,TP,72.47000000000037
2003-12-02,BUY,11521,12319,TP,141.27510000000052
2003-12-12,SELL,12481,12548,SL,-34.299999999997
2003-12-13,SELL,12577,12760,TP,62.83419999999944
2003-12-15,SELL,12806,12825,SL,-39.349999999999795
2003-12-11,BUY,12443,12880,TP,140.79709999999943
2003-12-16,SELL,12865,12881,SL,-36.53333333333626
2003-12-17,BUY,12961,12993,SL,-28.625000000000455
2003-12-18,SELL,13057,13091,SL,-41.949999999998
2003-12-22,BUY,13441,13482,TP,37.13092999999981
2003-12-19,SELL,13153,13543,TP,62.79540000000077
2003-12-23,BUY,13537,13562,SL,-21.474999999999
2003-12-24,SELL,13634,13695,SL,-16.27499999999975
2003-12-26,SELL,13827,13837,SL,-15.62500000000091
2003-12-25,SELL,13729,13865,TP,54.102499999998145
2003-12-29,SELL,14113,14121,TP,27.21247999999912
2003-12-30,SELL,14209,14269,SL,-25.37500000000057
2003-12-31,SELL,14305,14333,SL,-37.40000000000043
2004-01-01,SELL,14401,14428,TP,85.69459999999845
2004-01-05,SELL,14785,14785,SL,-21.507499999999368
2004-01-02,SELL,14499,14792,SL,-49.099999999999454
2004-01-06,BUY,14881,14934,TP,108.47029999999813
2004-01-07,BUY,15010,15016,SL,-52.34999999999934
2004-01-08,BUY,15073,15076,SL,-44.583333333333485
2004-01-09,SELL,15169,15189,SL,-62.86666666666838
2004-01-12,BUY,15457,15460,SL,-11.497499999999604
2004-01-13,BUY,15553,15610,SL,-40.56666666666706
2004-01-14,BUY,15657,15675,SL,-37.72499999999843
2004-01-15,BUY,15745,15801,SL,-60.47500000000048
2004-01-16,BUY,15844,15868,SL,-40.65000000000032
2004-01-19,BUY,16129,16134,SL,-19.557500000000005
2004-01-20,SELL,16228,16239,SL,-46.17500000000041
2004-01-21,SELL,16321,16420,SL,-85.18333333333408
2004-01-22,SELL,16417,16424,SL,-30.90000000000066
2004-01-23,BUY,16532,16561,SL,-38.375000000000114
2004-01-27,BUY,16897,16902,SL,-57.22499999999775
2004-01-28,SELL,16993,17019,SL,-55.9000000000035
2004-01-29,BUY,17089,17150,SL,-72.85000000000059
2004-01-30,BUY,17185,17221,SL,-59.824999999998795
2004-02-03,BUY,17570,17597,TP,87.8986999999986
2004-02-05,SELL,17764,17797,SL,-24.399999999998045
2004-02-06,SELL,17862,17889,SL,-40.65000000000032
2004-02-09,SELL,18145,18146,SL,-30.997500000001764
2004-02-11,BUY,18337,18371,SL,-36.42500000000075
2004-02-10,SELL,18254,18403,SL,-48.450000000000614
2004-02-13,BUY,18530,18581,TP,43.81670000000122
2004-02-12,SELL,18433,18587,SL,-61.59999999999661
2004-02-17,SELL,18914,18922,SL,-26.67499999999825
2004-02-14,BUY,18625,18941,TP,134.5908000000028
2004-02-18,SELL,19009,19034,SL,-50.2666666666679
2004-02-19,BUY,19105,19193,TP,102.77070000000117
2004-02-20,SELL,19201,19210,SL,-42.466666666664764
