trail_pips,days,entries,no_touch_days,wins,losses,time_exits,win_rate,weighted_buy_pips,weighted_sell_pips,weighted_total_pips,cal_ppd_weighted,ppd_per_100_units
200,7051,4910,2141,3683,6137,675,0.375051,2604873.3333,-1578285.0,1026588.3333,145.5947,1.4559
250,7051,4910,2141,3748,6072,1602,0.38167,3689836.6667,-2853718.3333,836118.3333,118.5815,1.1858
350,7051,4910,2141,4116,5704,3710,0.419145,5176525.0,-4654096.6667,522428.3333,74.0928,0.7409
100,7051,4910,2141,3663,6157,2,0.373014,1017116.6667,-731695.0,285421.6667,40.4796,0.4048
150,7051,4910,2141,3650,6170,203,0.37169,1274958.3333,-1019293.3333,255665.0,36.2594,0.3626
75,7051,4910,2141,3663,6157,1,0.373014,92320.0,-112773.3333,-20453.3333,-2.9008,-0.029
400,7051,4910,2141,4346,5474,4635,0.442566,5710128.3333,-5827390.0,-117261.6667,-16.6305,-0.1663
225,7051,4910,2141,3655,6165,1052,0.3722,2354681.6667,-2578050.0,-223368.3333,-31.679,-0.3168
125,7051,4910,2141,3666,6154,64,0.37332,916438.3333,-1214385.0,-297946.6667,-42.2559,-0.4226
50,7051,4910,2141,3595,6225,1,0.36609,-177566.6667,-287821.6667,-465388.3333,-66.0032,-0.66
60,7051,4910,2141,3614,6206,1,0.368024,-144366.6667,-399986.6667,-544353.3333,-77.2023,-0.772
300,7051,4910,2141,3866,5954,2575,0.393686,3521353.3333,-4155101.6667,-633748.3333,-89.8806,-0.8988
40,7051,4910,2141,3585,6235,0,0.365071,-297313.3333,-480048.3333,-777361.6667,-110.2484,-1.1025
175,7051,4910,2141,3623,6197,395,0.368941,1620618.3333,-2469208.3333,-848590.0,-120.3503,-1.2035
25,7051,4910,2141,3437,6383,0,0.35,-624100.0,-695620.0,-1319720.0,-187.1678,-1.8717
500,7051,4910,2141,4593,5227,6317,0.467719,5480201.6667,-7030101.6667,-1549900.0,-219.8128,-2.1981
