days,entries,buys,sells,no_entry_days,filtered_out_by_turtle,filtered_out_by_reversal,wins,losses,dataset_end_exits,win_rate,total_pips,cal_ppd,avg_pips_per_trade,config
3885,1661,669,992,2224,1261,0,449,1212,0,0.270319,1961.87,0.505,1.1811,turtle_only
3885,494,205,289,3391,1261,1167,140,354,0,0.283401,1424.2983,0.3666,2.8832,rsi2_x8.0
3885,163,55,108,3722,1261,1498,53,110,0,0.325153,1098.7883,0.2828,6.741,rsi2_x2.0
3885,592,246,346,3293,1261,1069,167,425,0,0.282095,1031.9667,0.2656,1.7432,bbz_z1.5
3885,577,236,341,3308,1261,1084,160,417,0,0.277296,939.9867,0.242,1.6291,rsi2_x10.0
3885,229,104,125,3656,1261,1432,60,169,0,0.262009,602.7883,0.1552,2.6323,bbz_z2.0
3885,355,144,211,3530,1261,1306,100,255,0,0.28169,398.4883,0.1026,1.1225,rsi2_x5.0
3885,129,37,92,3756,1261,1532,35,94,0,0.271318,227.5133,0.0586,1.7637,wr14_x2.0
3885,58,28,30,3827,1261,1603,13,45,0,0.224138,49.5117,0.0127,0.8536,bbz_z2.5
3885,592,219,373,3293,1261,1069,157,435,0,0.265203,-691.5017,-0.178,-1.1681,wr14_x10.0
3885,323,102,221,3562,1261,1338,82,241,0,0.25387,-1218.2233,-0.3136,-3.7716,wr14_x5.0
