days,entries,buys,sells,no_entry_days,ambiguous_days,blocked_under55_before_entry,filtered_out_by_turtle,wins,losses,dataset_end_exits,win_rate,total_pips,cal_ppd,avg_pips_per_trade,tp_norm
3885,1661,669,992,2224,26,35,1261,922,739,0,0.555087,-3023.465,-0.7782,-1.8203,0.0
3885,1661,669,992,2224,26,35,1261,852,809,0,0.512944,-2219.89,-0.5714,-1.3365,0.05
3885,1661,669,992,2224,26,35,1261,791,870,0,0.476219,-1452.46,-0.3739,-0.8744,0.1
3885,1661,669,992,2224,26,35,1261,738,923,0,0.444311,-895.32,-0.2305,-0.539,0.15
3885,1661,669,992,2224,26,35,1261,687,974,0,0.413606,-1477.825,-0.3804,-0.8897,0.2
3885,1661,669,992,2224,26,35,1261,641,1020,0,0.385912,-1168.57,-0.3008,-0.7035,0.25
3885,1661,669,992,2224,26,35,1261,601,1060,0,0.36183,-1501.49,-0.3865,-0.904,0.3
3885,1661,669,992,2224,26,35,1261,572,1089,0,0.344371,-1682.02,-0.433,-1.0127,0.35
3885,1661,669,992,2224,26,35,1261,551,1110,0,0.331728,-328.845,-0.0846,-0.198,0.4
3885,1661,669,992,2224,26,35,1261,531,1130,0,0.319687,812.25,0.2091,0.489,0.45
3885,1661,669,992,2224,26,35,1261,507,1154,0,0.305238,1055.615,0.2717,0.6355,0.5
3885,1661,669,992,2224,26,35,1261,481,1180,0,0.289585,799.64,0.2058,0.4814,0.55
3885,1661,669,992,2224,26,35,1261,465,1196,0,0.279952,1527.085,0.3931,0.9194,0.6
3885,1661,669,992,2224,26,35,1261,449,1212,0,0.270319,1961.87,0.505,1.1811,0.65
3885,1661,669,992,2224,26,35,1261,431,1230,0,0.259482,1205.15,0.3102,0.7256,0.7
3885,1661,669,992,2224,26,35,1261,414,1247,0,0.249247,1246.73,0.3209,0.7506,0.75
3885,1661,669,992,2224,26,35,1261,398,1263,0,0.239615,1144.25,0.2945,0.6889,0.8
