source,date,entry_px,exit_px,net_pips
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-08-26,127.35,128.41755,105.7555
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-08-27,127.48667,128.55857,106.1901
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-09-04,125.52667,126.62075,108.4087
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-09-07,129.59,130.7539,115.3899
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-09-09,129.51667,130.69383,116.7162
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-09-10,130.45333,131.70696,124.3629
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-09-11,130.83333,132.07672,123.3384
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-09-12,131.08667,132.36929,127.2621
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-09-30,128.67,129.86423,118.4228
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-10-04,128.72633,129.95658,122.0244
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-10-05,128.36,129.5051,113.5099
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-10-06,128.56333,129.66044,108.7106
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-10-14,127.4,128.51,109.9996
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-10-15,127.61667,128.77153,114.4861
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-10-16,127.49,128.61892,111.892
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-10-17,127.24333,128.35597,110.2633
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-10-19,127.61,128.63148,101.1479
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-10-20,127.49333,128.47565,97.2316
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-10-21,128.11,129.12225,100.2251
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-10-22,127.83667,128.83316,98.6497
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-10-29,126.57333,127.54202,95.8682
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-10-30,126.31,127.24784,92.784
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-10-31,126.45333,127.39959,93.6252
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-11-03,127.173,128.05069,86.769
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-11-11,124.98333,125.85154,85.8211
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-11-13,126.17333,127.09531,91.1975
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-11-17,127.90133,128.73185,82.0515
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-11-18,128.40667,129.27796,86.1293
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-11-19,128.86333,129.77444,90.1108
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-11-25,129.03667,129.95047,90.3807
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-11-26,129.11667,130.0393,91.2635
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-11-27,129.73333,130.69537,95.2033
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-05,130.82,131.78728,95.7275
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-07,130.94,131.81567,86.5675
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-08,130.941,131.77831,82.7306
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-09,131.13667,131.96227,81.5599
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-10,131.17,132.00163,82.1627
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-12,131.8,132.70246,89.2456
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-15,131.77967,132.62784,83.8171
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-16,132.31333,133.18152,85.8187
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-17,132.60333,133.46476,85.1424
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-19,133.5,134.37211,86.2109
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-20,133.48,134.33402,84.4015
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-21,133.36,134.15301,78.3014
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-22,133.36567,134.13577,76.0105
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-23,133.36667,134.12271,74.6048
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-24,133.18,133.91259,72.2594
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-25,133.47,134.19902,71.9016
