pair,date,ref_mode,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
EURUSD,2015-01-05,midpoint,SELL1,SELL,130.0,1.19469,1.18677,TP,78.2,10166.0,94107,94153
EURUSD,2015-01-06,midpoint,SELL1,SELL,130.0,1.19374,1.18872,TP,49.2,6396.0,94131,94143
EURUSD,2015-01-06,midpoint,BUY1,BUY,91.371429,1.19562,1.18872,SL,-70.0,-6396.0,94136,94143
EURUSD,2015-01-10,midpoint,SELL1,SELL,130.0,1.18406,1.17629,TP,76.7,9971.0,94227,94313
EURUSD,2015-01-10,midpoint,BUY1,BUY,155.553822,1.1826,1.17629,SL,-64.1,-9971.0,94227,94313
EURUSD,2015-01-12,midpoint,SELL1,SELL,130.0,1.18697,1.18406,TP,28.1,3653.0,94275,94283
EURUSD,2015-01-12,midpoint,BUY1,BUY,354.660194,1.18499,1.18406,SL,-10.3,-3653.0,94275,94283
EURUSD,2015-01-13,midpoint,SELL1,SELL,130.0,1.18319,1.17861,TP,44.8,5824.0,94299,94311
EURUSD,2015-01-13,midpoint,BUY1,BUY,88.645358,1.18508,1.17861,SL,-65.7,-5824.0,94302,94311
EURUSD,2015-01-17,midpoint,SELL1,SELL,130.0,1.15626,1.146,TP,101.6,13208.0,94395,94529
EURUSD,2015-01-17,midpoint,BUY1,BUY,77.831467,1.16287,1.146,SL,-169.7,-13208.0,94458,94529
EURUSD,2015-01-22,midpoint,SELL1,SELL,130.0,1.16146,1.15412,TP,72.4,9412.0,94515,94528
EURUSD,2015-01-27,midpoint,SELL1,SELL,130.0,1.12496,1.13877,TIME_EXIT,-139.1,-18083.0,94635,95066
EURUSD,2015-01-27,midpoint,BUY1,BUY,103.868402,1.12754,1.13877,TIME_EXIT,111.3,11560.5531,94643,95066
EURUSD,2015-01-28,midpoint,SELL1,SELL,130.0,1.13678,1.13877,TIME_EXIT,-20.9,-2717.0,94659,95090
EURUSD,2015-01-28,midpoint,BUY1,BUY,103.464961,1.14025,1.13877,TIME_EXIT,-15.8,-1634.7464,94816,95090
EURUSD,2015-01-30,midpoint,SELL1,SELL,130.0,1.13338,1.13322,TIME_EXIT,0.6,78.0,94707,95138
EURUSD,2015-01-30,midpoint,BUY1,BUY,106.064442,1.13478,1.13322,TIME_EXIT,-16.6,-1760.6697,94715,95138
EURUSD,2015-02-02,midpoint,SELL1,SELL,130.0,1.1307,1.1285,TP,21.0,2730.0,94779,94959
EURUSD,2015-02-02,midpoint,BUY1,BUY,179.605263,1.12992,1.1285,SL,-15.2,-2730.0,94779,94959
EURUSD,2015-02-03,midpoint,SELL1,SELL,130.0,1.13386,1.12922,TP,45.4,5902.0,94803,94959
EURUSD,2015-02-03,midpoint,BUY1,BUY,115.952849,1.13421,1.12922,SL,-50.9,-5902.0,94803,94959
EURUSD,2015-02-04,midpoint,SELL1,SELL,130.0,1.14564,1.13124,TP,143.0,18590.0,94827,94850
EURUSD,2015-02-06,midpoint,SELL1,SELL,130.0,1.14705,1.13159,TP,153.6,19968.0,94875,94892
EURUSD,2015-02-09,midpoint,SELL1,SELL,130.0,1.13135,1.12953,TP,17.2,2236.0,94947,94959
EURUSD,2015-02-09,midpoint,BUY1,BUY,201.441441,1.13054,1.12953,SL,-11.1,-2236.0,94947,94959
EURUSD,2015-02-10,midpoint,SELL1,SELL,130.0,1.13242,1.12703,TP,52.9,6877.0,94971,95368
EURUSD,2015-02-10,midpoint,BUY1,BUY,97.962963,1.13395,1.12703,SL,-70.2,-6877.0,94973,95368
EURUSD,2015-02-11,midpoint,SELL1,SELL,130.0,1.13185,1.12729,TP,44.6,5798.0,94995,95368
EURUSD,2015-02-11,midpoint,BUY1,BUY,108.373832,1.13254,1.12729,SL,-53.5,-5798.0,94996,95368
EURUSD,2015-02-13,midpoint,SELL1,SELL,130.0,1.14037,1.13034,TP,99.3,12909.0,95043,95223
EURUSD,2015-02-13,midpoint,BUY1,BUY,128.575697,1.14028,1.13034,SL,-100.4,-12909.0,95043,95223
EURUSD,2015-02-18,midpoint,SELL1,SELL,130.0,1.14039,1.13218,TP,81.1,10543.0,95163,95219
EURUSD,2015-02-18,midpoint,BUY1,BUY,97.530065,1.14289,1.13218,SL,-108.1,-10543.0,95195,95219
EURUSD,2015-02-19,midpoint,SELL1,SELL,130.0,1.13995,1.13339,TP,64.6,8398.0,95187,95219
EURUSD,2015-02-19,midpoint,BUY1,BUY,133.939394,1.13956,1.13339,SL,-62.7,-8398.0,95187,95219
EURUSD,2015-02-21,midpoint,SELL1,SELL,130.0,1.13772,1.1279,TP,97.2,12636.0,95235,95368
EURUSD,2015-02-25,midpoint,SELL1,SELL,130.0,1.13392,1.12883,TP,49.9,6487.0,95331,95368
EURUSD,2015-02-25,midpoint,BUY1,BUY,127.69685,1.13381,1.12883,SL,-50.8,-6487.0,95331,95368
EURUSD,2015-02-26,midpoint,SELL1,SELL,130.0,1.13637,1.13358,TP,26.9,3497.0,95355,95367
EURUSD,2015-02-26,midpoint,BUY1,BUY,103.461538,1.13686,1.13358,SL,-33.8,-3497.0,95356,95367
EURUSD,2015-03-09,midpoint,SELL1,SELL,130.0,1.08445,1.08228,TP,20.7,2691.0,95619,95646
EURUSD,2015-03-09,midpoint,BUY1,BUY,598.0,1.08263,1.08228,SL,-4.5,-2691.0,95619,95646
EURUSD,2015-03-13,midpoint,SELL1,SELL,130.0,1.06267,1.0494,TP,131.7,17121.0,95715,95730
EURUSD,2015-03-13,midpoint,BUY1,BUY,100.29877,1.06637,1.08292,TIME_EXIT,164.5,16499.1476,95851,96146
EURUSD,2015-03-17,midpoint,SELL1,SELL,130.0,1.05715,1.09193,SL,-348.8,-45344.0,95811,95855
EURUSD,2015-03-17,midpoint,BUY1,BUY,96.860565,1.05993,1.09713,TIME_EXIT,371.0,35935.2695,95818,96242
EURUSD,2015-03-19,midpoint,SELL1,SELL,130.0,1.08486,1.09946,TIME_EXIT,-147.0,-19110.0,95859,96290
EURUSD,2015-03-19,midpoint,BUY1,BUY,79.78221,1.10151,1.09946,TIME_EXIT,-21.5,-1715.3175,95991,96290
EURUSD,2015-03-21,midpoint,SELL1,SELL,130.0,1.0816,1.0822,TIME_EXIT,-7.0,-910.0,95907,96338
EURUSD,2015-03-21,midpoint,BUY1,BUY,100.120715,1.08616,1.0822,TIME_EXIT,-40.6,-4064.901,95952,96338
EURUSD,2015-03-24,midpoint,SELL1,SELL,130.0,1.09441,1.07673,TP,175.8,22854.0,95979,96154
EURUSD,2015-03-24,midpoint,BUY1,BUY,123.535135,1.09513,1.07673,SL,-185.0,-22854.0,95985,96154
EURUSD,2015-03-26,midpoint,SELL1,SELL,130.0,1.09631,1.09042,TP,57.9,7527.0,96027,96044
EURUSD,2015-03-26,midpoint,BUY1,BUY,82.532895,1.09944,1.09042,SL,-91.2,-7527.0,96033,96044
EURUSD,2015-03-28,midpoint,SELL1,SELL,130.0,1.08874,1.08011,TP,85.3,11089.0,96075,96151
EURUSD,2015-03-28,midpoint,BUY1,BUY,86.362928,1.09285,1.08011,SL,-128.4,-11089.0,96230,96353
EURUSD,2015-04-02,midpoint,SELL1,SELL,130.0,1.07694,1.07184,TP,50.0,6500.0,96195,96376
