pair,date,ref_mode,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
EURJPY,2015-01-02,pivot,SELL1,SELL,130.0,144.914,144.771,TP,13.3,1729.0,85824,85824
EURJPY,2015-01-02,pivot,BUY1,BUY,198.735632,144.848,144.771,SL,-8.7,-1729.0,85824,85824
EURJPY,2015-01-09,pivot,SELL1,SELL,130.0,141.265,140.715,TP,54.0,7020.0,85992,86005
EURJPY,2015-01-12,pivot,SELL1,SELL,130.0,140.342,140.101,TP,23.1,3003.0,86064,86069
EURJPY,2015-01-12,pivot,BUY1,BUY,229.236641,140.222,140.101,SL,-13.1,-3003.0,86064,86069
EURJPY,2015-01-15,pivot,SELL1,SELL,130.0,138.386,137.005,TP,137.1,17823.0,86136,86145
EURJPY,2015-01-15,pivot,BUY1,BUY,106.089286,138.675,137.005,SL,-168.0,-17823.0,86138,86145
EURJPY,2015-01-17,pivot,SELL1,SELL,130.0,135.977,134.805,TP,116.2,15106.0,86184,86318
EURJPY,2015-01-17,pivot,BUY1,BUY,127.476793,135.98000000000002,134.805,SL,-118.5,-15106.0,86231,86318
EURJPY,2015-01-19,pivot,SELL1,SELL,130.0,135.958,135.646,TP,30.2,3926.0,86232,86233
EURJPY,2015-01-19,pivot,BUY1,BUY,164.267782,135.875,135.646,SL,-23.9,-3926.0,86232,86233
EURJPY,2015-01-20,pivot,SELL1,SELL,130.0,136.518,135.133,TP,137.5,17875.0,86256,86318
EURJPY,2015-01-20,pivot,BUY1,BUY,119.007989,136.625,135.133,SL,-150.2,-17875.0,86256,86318
EURJPY,2015-01-22,pivot,SELL1,SELL,130.0,136.874,135.8,TP,106.4,13832.0,86304,86318
EURJPY,2015-01-22,pivot,BUY1,BUY,123.060498,136.91400000000002,135.8,SL,-112.4,-13832.0,86304,86318
EURJPY,2015-01-27,pivot,SELL1,SELL,130.0,133.335,135.224,TIME_EXIT,-189.9,-24687.0,86424,86855
EURJPY,2015-01-27,pivot,BUY1,BUY,120.831234,133.51100000000002,135.224,TIME_EXIT,170.3,20577.5592,86432,86855
