pair,date,ref_mode,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
USDJPY,2015-01-01,pivot,SELL1,SELL,130.0,119.724,119.25,TP,46.4,6032.0,100032,100152
USDJPY,2015-01-01,pivot,BUY1,BUY,120.64,119.74,119.25,SL,-50.0,-6032.0,100054,100152
USDJPY,2015-01-02,pivot,SELL1,SELL,130.0,119.885,119.701,TP,17.4,2262.0,100056,100142
USDJPY,2015-01-02,pivot,BUY1,BUY,297.631579,119.767,119.701,SL,-7.6,-2262.0,100056,100142
USDJPY,2015-01-03,pivot,SELL1,SELL,130.0,120.445,119.805,TP,63.0,8190.0,100080,100141
USDJPY,2015-01-03,pivot,BUY1,BUY,109.785523,120.541,119.805,SL,-74.6,-8190.0,100126,100141
USDJPY,2015-01-08,pivot,SELL1,SELL,130.0,119.281,118.641,TP,63.0,8190.0,100200,100240
USDJPY,2015-01-08,pivot,BUY1,BUY,100.244798,119.448,118.641,SL,-81.7,-8190.0,100200,100240
USDJPY,2015-01-09,pivot,SELL1,SELL,130.0,119.797,119.159,TP,62.8,8164.0,100224,100237
USDJPY,2015-01-09,pivot,BUY1,BUY,132.964169,119.76299999999999,119.159,SL,-61.4,-8164.0,100224,100237
USDJPY,2015-01-15,pivot,SELL1,SELL,130.0,117.431,116.072,TP,134.9,17537.0,100368,100390
USDJPY,2015-01-15,pivot,BUY1,BUY,105.390625,117.726,116.072,SL,-166.4,-17537.0,100369,100390
USDJPY,2015-01-17,pivot,SELL1,SELL,130.0,117.58,117.66,TIME_EXIT,-9.0,-1170.0,100416,100847
USDJPY,2015-01-17,pivot,BUY1,BUY,129.848749,117.562,117.66,TIME_EXIT,8.8,1142.669,100416,100847
USDJPY,2015-01-19,pivot,SELL1,SELL,130.0,117.593,117.357,TP,22.6,2938.0,100464,100465
USDJPY,2015-01-19,pivot,BUY1,BUY,425.797101,117.416,117.357,SL,-6.9,-2938.0,100464,100465
USDJPY,2015-01-20,pivot,SELL1,SELL,130.0,117.743,116.921,TP,81.2,10556.0,100488,100828
USDJPY,2015-01-20,pivot,BUY1,BUY,148.258427,117.62299999999999,116.921,SL,-71.2,-10556.0,100488,100828
USDJPY,2015-01-21,pivot,SELL1,SELL,130.0,118.657,117.695,TP,95.2,12376.0,100512,100515
USDJPY,2015-01-21,pivot,BUY1,BUY,126.028513,118.667,117.695,SL,-98.2,-12376.0,100512,100515
USDJPY,2015-01-23,pivot,SELL1,SELL,130.0,118.711,117.249,TP,145.2,18876.0,100560,100798
USDJPY,2015-01-23,pivot,BUY1,BUY,137.180233,118.615,117.249,SL,-137.6,-18876.0,100560,100798
USDJPY,2015-01-27,pivot,SELL1,SELL,130.0,118.521,117.378,TP,113.3,14729.0,100656,100670
USDJPY,2015-01-27,pivot,BUY1,BUY,139.743833,118.422,117.378,SL,-105.4,-14729.0,100656,100670
USDJPY,2015-01-30,pivot,SELL1,SELL,130.0,118.27,117.556,TP,70.4,9152.0,100728,100738
USDJPY,2015-01-30,pivot,BUY1,BUY,123.176312,118.289,117.556,SL,-74.3,-9152.0,100728,100738
USDJPY,2015-02-03,pivot,SELL1,SELL,130.0,117.595,117.117,TP,46.8,6084.0,100824,100828
USDJPY,2015-02-03,pivot,BUY1,BUY,106.549912,117.678,117.117,SL,-57.1,-6084.0,100837,100869
USDJPY,2015-02-04,pivot,SELL1,SELL,130.0,117.66,118.966,TIME_EXIT,-131.6,-17108.0,100848,101279
USDJPY,2015-02-04,pivot,BUY1,BUY,148.626292,117.54299999999999,118.966,TIME_EXIT,141.3,21000.8951,100848,101279
