date,entry_px,exit_px,net_pips,exit_reason,+DI_prev,-DI_prev
2003-08-18,134.15367,133.24926,89.441,TP,4.1469,23.5734
2003-08-19,133.36,132.43049,91.9509,TP,3.7467,29.3683
2003-08-20,132.21333,131.25792,94.5416,TP,3.3848,35.3074
2003-08-21,131.43667,130.44939,97.7272,TP,3.0416,37.0605
2003-08-22,129.4,128.2811,110.8902,TP,2.4921,45.6432
2003-08-23,128.00533,126.8565,113.8831,TP,2.2538,46.3031
2003-08-25,127.65,128.44767,-80.7672,SL,2.1529,47.3026
2003-08-26,127.35,128.1712,-83.1196,SL,1.9419,47.0495
2003-08-28,127.83333,126.74505,107.8286,TP,5.8234,39.7954
2003-09-01,128.19333,127.18596,99.7375,TP,6.5577,36.3781
2003-09-02,127.93,126.92308,99.692,TP,6.092,36.829
2003-09-03,126.42,125.32575,108.4247,TP,5.2054,43.5276
2003-09-04,125.52667,126.36827,-85.1605,SL,4.8343,43.2761
2003-09-09,129.51667,130.42218,-91.551,SL,24.0644,31.0256
2003-09-17,130.61,129.31128,128.8723,TP,21.7098,30.1208
2003-09-19,130.01,128.63747,136.2528,TP,17.7126,25.8502
2003-09-22,128.76667,127.43923,131.7436,TP,14.6634,32.6746
2003-09-23,128.51667,127.23075,127.5919,TP,14.0557,31.3203
2003-09-27,128.28733,127.06982,120.7513,TP,12.7226,27.5598
2003-10-03,129.78667,128.56826,120.8408,TP,18.8378,19.2011
2003-10-04,128.72633,129.67267,-95.6341,SL,17.3239,23.6389
2003-10-10,128.42,127.21537,119.4629,TP,19.9647,22.7604
2003-10-16,127.49,128.3584,-87.84,SL,15.528,25.808
2003-10-17,127.24333,128.09921,-86.5872,SL,14.6299,25.6006
2003-10-20,127.49333,128.24896,-76.5628,SL,13.2675,26.0836
2003-10-22,127.83667,128.6032,-77.6536,SL,17.5156,22.1704
2003-10-28,127.62333,126.67674,93.6596,TP,20.0068,24.9526
2003-10-29,126.57333,127.31847,-75.514,SL,18.1542,30.0903
2003-10-30,126.31,127.03142,-73.1416,SL,17.4118,28.8598
2003-10-31,126.45333,127.18122,-73.7886,SL,19.1842,26.5602
2003-11-02,127.4,128.10608,-71.608,SL,22.1155,23.6087
2003-11-03,127.173,127.84815,-68.5146,SL,21.4768,25.815
2003-11-05,126.12333,125.20484,90.8494,TP,22.4926,29.3376
2003-11-06,125.72333,124.80155,91.1788,TP,20.8114,29.9653
2003-11-07,125.73,124.8357,88.4296,TP,19.9189,28.6803
2003-11-09,126.1,125.28544,80.4559,TP,19.6713,27.1502
2003-11-11,124.98333,125.65119,-67.7854,SL,15.9133,36.5903
2004-01-15,134.75,133.7564,98.3601,TP,23.5034,24.7738
2004-01-16,133.96667,132.96474,99.1929,TP,21.6432,26.965
2004-01-17,132.58667,133.42033,-84.3664,SL,18.5797,33.884
2004-01-18,132.2,132.97412,-78.4116,SL,18.5797,33.884
2004-01-24,134.35667,133.22817,111.8493,TP,25.8817,27.2197
2004-01-27,133.14,132.09516,103.4836,TP,22.3815,34.5272
2004-01-29,132.64,131.47111,115.889,TP,19.975,29.2964
2004-01-30,131.74667,132.67209,-93.5421,SL,18.0216,30.3215
2004-02-02,131.75767,132.57807,-83.0401,SL,16.2762,30.6084
2004-02-03,131.32333,132.14563,-83.2301,SL,15.0787,33.0809
2004-03-03,134.91333,133.88481,101.8521,TP,19.9308,25.7368
2004-03-11,136.08333,134.84235,123.0982,TP,26.23,32.4495
2004-03-13,135.67333,134.29409,136.9245,TP,20.3495,28.5442
2004-03-17,133.91667,132.55959,134.7073,TP,19.9662,29.0277
2004-03-18,132.54667,131.15848,137.8189,TP,18.1245,33.28
2004-03-20,131.66667,130.20079,145.5873,TP,16.4846,30.9217
2004-03-23,131.79333,130.50573,127.7601,TP,22.8299,28.1855
2004-03-25,129.96333,128.55452,139.8809,TP,17.9914,33.5882
2004-03-29,128.03633,129.00325,-97.692,SL,14.9914,37.872
2004-03-31,128.97333,127.69338,126.9953,TP,18.7376,33.6065
2004-04-03,127.29,125.88318,139.6823,TP,13.6495,36.651
2004-04-05,126.36333,127.33693,-98.3597,SL,13.0817,38.9781
2004-04-06,126.40667,127.37772,-98.1054,SL,13.7753,36.2887
2004-04-12,128.44667,127.27921,115.7456,TP,19.6414,26.8801
2004-04-13,127.57333,126.37292,119.0416,TP,17.7376,31.6389
2004-04-17,129.49533,130.50201,-101.6679,SL,23.274,24.5134
2004-04-21,129.31333,130.26726,-96.3924,SL,24.5876,24.6315
2004-04-22,129.19333,130.15562,-97.2287,SL,22.6329,22.6734
2004-06-01,133.85333,134.6754,-83.2066,SL,25.0746,25.9737
2004-06-08,135.44,134.28493,114.5072,TP,20.024,24.5586
2004-06-09,134.59333,133.43042,115.2917,TP,18.4683,26.3396
2004-06-10,133.13667,131.89106,123.5602,TP,16.0107,33.6888
2004-06-12,132.21267,133.13787,-93.5207,SL,14.2968,32.441
2004-06-14,132.05,132.88181,-84.1812,SL,13.7114,33.9379
2004-06-16,133.34667,132.1351,120.1569,TP,20.7147,26.1178
2004-06-17,132.41,131.20047,119.9528,TP,19.2676,28.3237
2004-06-18,131.87667,130.68398,118.2683,TP,18.144,29.8329
2004-06-21,131.98333,130.92618,104.7157,TP,16.3895,30.8835
2004-06-24,131.14333,132.00892,-87.5592,SL,14.0444,30.2386
2004-06-30,131.26667,132.02513,-76.8462,SL,18.3343,25.8073
2004-07-24,133.637,134.38194,-75.4938,SL,16.5707,23.2592
2004-07-26,133.20667,133.87429,-67.7626,SL,17.6651,22.3775
2004-07-31,134.149,133.23121,90.7794,TP,21.6973,22.1173
2004-08-03,133.48,134.12512,-65.5118,SL,21.3144,25.1148
2004-08-18,135.93667,135.13575,79.0914,TP,21.8127,24.4094
2004-08-19,135.23333,134.40448,81.8856,TP,19.5718,28.3323
2004-08-21,134.71667,133.88557,82.1092,TP,16.8303,28.8686
2004-08-24,133.74,132.96055,76.9446,TP,14.3682,34.9562
2004-08-25,132.68,133.31825,-64.8247,SL,12.5334,39.8149
2004-08-28,132.031,132.71926,-69.8264,SL,9.3057,35.1552
2004-08-30,131.68,132.29787,-62.7874,SL,11.0419,33.7657
2004-09-02,133.27667,132.43101,83.5654,TP,21.2182,25.6787
2004-09-03,133.15333,132.31348,82.985,TP,19.8388,24.551
2004-09-06,133.21,132.44158,75.8417,TP,19.8983,24.1537
2004-09-07,132.92333,132.1591,75.423,TP,18.5783,26.2937
2004-09-08,132.34333,132.93371,-60.0379,SL,17.1779,29.5627
2004-10-09,136.11267,135.39184,71.0824,TP,23.1324,24.023
2004-10-12,135.50333,134.85562,63.7714,TP,22.1026,27.6271
2004-10-13,135.14333,135.65199,-51.8653,SL,20.1037,28.3725
2004-10-20,135.91,136.41609,-51.609,SL,22.3402,28.8558
2004-10-22,135.73,136.26269,-54.2695,SL,18.998,26.2662
2004-10-25,136.03,136.52799,-50.7989,SL,21.9502,22.4958
2004-10-28,135.67333,134.9261,73.7233,TP,18.2033,20.389
2004-10-31,135.26,135.78392,-53.392,SL,15.9898,21.0367
