date,entry_px,exit_px,net_pips,exit_reason,+DI_prev,-DI_prev
2003-09-12,131.08667,132.0733,-99.6632,SL,25.0632,22.7984
2003-09-16,132.41667,131.23854,116.8125,TP,25.7731,20.9636
2003-10-08,129.39333,128.21675,116.6585,TP,23.7063,18.3763
2003-10-25,129.03167,127.99311,102.856,TP,22.7754,17.032
2003-10-26,128.67,127.70413,95.5872,TP,22.7401,17.0056
2003-10-27,128.415,127.48029,92.4711,TP,21.8198,19.7248
2003-11-04,127.29333,126.39449,88.8848,TP,24.7523,23.4069
2003-11-18,128.40667,129.07689,-68.0225,SL,34.9692,21.7037
2003-11-21,129.80333,128.84809,94.5248,TP,31.3246,15.85
2003-11-25,129.03667,129.7396,-71.2929,SL,24.3449,22.6196
2003-11-26,129.11667,129.82639,-71.9719,SL,22.3897,20.8029
2003-11-30,131.47,132.15523,-69.523,SL,28.6526,16.019
2003-12-02,131.12,131.8437,-73.3704,SL,27.915,18.8401
2003-12-05,130.82,131.56406,-75.4058,SL,21.7389,16.8893
2003-12-08,130.941,131.58508,-65.4082,SL,21.9314,15.6216
2003-12-14,132.4,131.56995,82.0045,TP,25.7303,10.1018
2003-12-15,131.77967,132.43211,-66.2439,SL,23.3819,18.3071
2003-12-17,132.60333,133.26597,-67.2634,SL,25.0858,15.5423
2003-12-20,133.48,134.13693,-66.6935,SL,25.6085,12.552
2003-12-21,133.36,133.97001,-62.0011,SL,25.6085,12.552
2003-12-22,133.36567,133.95806,-60.2389,SL,27.2214,12.0022
2003-12-23,133.36667,133.94824,-59.1575,SL,26.3144,11.3521
2003-12-24,133.18,133.74353,-57.3534,SL,25.217,12.387
2003-12-26,133.47,134.01323,-55.3226,SL,25.7185,11.0799
2003-12-28,133.53,134.03043,-51.0429,SL,24.0721,12.1334
2003-12-29,133.395,133.87888,-49.3884,SL,23.1169,14.9482
2004-01-04,134.69,135.23076,-55.0762,SL,25.2498,10.2489
2004-01-06,134.94333,135.5134,-58.0065,SL,29.6952,8.3828
2004-01-07,135.18333,134.39248,78.085,TP,27.8937,7.2942
2004-01-08,134.51667,133.69456,81.2111,TP,24.9164,9.9154
2004-01-12,136.975,136.07837,88.6633,TP,32.5299,10.822
2004-01-13,136.25333,135.31805,92.5288,TP,28.9579,17.4313
2004-02-08,134.09,134.89768,-81.7676,SL,26.017,23.2514
2004-02-11,134.13,134.94013,-82.0129,SL,25.8224,23.6422
2004-02-13,135.01667,135.83484,-82.8172,SL,25.6214,20.1849
2004-02-14,134.75,135.59173,-85.1731,SL,23.1254,21.545
2004-02-16,134.27467,135.0131,-74.8429,SL,23.948,21.1759
2004-02-19,135.66,136.42136,-77.1357,SL,31.3703,16.444
2004-02-22,136.67,135.72828,93.1715,TP,31.1732,13.8378
2004-02-23,136.15533,136.86929,-72.3954,SL,29.3699,18.822
2004-02-26,136.58,135.57687,99.3131,TP,28.6443,15.9771
2004-02-29,136.31,135.35551,94.4487,TP,24.1031,20.4587
2004-03-02,135.97667,134.99853,96.8138,TP,22.5695,21.4868
2004-03-07,138.51,137.31241,118.7588,TP,34.6243,22.7343
2004-03-08,138.632,137.49818,112.3821,TP,35.8569,22.2977
2004-03-09,138.30333,137.15755,113.5784,TP,32.9481,25.5718
2004-03-10,137.56,136.37126,117.8742,TP,29.489,27.5896
2004-04-24,129.52567,128.19312,132.2544,TP,22.7594,19.0313
2004-05-03,132.31667,133.15707,-85.04,SL,29.9286,16.215
2004-05-04,131.77,132.60387,-84.3871,SL,28.0084,20.4513
2004-05-07,132.63667,133.50217,-87.5498,SL,27.0048,15.7761
2004-05-12,134.35,135.18964,-84.964,SL,30.7197,11.2266
2004-05-19,136.40333,135.24842,114.4911,TP,32.7674,8.7333
2004-05-21,135.16333,136.08177,-92.8441,SL,27.3292,14.5128
2004-05-26,135.62,134.52389,108.6108,TP,28.1589,13.7789
2004-05-29,134.98833,133.86662,111.1711,TP,26.3895,18.5164
2004-05-30,134.72,133.67159,103.8414,TP,26.2177,18.3959
2004-05-31,134.97767,133.97027,99.7392,TP,28.6464,17.7775
2004-06-03,134.82,135.72518,-91.5179,SL,24.8947,20.3393
2004-06-07,136.48667,135.37574,110.0924,TP,22.4213,18.2993
2004-07-01,132.06333,132.89862,-84.5286,SL,23.0012,21.7599
2004-07-08,134.25333,134.99976,-75.6426,SL,31.3595,14.4948
2004-07-10,134.373,135.11887,-75.5873,SL,29.176,13.9821
2004-07-12,133.82,134.50721,-69.7215,SL,27.3042,19.1967
2004-07-14,134.08,134.79637,-72.6369,SL,26.0846,15.8786
2004-07-19,135.41667,134.58051,82.6154,TP,27.7998,12.2091
2004-07-20,134.77333,133.9059,85.7429,TP,24.8834,20.0702
2004-07-21,134.25667,133.3316,91.5069,TP,21.6663,20.9886
2004-07-30,134.91667,134.03005,87.6614,TP,24.1881,17.9296
2004-08-09,135.49,136.09726,-61.7263,SL,28.1112,20.9574
2004-08-11,136.05,135.25769,78.2307,TP,31.013,18.0051
2004-08-12,135.59667,136.2276,-64.0934,SL,27.818,19.6371
2004-08-16,136.73,135.96164,75.8356,TP,26.3695,20.153
2004-08-17,136.52333,135.74551,76.7823,TP,24.188,21.5777
2004-09-15,134.44,133.67001,75.9989,TP,26.4934,20.8012
2004-09-16,133.87667,133.10968,75.699,TP,24.6972,23.7978
2004-09-18,133.85167,134.44775,-60.6082,SL,26.7982,24.5159
2004-09-24,135.95,136.53364,-59.3635,SL,38.4891,20.1666
