date,entry_px,exit_px,net_pips,exit_reason,donch_mid,+DI_prev,-DI_prev
2003-10-03,129.78667,128.56826,120.8408,TP,130.16,18.8378,19.2011
2003-10-10,128.42,127.21537,119.4629,TP,129.623,19.9647,22.7604
2003-10-31,126.45333,127.18122,-73.7886,SL,129.42,19.1842,26.5602
2003-11-05,126.12333,125.20484,90.8494,TP,129.285,22.4926,29.3376
2003-11-06,125.72333,124.80155,91.1788,TP,129.085,20.8114,29.9653
2003-11-11,124.98333,125.65119,-67.7854,SL,127.795,15.9133,36.5903
2004-03-25,129.96333,128.55452,139.8809,TP,133.8,17.9914,33.5882
2004-03-29,128.03633,129.00325,-97.692,SL,133.268,14.9914,37.872
2004-04-03,127.29,125.88318,139.6823,TP,132.645,13.6495,36.651
2004-04-05,126.36333,127.33693,-98.3597,SL,132.525,13.0817,38.9781
2004-04-06,126.40667,127.37772,-98.1054,SL,132.415,13.7753,36.2887
2004-08-28,132.031,132.71926,-69.8264,SL,134.3,9.3057,35.1552
2004-08-30,131.68,132.29787,-62.7874,SL,134.285,11.0419,33.7657
2004-11-20,134.46967,135.04796,-58.8298,SL,136.156,16.4935,35.5759
2005-01-15,134.17333,133.29409,86.9244,TP,137.43,10.3474,38.9467
2005-01-18,133.54667,134.13558,-59.8917,SL,137.41,9.5146,40.0061
2005-01-19,133.47333,134.09068,-62.7351,SL,137.265,11.5057,35.4375
2005-04-26,137.43333,136.75,67.3333,TP,138.855,16.339,36.0826
2005-04-28,137.25667,136.54717,69.9497,TP,138.715,13.5687,34.1789
2005-04-29,136.88667,136.1674,70.9268,TP,138.565,12.4284,34.0175
2005-04-30,135.51133,134.702,79.9332,TP,137.7395,10.2564,41.3323
2005-05-07,134.90933,135.4973,-59.7971,SL,137.542,12.3017,30.7426
2005-06-01,133.66,132.97637,67.3633,TP,136.765,8.8266,39.2748
2005-06-02,132.84,132.11745,71.2552,TP,136.405,7.7546,40.9822
2005-06-04,132.071,131.3161,74.4902,TP,136.063,6.3999,39.6073
2005-06-06,131.71333,131.04554,65.7792,TP,136.045,6.2381,40.2608
2005-06-07,131.3,131.82349,-53.3494,SL,135.71,5.684,43.0839
2005-06-08,131.03333,131.55543,-53.2102,SL,135.6,5.2921,42.22
2005-06-17,131.90667,132.47185,-57.5179,SL,134.63,14.4463,22.5533
2005-06-20,132.99667,132.26121,72.5457,TP,134.33,19.6939,23.696
2005-06-23,131.94,131.1884,74.1604,TP,133.8375,15.4293,28.5684
2005-06-24,131.19333,131.79669,-61.336,SL,133.42,13.7287,34.2039
2005-10-04,136.25667,136.72628,-47.9612,SL,135.825,21.8531,25.0309
2006-02-08,141.51667,142.03583,-52.9163,SL,140.265,23.8969,27.3888
2007-03-06,151.68833,152.48977,-81.1441,SL,155.1875,14.7754,51.0497
2008-01-04,161.87833,160.79033,107.8006,TP,164.7425,20.806,48.6186
2008-01-06,160.39567,161.25981,-87.4147,SL,164.235,18.7113,49.5966
2009-01-02,126.94667,123.63002,330.6644,TP,147.18,6.9555,79.9561
2009-01-07,126.14167,123.44172,268.995,TP,146.9375,7.5489,73.3995
2009-01-09,125.21833,122.6185,258.9834,TP,146.395,7.9552,69.6132
2009-01-10,122.72333,120.04108,267.2257,TP,144.9225,7.16,69.7912
2009-01-12,121.136,118.76318,236.2817,TP,144.7625,6.9788,70.3396
2009-01-13,119.74,117.37547,235.453,TP,143.67,6.503,71.5507
2009-01-14,118.185,119.99195,-181.695,SL,142.91,6.0783,71.0842
2009-01-15,118.01167,119.8488,-184.7132,SL,142.625,5.5514,66.4737
2009-01-21,116.56,114.2437,230.6298,TP,141.985,11.6488,59.1751
2009-09-28,130.68333,131.49341,-82.0072,SL,134.2575,15.3327,40.1669
2009-10-02,130.51333,129.37383,112.9502,TP,134.2025,13.3025,32.0761
2009-10-04,130.86,129.74403,110.5965,TP,133.6775,11.7119,32.5405
2009-10-08,130.315,131.13263,-82.7626,SL,132.7425,12.7012,35.1778
2009-11-27,128.84167,129.88873,-105.7068,SL,132.67,15.7141,38.8737
2009-12-30,132.04833,132.76291,-72.4574,SL,131.12,24.9421,25.837
2010-01-06,132.13833,132.83663,-70.8296,SL,130.9375,22.9821,25.4744
2010-01-22,127.84,126.65735,117.2646,TP,130.54,11.724,37.1201
2010-01-27,126.75333,125.56697,117.636,TP,130.11,14.4389,33.244
2010-01-29,125.84833,124.62636,121.1972,TP,129.7925,15.7573,29.9777
2010-01-30,125.54833,126.51567,-97.7337,SL,129.6475,14.218,28.4964
