date,entry_px,exit_px,net_pips,exit_reason,donch_mid,+DI_prev,-DI_prev
2003-12-02,131.12,131.8437,-73.3704,SL,128.2,27.915,18.8401
2003-12-17,132.60333,133.26597,-67.2634,SL,128.615,25.0858,15.5423
2003-12-20,133.48,134.13693,-66.6935,SL,129.0,25.6085,12.552
2004-01-06,134.94333,135.5134,-58.0065,SL,130.43,29.6952,8.3828
2004-01-07,135.18333,134.39248,78.085,TP,131.035,27.8937,7.2942
2004-01-08,134.51667,133.69456,81.2111,TP,131.35,24.9164,9.9154
2004-01-12,136.975,136.07837,88.6633,TP,132.86,32.5299,10.822
2004-01-13,136.25333,135.31805,92.5288,TP,133.13,28.9579,17.4313
2004-03-09,138.30333,137.15755,113.5784,TP,134.86,32.9481,25.5718
2004-05-31,134.97767,133.97027,99.7392,TP,132.03,28.6464,17.7775
2004-08-11,136.05,135.25769,78.2307,TP,133.33,31.013,18.0051
2004-08-17,136.52333,135.74551,76.7823,TP,133.585,24.188,21.5777
2004-09-29,137.07,136.3414,71.86,TP,134.52,41.5425,16.3786
2004-11-15,136.97667,136.32286,64.3804,TP,136.025,27.4717,21.5623
2004-12-11,139.24667,139.7988,-56.2136,SL,136.951,36.9058,12.212
2004-12-28,140.30667,140.78289,-48.6224,SL,137.396,35.193,11.361
2004-12-31,140.67,139.96718,69.2817,TP,137.806,32.9858,8.0126
2005-02-28,139.043,138.38342,64.958,TP,136.184,28.8435,17.9492
2005-03-10,139.19333,139.70065,-51.7315,SL,136.405,28.7036,19.5558
2005-04-06,139.18633,139.63446,-45.813,SL,137.925,26.0893,21.7729
2005-04-11,139.98267,139.40467,56.7998,TP,138.115,25.4404,18.0687
2005-04-12,139.82967,139.25005,56.9613,TP,138.37,23.5574,19.8714
2005-07-22,135.06,134.13361,91.639,TP,133.905,26.5026,24.1008
2005-08-30,135.44667,135.94444,-50.777,SL,135.87,26.1161,20.7297
2005-10-11,137.71333,137.11214,59.119,TP,135.88,26.4182,21.6022
2005-10-17,137.82667,138.23137,-41.4704,SL,136.04,25.5301,20.1841
2005-10-19,138.29,137.74596,53.4037,TP,136.605,29.2162,16.8304
2005-10-22,138.635,138.04743,57.7574,TP,136.832,27.4872,16.1969
2005-12-07,142.43667,141.8002,62.6468,TP,139.885,32.3715,10.4935
2005-12-08,141.96667,141.30871,64.7956,TP,140.1225,29.0776,15.7483
2006-01-06,140.42333,139.66829,74.5038,TP,140.56,26.6526,22.8499
2006-04-07,144.04833,143.24106,79.7273,TP,141.0175,31.0289,15.9421
2006-04-21,144.785,144.08663,68.837,TP,141.325,30.0583,14.5154
2006-06-09,144.57,143.84648,71.3518,TP,142.945,22.8936,17.7801
2006-06-28,146.32333,145.70898,60.4349,TP,143.415,31.8344,15.3968
2006-07-17,146.93,146.31056,60.9439,TP,145.025,24.4374,20.0821
2006-08-16,148.27333,148.77008,-50.6745,SL,146.8,21.1535,14.131
2006-08-19,148.50867,149.00357,-50.49,SL,146.9635,19.5261,13.0838
2006-09-01,150.385,149.78974,58.5264,TP,147.865,28.0688,14.1905
2006-10-05,149.86667,149.20309,65.3572,TP,148.9885,21.5799,19.6594
2006-11-21,151.36333,150.92416,42.9177,TP,149.9675,31.4512,13.1253
2006-12-05,153.87667,153.38294,48.3725,TP,151.33,39.5746,10.4101
2006-12-14,155.19667,154.6033,58.3363,TP,152.165,41.6242,14.1228
2006-12-15,155.08333,154.47775,59.558,TP,152.22,37.8713,14.9962
2006-12-21,156.08,155.4305,63.9496,TP,152.625,39.7476,17.8455
2006-12-22,155.97167,156.47684,-51.5176,SL,152.64,36.502,18.7143
2007-02-04,157.10333,157.53286,-43.9525,SL,153.81,30.7324,19.7639
2007-02-11,158.31,158.75056,-45.0555,SL,154.32,38.0778,15.4279
2007-02-25,159.37,158.7291,63.0904,TP,155.095,41.3798,18.2204
2007-04-13,160.505,161.13814,-64.3144,SL,155.8025,33.0543,17.6904
2007-04-16,161.847,161.02657,81.0426,TP,156.5775,39.3756,14.2099
2007-05-04,163.27667,162.49386,77.2811,TP,157.1725,23.9255,21.8311
2007-05-06,163.45,162.72882,71.118,TP,157.92,22.9334,22.893
2007-07-01,166.77,167.36705,-60.705,SL,163.4925,33.295,20.3391
2007-07-03,166.69333,167.26524,-58.1903,SL,163.5225,32.2762,22.2521
2007-07-04,166.675,167.25355,-58.8553,SL,164.2125,32.651,20.4252
2007-07-14,168.13333,168.63681,-51.3473,SL,164.89,36.4016,15.0461
2008-01-02,168.28,167.64345,62.6549,TP,164.985,38.2977,13.3396
2009-03-17,127.49667,128.82941,-134.274,SL,120.395,28.9047,20.5258
2009-03-20,129.18833,130.52772,-134.9386,SL,121.72,28.5545,16.3526
2009-03-25,132.83333,131.20214,162.1198,TP,123.8175,37.4842,12.0505
2009-04-07,134.98333,133.07693,189.6407,TP,126.15,29.1104,21.6494
2009-04-15,132.13167,130.34734,177.4326,TP,127.3525,24.3807,22.4595
2009-06-03,136.53333,137.72498,-120.1644,SL,130.9075,30.2002,15.5422
2009-06-04,136.34833,137.59061,-125.2276,SL,131.1875,29.154,13.8438
2009-10-27,137.42667,136.49584,92.0824,TP,133.76,31.1476,23.1483
2010-07-29,113.86,112.66285,118.7155,TP,111.0225,21.5465,15.0372
