date,entry_px,sl_px,tp_px,exit_px,exit_reason,sl_dist_pips,tp_dist_pips,atr_pips,net_pips,hold_hours
2003-08-18,134.15367,134.84937,133.24926,133.24926,TP,69.57,90.44,99.39,89.441,14.75
2003-08-19,133.36,134.07501,132.43049,132.43049,TP,71.5,92.95,102.14,91.9509,6.75
2003-08-20,132.21333,132.94827,131.25792,131.25792,TP,73.49,95.54,104.99,94.5416,10.5
2003-08-21,131.43667,132.19611,130.44939,130.44939,TP,75.94,98.73,108.49,97.7272,6.5
2003-08-22,129.4,130.26069,128.2811,128.2811,TP,86.07,111.89,122.96,110.8902,12.0
2003-08-23,128.00533,128.88905,126.8565,126.8565,TP,88.37,114.88,126.25,113.8831,71.0
2003-08-24,127.86,128.68349,126.78946,126.78946,TP,82.35,107.05,117.64,106.0541,47.0
2003-08-25,127.65,128.44767,126.61303,128.44767,SL,79.77,103.7,113.95,-80.7672,59.25
2003-08-26,127.35,128.1712,126.28245,128.1712,SL,82.12,106.76,117.31,-83.1196,33.0
2003-08-27,127.48667,128.31121,126.41477,128.31121,SL,82.45,107.19,117.79,-83.4539,7.5
2003-08-28,127.83333,128.67048,126.74505,126.74505,TP,83.71,108.83,119.59,107.8286,134.25
2003-08-29,127.57,128.41285,126.4743,128.41285,SL,84.28,109.57,120.41,-85.2847,19.75
2003-08-31,128.3,129.10867,127.24873,127.24873,TP,80.87,105.13,115.52,104.1266,54.5
2003-09-01,128.19333,128.96824,127.18596,127.18596,TP,77.49,100.74,110.7,99.7375,30.5
2003-09-02,127.93,128.70455,126.92308,126.92308,TP,77.46,100.69,110.65,99.692,8.0
2003-09-03,126.42,127.26173,125.32575,125.32575,TP,84.17,109.42,120.25,108.4247,1.0
2003-09-04,125.52667,126.36827,124.43258,126.36827,SL,84.16,109.41,120.23,-85.1605,1.75
2003-09-07,129.59,130.48531,128.4261,130.48531,SL,89.53,116.39,127.9,-90.5307,21.5
2003-09-08,130.21,131.09686,129.05709,129.05709,TP,88.69,115.29,126.69,114.2913,12.5
2003-09-09,129.51667,130.42218,128.3395,130.42218,SL,90.55,117.72,129.36,-91.551,16.25
2003-09-10,130.45333,131.41766,129.1997,131.41766,SL,96.43,125.36,137.76,-97.433,16.75
2003-09-11,130.83333,131.78978,129.58995,131.78978,SL,95.64,124.34,136.64,-96.645,6.0
2003-09-12,131.08667,132.0733,129.80405,132.0733,SL,98.66,128.26,140.95,-99.6632,13.5
2003-09-14,132.41,133.38031,131.1486,131.1486,TP,97.03,126.14,138.62,125.14,56.25
2003-09-15,132.21,133.1375,131.00425,131.00425,TP,92.75,120.57,132.5,119.575,32.25
2003-09-16,132.41667,133.32292,131.23854,131.23854,TP,90.62,117.81,129.46,116.8125,7.5
2003-09-17,130.61,131.60902,129.31128,129.31128,TP,99.9,129.87,142.72,128.8723,5.25
2003-09-18,130.55667,131.59783,129.20316,129.20316,TP,104.12,135.35,148.74,134.3507,30.0
2003-09-19,130.01,131.06579,128.63747,128.63747,TP,105.58,137.25,150.83,136.2528,69.75
2003-09-21,129.92,130.91304,128.62905,128.62905,TP,99.3,129.09,141.86,128.0947,21.75
2003-09-22,128.76667,129.78777,127.43923,127.43923,TP,102.11,132.74,145.87,131.7436,61.0
2003-09-23,128.51667,129.50584,127.23075,127.23075,TP,98.92,128.59,141.31,127.5919,146.75
2003-09-24,128.22,129.20101,126.94468,126.94468,TP,98.1,127.53,140.14,126.5318,126.0
2003-09-25,128.23,129.20694,126.95998,126.95998,TP,97.69,127.0,139.56,126.0024,102.75
2003-09-26,128.54333,129.50599,127.29188,127.29188,TP,96.27,125.15,137.52,124.1458,74.0
2003-09-27,128.28733,129.22388,127.06982,127.06982,TP,93.65,121.75,133.79,120.7513,55.25
2003-09-28,128.08,128.9535,126.94445,126.94445,TP,87.35,113.56,124.79,112.5553,31.5
2003-09-29,127.90667,128.73928,126.82427,128.73928,SL,83.26,108.24,118.94,-84.2609,16.0
2003-09-30,128.67,129.58864,127.47577,129.58864,SL,91.86,119.42,131.23,-92.8637,7.25
2003-10-01,129.50667,130.45269,128.27684,130.45269,SL,94.6,122.98,135.15,-95.602,13.75
2003-10-02,129.89,130.83095,128.66677,128.66677,TP,94.09,122.32,134.42,121.3231,36.25
2003-10-03,129.78667,130.7239,128.56826,128.56826,TP,93.72,121.84,133.89,120.8408,12.75
2003-10-04,128.72633,129.67267,127.49609,129.67267,SL,94.63,123.02,135.19,-95.6341,63.25
2003-10-05,128.36,129.24085,127.2149,129.24085,SL,88.08,114.51,125.84,-89.0845,37.25
2003-10-06,128.56333,129.40726,127.46623,129.40726,SL,84.39,109.71,120.56,-85.3928,13.0
2003-10-07,129.46667,130.35681,128.30948,128.30948,TP,89.01,115.72,127.16,114.7192,46.75
2003-10-08,129.39333,130.2984,128.21675,128.21675,TP,90.51,117.66,129.3,116.6585,36.5
2003-10-09,129.41,130.29592,128.25831,128.25831,TP,88.59,115.17,126.56,114.1693,12.5
2003-10-10,128.42,129.34664,127.21537,127.21537,TP,92.66,120.46,132.38,119.4629,8.25
2003-10-12,128.26,129.1301,127.12888,127.12888,TP,87.01,113.11,124.3,112.1125,31.25
2003-10-13,128.07667,128.90411,127.00099,127.00099,TP,82.74,107.57,118.21,106.568,8.25
2003-10-14,127.4,128.25384,126.29,128.25384,SL,85.38,111.0,121.98,-86.3843,9.75
2003-10-15,127.61667,128.50502,126.46181,128.50502,SL,88.84,115.49,126.91,-89.8354,133.5
2003-10-16,127.49,128.3584,126.36108,128.3584,SL,86.84,112.89,124.06,-87.84,107.75
2003-10-17,127.24333,128.09921,126.1307,128.09921,SL,85.59,111.26,122.27,-86.5872,82.0
2003-10-19,127.61,128.39575,126.58852,128.39575,SL,78.58,102.15,112.25,-79.5753,35.75
2003-10-20,127.49333,128.24896,126.51102,128.24896,SL,75.56,98.23,107.95,-76.5628,10.25
2003-10-21,128.11,128.88865,127.09775,128.88865,SL,77.87,101.23,111.24,-78.8655,50.5
2003-10-22,127.83667,128.6032,126.84017,128.6032,SL,76.65,99.65,109.51,-77.6536,15.5
2003-10-24,129.30667,130.10197,128.27278,128.27278,TP,79.53,103.39,113.61,102.3889,63.75
2003-10-25,129.03167,129.83056,127.99311,127.99311,TP,79.89,103.86,114.13,102.856,50.75
2003-10-26,128.67,129.41298,127.70413,127.70413,TP,74.3,96.59,106.14,95.5872,27.25
2003-10-27,128.415,129.13401,127.48029,127.48029,TP,71.9,93.47,102.72,92.4711,3.25
2003-10-28,127.62333,128.35148,126.67674,126.67674,TP,72.82,94.66,104.02,93.6596,5.25
2003-10-29,126.57333,127.31847,125.60465,127.31847,SL,74.51,96.87,106.45,-75.514,63.0
2003-10-30,126.31,127.03142,125.37216,127.03142,SL,72.14,93.78,103.06,-73.1416,12.5
2003-10-31,126.45333,127.18122,125.50708,127.18122,SL,72.79,94.63,103.98,-73.7886,14.0
