date,entry_px,sl_px,tp_px,exit_px,exit_reason,sl_dist_pips,tp_dist_pips,atr_pips,net_pips,hold_hours
2003-08-18,134.15367,134.84937,133.24926,133.24926,TP,69.57,90.44,99.39,89.441,14.75
2003-08-19,133.36,134.07501,132.43049,132.43049,TP,71.5,92.95,102.14,91.9509,6.75
2003-08-20,132.21333,132.94827,131.25792,131.25792,TP,73.49,95.54,104.99,94.5416,10.5
2003-08-21,131.43667,132.19611,130.44939,130.44939,TP,75.94,98.73,108.49,97.7272,6.5
2003-08-22,129.4,130.26069,128.2811,128.2811,TP,86.07,111.89,122.96,110.8902,12.0
2003-08-23,128.00533,128.88905,126.8565,126.8565,TP,88.37,114.88,126.25,113.8831,71.0
2003-08-25,127.65,128.44767,126.61303,128.44767,SL,79.77,103.7,113.95,-80.7672,59.25
2003-08-26,127.35,128.1712,126.28245,128.1712,SL,82.12,106.76,117.31,-83.1196,33.0
2003-08-28,127.83333,128.67048,126.74505,126.74505,TP,83.71,108.83,119.59,107.8286,134.25
2003-09-01,128.19333,128.96824,127.18596,127.18596,TP,77.49,100.74,110.7,99.7375,30.5
2003-09-02,127.93,128.70455,126.92308,126.92308,TP,77.46,100.69,110.65,99.692,8.0
2003-09-03,126.42,127.26173,125.32575,125.32575,TP,84.17,109.42,120.25,108.4247,1.0
2003-09-04,125.52667,126.36827,124.43258,126.36827,SL,84.16,109.41,120.23,-85.1605,1.75
2003-09-09,129.51667,130.42218,128.3395,130.42218,SL,90.55,117.72,129.36,-91.551,16.25
2003-09-12,131.08667,132.0733,129.80405,132.0733,SL,98.66,128.26,140.95,-99.6632,13.5
2003-09-16,132.41667,133.32292,131.23854,131.23854,TP,90.62,117.81,129.46,116.8125,7.5
2003-09-17,130.61,131.60902,129.31128,129.31128,TP,99.9,129.87,142.72,128.8723,5.25
2003-09-19,130.01,131.06579,128.63747,128.63747,TP,105.58,137.25,150.83,136.2528,69.75
2003-09-22,128.76667,129.78777,127.43923,127.43923,TP,102.11,132.74,145.87,131.7436,61.0
2003-09-23,128.51667,129.50584,127.23075,127.23075,TP,98.92,128.59,141.31,127.5919,146.75
2003-09-27,128.28733,129.22388,127.06982,127.06982,TP,93.65,121.75,133.79,120.7513,55.25
2003-10-03,129.78667,130.7239,128.56826,128.56826,TP,93.72,121.84,133.89,120.8408,12.75
2003-10-04,128.72633,129.67267,127.49609,129.67267,SL,94.63,123.02,135.19,-95.6341,63.25
2003-10-08,129.39333,130.2984,128.21675,128.21675,TP,90.51,117.66,129.3,116.6585,36.5
2003-10-10,128.42,129.34664,127.21537,127.21537,TP,92.66,120.46,132.38,119.4629,8.25
2003-10-16,127.49,128.3584,126.36108,128.3584,SL,86.84,112.89,124.06,-87.84,107.75
2003-10-17,127.24333,128.09921,126.1307,128.09921,SL,85.59,111.26,122.27,-86.5872,82.0
2003-10-20,127.49333,128.24896,126.51102,128.24896,SL,75.56,98.23,107.95,-76.5628,10.25
2003-10-22,127.83667,128.6032,126.84017,128.6032,SL,76.65,99.65,109.51,-77.6536,15.5
2003-10-25,129.03167,129.83056,127.99311,127.99311,TP,79.89,103.86,114.13,102.856,50.75
2003-10-26,128.67,129.41298,127.70413,127.70413,TP,74.3,96.59,106.14,95.5872,27.25
2003-10-27,128.415,129.13401,127.48029,127.48029,TP,71.9,93.47,102.72,92.4711,3.25
2003-10-28,127.62333,128.35148,126.67674,126.67674,TP,72.82,94.66,104.02,93.6596,5.25
2003-10-29,126.57333,127.31847,125.60465,127.31847,SL,74.51,96.87,106.45,-75.514,63.0
2003-10-30,126.31,127.03142,125.37216,127.03142,SL,72.14,93.78,103.06,-73.1416,12.5
2003-10-31,126.45333,127.18122,125.50708,127.18122,SL,72.79,94.63,103.98,-73.7886,14.0
2003-11-02,127.4,128.10608,126.4821,128.10608,SL,70.61,91.79,100.87,-71.608,35.0
2003-11-03,127.173,127.84815,126.29531,127.84815,SL,67.51,87.77,96.45,-68.5146,7.75
2003-11-04,127.29333,127.98475,126.39449,126.39449,TP,69.14,89.88,98.77,88.8848,2.0
2003-11-05,126.12333,126.82987,125.20484,125.20484,TP,70.65,91.85,100.93,90.8494,129.25
2003-11-06,125.72333,126.4324,124.80155,124.80155,TP,70.91,92.18,101.3,91.1788,106.0
2003-11-07,125.73,126.41792,124.8357,124.8357,TP,68.79,89.43,98.27,88.4296,82.0
2003-11-09,126.1,126.72658,125.28544,125.28544,TP,62.66,81.46,89.51,80.4559,33.25
2003-11-11,124.98333,125.65119,124.11512,125.65119,SL,66.79,86.82,95.41,-67.7854,26.75
2003-11-18,128.40667,129.07689,127.53537,129.07689,SL,67.02,87.13,95.75,-68.0225,18.25
2003-11-21,129.80333,130.53814,128.84809,128.84809,TP,73.48,95.52,104.97,94.5248,81.75
2003-11-25,129.03667,129.7396,128.12286,129.7396,SL,70.29,91.38,100.42,-71.2929,13.5
2003-11-26,129.11667,129.82639,128.19403,129.82639,SL,70.97,92.26,101.39,-71.9719,10.5
2003-11-30,131.47,132.15523,130.5792,132.15523,SL,68.52,89.08,97.89,-69.523,23.75
2003-12-02,131.12,131.8437,130.17918,131.8437,SL,72.37,94.08,103.39,-73.3704,15.5
2003-12-05,130.82,131.56406,129.85272,131.56406,SL,74.41,96.73,106.29,-75.4058,105.0
2003-12-08,130.941,131.58508,130.10369,131.58508,SL,64.41,83.73,92.01,-65.4082,33.0
2003-12-14,132.4,133.0385,131.56995,131.56995,TP,63.85,83.0,91.21,82.0045,22.0
2003-12-15,131.77967,132.43211,130.9315,132.43211,SL,65.24,84.82,93.21,-66.2439,14.25
2003-12-17,132.60333,133.26597,131.74191,133.26597,SL,66.26,86.14,94.66,-67.2634,18.75
2003-12-20,133.48,134.13693,132.62598,134.13693,SL,65.69,85.4,93.85,-66.6935,257.5
2003-12-21,133.36,133.97001,132.56699,133.97001,SL,61.0,79.3,87.14,-62.0011,231.5
2003-12-22,133.36567,133.95806,132.59556,133.95806,SL,59.24,77.01,84.63,-60.2389,207.5
2003-12-23,133.36667,133.94824,132.61062,133.94824,SL,58.16,75.6,83.08,-59.1575,183.5
2003-12-24,133.18,133.74353,132.44741,133.74353,SL,56.35,73.26,80.5,-57.3534,17.25
2003-12-26,133.47,134.01323,132.76381,134.01323,SL,54.32,70.62,77.6,-55.3226,111.75
2003-12-28,133.53,134.03043,132.87944,134.03043,SL,50.04,65.06,71.49,-51.0429,64.0
2003-12-29,133.395,133.87888,132.76595,133.87888,SL,48.39,62.9,69.13,-49.3884,39.0
2004-01-04,134.69,135.23076,133.98701,135.23076,SL,54.08,70.3,77.25,-55.0762,23.5
2004-01-06,134.94333,135.5134,134.20225,135.5134,SL,57.01,74.11,81.44,-58.0065,11.0
2004-01-07,135.18333,135.79168,134.39248,134.39248,TP,60.83,79.09,86.91,78.085,8.5
