date,entry_px,sl_px,tp_px,exit_px,exit_reason,sl_dist_pips,tp_dist_pips,atr_pips,net_pips,hold_hours
2003-08-06,136.47833,137.57593,135.05145,135.05145,TP,109.76,142.69,156.8,141.688,50.0
2003-08-07,136.389,137.27835,135.23284,135.23284,TP,88.94,115.62,127.05,114.6155,16.0
2003-08-08,135.66,136.54042,134.51545,134.51545,TP,88.04,114.46,125.78,113.4553,16.5
2003-08-09,134.789,135.65971,133.65707,133.65707,TP,87.07,113.19,124.39,112.1926,54.5
2003-08-10,134.66,135.12301,134.05809,134.05809,TP,46.3,60.19,66.14,59.1908,25.25
2003-08-11,134.51,134.82235,134.10394,134.10394,TP,31.24,40.61,44.62,39.6059,0.25
2003-08-12,134.27333,134.96501,133.37415,134.96501,SL,69.17,89.92,98.81,-70.1677,30.25
2003-08-13,134.05333,134.91017,132.93944,134.91017,SL,85.68,111.39,122.41,-86.6838,16.25
2003-08-14,134.46333,135.40975,133.23299,133.23299,TP,94.64,123.03,135.2,122.0345,96.5
2003-08-15,134.36667,135.37538,133.05534,133.05534,TP,100.87,131.13,144.1,130.1322,87.5
2003-08-17,134.18,134.5783,133.66221,133.66221,TP,39.83,51.78,56.9,50.7793,34.75
2003-08-18,134.15367,134.43402,133.78921,133.78921,TP,28.04,36.45,40.05,35.4457,10.0
2003-08-19,133.36,133.98318,132.54987,132.54987,TP,62.32,81.01,89.03,80.0128,5.75
2003-08-20,132.21333,133.02192,131.16217,131.16217,TP,80.86,105.12,115.51,104.1164,10.75
2003-08-21,131.43667,132.37996,130.21038,130.21038,TP,94.33,122.63,134.76,121.6282,6.75
2003-08-22,129.4,130.96015,127.37181,127.37181,TP,156.01,202.82,222.88,201.8191,14.5
2003-08-23,128.00533,129.37691,126.22229,126.22229,TP,137.16,178.3,195.94,177.3046,255.75
2003-08-24,127.86,128.56609,126.94209,126.94209,TP,70.61,91.79,100.87,90.7913,46.25
2003-08-25,127.65,128.23404,126.89074,128.23404,SL,58.4,75.93,83.43,-59.4043,8.25
2003-08-26,127.35,128.20552,126.23782,128.20552,SL,85.55,111.22,122.22,-86.5522,33.75
2003-08-27,127.48667,128.34843,126.36638,128.34843,SL,86.18,112.03,123.11,-87.1761,7.75
2003-08-28,127.83333,128.76471,126.62254,126.62254,TP,93.14,121.08,133.05,120.0795,134.25
2003-08-29,127.57,128.49419,126.36855,128.49419,SL,92.42,120.14,132.03,-93.419,20.0
2003-08-31,128.3,128.84727,127.58855,127.58855,TP,54.73,71.15,78.18,70.1454,35.5
2003-09-01,128.19333,128.63497,127.61921,127.61921,TP,44.16,57.41,63.09,56.4127,11.5
2003-09-02,127.93,128.53582,127.14244,127.14244,TP,60.58,78.76,86.55,77.7564,6.5
2003-09-03,126.42,127.58041,124.91147,127.58041,SL,116.04,150.85,165.77,-117.0409,43.0
2003-09-04,125.52667,126.52687,124.2264,126.52687,SL,100.02,130.03,142.89,-101.0205,2.5
2003-09-07,129.59,130.37775,128.56592,130.37775,SL,78.78,102.41,112.54,-79.7751,21.5
2003-09-08,130.21,130.99238,129.19291,129.19291,TP,78.24,101.71,111.77,100.7088,10.0
2003-09-09,129.51667,130.48185,128.26192,130.48185,SL,96.52,125.47,137.88,-97.5188,16.25
2003-09-10,130.45333,131.80043,128.70211,131.80043,SL,134.71,175.12,192.44,-135.7094,18.25
2003-09-11,130.83333,131.93388,129.40262,131.93388,SL,110.05,143.07,157.22,-111.0547,7.0
2003-09-12,131.08667,132.32644,129.47496,132.32644,SL,123.98,161.17,177.11,-124.9773,13.75
2003-09-14,132.41,133.17232,131.41899,131.41899,TP,76.23,99.1,108.9,98.1014,54.75
2003-09-15,132.21,132.77666,131.47334,132.77666,SL,56.67,73.67,80.95,-57.6659,8.25
2003-09-16,132.41667,133.015,131.63884,131.63884,TP,59.83,77.78,85.48,76.7828,6.75
2003-09-17,130.61,132.01166,128.78784,128.78784,TP,140.17,182.22,200.24,181.2164,117.0
2003-09-18,130.55667,132.052,128.61273,128.61273,TP,149.53,194.39,213.62,193.3932,86.75
2003-09-19,130.01,131.38067,128.22813,128.22813,TP,137.07,178.19,195.81,177.1866,70.75
2003-09-21,129.92,130.63087,128.99587,128.99587,TP,71.09,92.41,101.55,91.4127,21.0
2003-09-22,128.76667,129.8151,127.4037,127.4037,TP,104.84,136.3,149.78,135.2963,170.0
2003-09-23,128.51667,129.32788,127.46209,127.46209,TP,81.12,105.46,115.89,104.4582,37.0
2003-09-24,128.22,129.06311,127.12396,129.06311,SL,84.31,109.6,120.44,-85.3108,40.25
2003-09-25,128.23,129.11355,127.08138,127.08138,TP,88.36,114.86,126.22,113.862,102.5
2003-09-26,128.54333,129.37361,127.46397,127.46397,TP,83.03,107.94,118.61,106.936,74.0
2003-09-27,128.28733,129.00102,127.35954,127.35954,TP,71.37,92.78,101.96,91.7795,50.0
2003-09-28,128.08,128.46379,127.58107,127.58107,TP,38.38,49.89,54.83,48.8933,25.0
2003-09-29,127.90667,128.24906,127.46155,127.46155,TP,34.24,44.51,48.91,43.5116,2.0
2003-09-30,128.67,129.8597,127.12339,129.8597,SL,118.97,154.66,169.96,-119.9699,7.25
2003-10-01,129.50667,130.75252,127.88706,127.88706,TP,124.58,161.96,177.98,160.9604,192.5
2003-10-02,129.89,130.95042,128.51145,128.51145,TP,106.04,137.86,151.49,136.8552,39.5
2003-10-03,129.78667,130.76138,128.51954,128.51954,TP,97.47,126.71,139.24,125.7126,13.0
2003-10-04,128.72633,129.74604,127.40072,129.74604,SL,101.97,132.56,145.67,-102.9706,63.25
2003-10-05,128.36,128.88455,127.67808,128.88455,SL,52.46,68.19,74.94,-53.4553,36.5
2003-10-06,128.56333,129.00761,127.98577,129.00761,SL,44.43,57.76,63.47,-45.4277,12.5
2003-10-07,129.46667,130.4343,128.20874,128.20874,TP,96.76,125.79,138.23,124.793,47.0
2003-10-08,129.39333,130.42665,128.05002,128.05002,TP,103.33,134.33,147.62,133.3315,36.75
2003-10-09,129.41,130.24516,128.32429,128.32429,TP,83.52,108.57,119.31,107.5707,12.25
2003-10-10,128.42,129.56558,126.93075,126.93075,TP,114.56,148.93,163.65,147.9254,80.5
2003-10-12,128.26,128.83864,127.50776,127.50776,TP,57.86,75.22,82.66,74.2238,30.5
2003-10-13,128.07667,128.50249,127.5231,127.5231,TP,42.58,55.36,60.83,54.3569,6.5
2003-10-14,127.4,128.21141,126.34517,128.21141,SL,81.14,105.48,115.92,-82.1411,9.75
2003-10-15,127.61667,128.69087,126.2202,128.69087,SL,107.42,139.65,153.46,-108.4206,134.0
2003-10-16,127.49,128.3316,126.39592,128.3316,SL,84.16,109.41,120.23,-85.1603,107.75
2003-10-17,127.24333,128.01063,126.24584,128.01063,SL,76.73,99.75,109.61,-77.7301,80.75
2003-10-19,127.61,127.98645,127.12061,127.98645,SL,37.65,48.94,53.78,-38.645,32.75
2003-10-20,127.49333,127.86356,127.01204,127.86356,SL,37.02,48.13,52.89,-38.0225,6.75
2003-10-21,128.11,128.83411,127.16865,128.83411,SL,72.41,94.13,103.44,-73.4113,47.75
2003-10-22,127.83667,128.50322,126.97014,128.50322,SL,66.66,86.65,95.22,-67.6556,14.5
2003-10-24,129.30667,130.21881,128.12089,128.12089,TP,91.21,118.58,130.31,117.5781,65.5
2003-10-25,129.03167,129.91054,127.88914,127.88914,TP,87.89,114.25,125.55,113.253,51.0
2003-10-26,128.67,129.11748,128.08827,128.08827,TP,44.75,58.17,63.93,57.173,24.75
2003-10-27,128.415,128.84244,127.85932,127.85932,TP,42.74,55.57,61.06,54.5675,3.0
2003-10-28,127.62333,128.26055,126.79495,126.79495,TP,63.72,82.84,91.03,81.8388,1.5
2003-10-29,126.57333,127.37494,125.53124,127.37494,SL,80.16,104.21,114.52,-81.1611,63.0
2003-10-30,126.31,126.91731,125.5205,126.91731,SL,60.73,78.95,86.76,-61.7305,12.25
2003-10-31,126.45333,127.16299,125.53078,127.16299,SL,70.97,92.25,101.38,-71.9653,14.0
