tp_mult,n_trades,total_pips,cal_ppd,win_rate,avg_pips_per_trade
1.2,2948,54221.5,6.5715,0.5848,18.3926
1.22,2948,54012.79,6.5462,0.5794,18.3218
1.24,2948,53270.81,6.4563,0.5723,18.0702
1.26,2948,52341.0,6.3436,0.5661,17.7547
1.28,2948,53261.84,6.4552,0.5631,18.0671
1.3,2948,53167.82,6.4438,0.5583,18.0352
1.32,2948,53237.54,6.4523,0.5539,18.0589
1.34,2948,54463.83,6.6009,0.5516,18.4748
1.36,2948,55517.37,6.7286,0.5485,18.8322
1.38,2948,55928.89,6.7784,0.5444,18.9718
1.4,2948,56128.78,6.8027,0.54,19.0396
1.42,2948,54682.05,6.6273,0.5329,18.5489
1.44,2948,54474.06,6.6021,0.5282,18.4783
1.46,2948,54213.7,6.5706,0.5231,18.39
1.48,2948,54293.78,6.5803,0.5183,18.4172
1.5,2948,54906.75,6.6546,0.5149,18.6251
