pair,buy_tp_above_yh_pips,sell_tp_after_buytp_below_yh_pips,sell_sl_above_yh_pips,shared_selltp_buysl_offset_from_yl_pips,traded_days,total_pips,raw_pips_per_day,total_weighted_pips,weighted_pips_per_day_per_100_units
EURJPY,10,5,150,-20,55,335.0,0.4589,45146.0,0.6184
EURJPY,10,5,150,-10,55,305.0,0.4178,43088.0,0.5902
EURJPY,10,5,150,0,55,245.0,0.3356,38219.0,0.5235
EURJPY,10,5,150,10,55,200.0,0.274,31856.0,0.4364
EURJPY,10,5,150,20,55,110.0,0.1507,22847.0,0.313
EURJPY,10,5,200,-20,55,235.0,0.3219,32146.0,0.4404
EURJPY,10,5,200,-10,55,205.0,0.2808,30088.0,0.4122
EURJPY,10,5,200,0,55,145.0,0.1986,25219.0,0.3455
EURJPY,10,5,200,10,55,100.0,0.137,18856.0,0.2583
EURJPY,10,5,200,20,55,10.0,0.0137,9847.0,0.1349
EURJPY,10,5,250,-20,55,210.7,0.2886,28987.0,0.3971
EURJPY,10,5,250,-10,55,180.7,0.2475,26929.0,0.3689
EURJPY,10,5,250,0,55,120.7,0.1653,22060.0,0.3022
EURJPY,10,5,250,10,55,75.7,0.1037,15697.0,0.215
EURJPY,10,5,250,20,55,-14.3,-0.0196,6688.0,0.0916
EURJPY,10,5,300,-20,55,209.0,0.2863,28766.0,0.3941
EURJPY,10,5,300,-10,55,179.0,0.2452,26708.0,0.3659
EURJPY,10,5,300,0,55,119.0,0.163,21839.0,0.2992
EURJPY,10,5,300,10,55,74.0,0.1014,15476.0,0.212
EURJPY,10,5,300,20,55,-16.0,-0.0219,6467.0,0.0886
EURJPY,10,5,350,-20,55,209.0,0.2863,28766.0,0.3941
EURJPY,10,5,350,-10,55,179.0,0.2452,26708.0,0.3659
EURJPY,10,5,350,0,55,119.0,0.163,21839.0,0.2992
EURJPY,10,5,350,10,55,74.0,0.1014,15476.0,0.212
EURJPY,10,5,350,20,55,-16.0,-0.0219,6467.0,0.0886
EURJPY,10,5,400,-20,55,209.0,0.2863,28766.0,0.3941
EURJPY,10,5,400,-10,55,179.0,0.2452,26708.0,0.3659
EURJPY,10,5,400,0,55,119.0,0.163,21839.0,0.2992
EURJPY,10,5,400,10,55,74.0,0.1014,15476.0,0.212
EURJPY,10,5,400,20,55,-16.0,-0.0219,6467.0,0.0886
EURJPY,10,10,150,-20,55,-100.0,-0.137,-11404.0,-0.1562
EURJPY,10,10,150,-10,55,-140.0,-0.1918,-14762.0,-0.2022
EURJPY,10,10,150,0,55,100.0,0.137,19369.0,0.2653
EURJPY,10,10,150,10,55,40.0,0.0548,11056.0,0.1515
EURJPY,10,10,150,20,55,-80.0,-0.1096,-1853.0,-0.0254
EURJPY,10,10,200,-20,55,-400.0,-0.5479,-50404.0,-0.6905
EURJPY,10,10,200,-10,55,-440.0,-0.6027,-53762.0,-0.7365
EURJPY,10,10,200,0,55,-100.0,-0.137,-6631.0,-0.0908
EURJPY,10,10,200,10,55,-160.0,-0.2192,-14944.0,-0.2047
EURJPY,10,10,200,20,55,-280.0,-0.3836,-27853.0,-0.3815
EURJPY,10,10,250,-20,55,-435.4,-0.5964,-55006.0,-0.7535
EURJPY,10,10,250,-10,55,-475.4,-0.6512,-58364.0,-0.7995
EURJPY,10,10,250,0,55,-128.5,-0.176,-10336.0,-0.1416
EURJPY,10,10,250,10,55,-188.5,-0.2582,-18649.0,-0.2555
EURJPY,10,10,250,20,55,-308.5,-0.4226,-31558.0,-0.4323
EURJPY,10,10,300,-20,55,-486.4,-0.6663,-61636.0,-0.8443
EURJPY,10,10,300,-10,55,-526.4,-0.7211,-64994.0,-0.8903
EURJPY,10,10,300,0,55,-180.2,-0.2468,-17057.0,-0.2337
EURJPY,10,10,300,10,55,-240.2,-0.329,-25370.0,-0.3475
EURJPY,10,10,300,20,55,-360.2,-0.4934,-38279.0,-0.5244
EURJPY,10,10,350,-20,55,-477.6,-0.6542,-60492.0,-0.8287
EURJPY,10,10,350,-10,55,-517.6,-0.709,-63850.0,-0.8747
EURJPY,10,10,350,0,55,-171.4,-0.2348,-15913.0,-0.218
EURJPY,10,10,350,10,55,-231.4,-0.317,-24226.0,-0.3319
EURJPY,10,10,350,20,55,-351.4,-0.4814,-37135.0,-0.5087
EURJPY,10,10,400,-20,55,-477.6,-0.6542,-60492.0,-0.8287
EURJPY,10,10,400,-10,55,-517.6,-0.709,-63850.0,-0.8747
EURJPY,10,10,400,0,55,-171.4,-0.2348,-15913.0,-0.218
EURJPY,10,10,400,10,55,-231.4,-0.317,-24226.0,-0.3319
EURJPY,10,10,400,20,55,-351.4,-0.4814,-37135.0,-0.5087
EURJPY,10,15,150,-20,55,-80.0,-0.1096,-8804.0,-0.1206
EURJPY,10,15,150,-10,55,-130.0,-0.1781,-13462.0,-0.1844
EURJPY,10,15,150,0,55,100.0,0.137,19369.0,0.2653
