entry_leg1_pct,entry_leg2_pct,entry_leg3_pct,tp_pct_of_unit,sl_pct_of_unit,days_traded,filled_legs,closed_legs,wins,losses,time_exits,win_rate_excl_time_exit,total_pips,cal_ppd
0.15,0.3,0.9,1.0,0.3,6034,10566,10566,1426,6540,2600,0.179011,3223.0317,0.5336
0.15,0.3,0.6,1.0,0.3,6034,11589,11589,1533,7125,2931,0.177062,2765.865,0.4579
0.15,0.3,0.75,1.0,0.3,6034,11028,11028,1480,6802,2746,0.178701,2740.2967,0.4537
0.15,0.3,0.9,1.0,0.5,6034,10566,10566,1776,4803,3987,0.26995,1995.4717,0.3304
0.15,0.3,0.6,1.0,0.2,6034,11589,11589,1248,8345,1996,0.130095,1751.765,0.29
0.15,0.3,0.9,1.0,0.4,6034,10566,10566,1615,5626,3325,0.223035,1750.0917,0.2898
0.15,0.3,0.9,1.0,0.2,6034,10566,10566,1153,7633,1780,0.131232,1268.935,0.2101
0.15,0.3,0.75,1.0,0.4,6034,11028,11028,1682,5840,3506,0.223611,1039.0933,0.172
0.15,0.3,0.75,1.0,0.5,6034,11028,11028,1843,4991,4194,0.269681,667.035,0.1104
0.15,0.3,0.6,1.0,0.5,6034,11589,11589,1905,5208,4476,0.267819,624.015,0.1033
0.15,0.3,0.45,1.0,0.3,6034,12237,12237,1588,7574,3075,0.173325,617.5117,0.1022
0.15,0.3,0.6,1.0,0.4,6034,11589,11589,1734,6134,3721,0.220386,49.0783,0.0081
0.15,0.3,0.75,1.0,0.2,6034,11028,11028,1193,7965,1870,0.130269,-24.3767,-0.004
0.15,0.3,0.45,1.0,0.2,6034,12237,12237,1285,8878,2074,0.126439,-833.7183,-0.138
0.15,0.3,0.9,0.8,0.3,6034,10566,10566,1943,6411,2212,0.232583,-851.7533,-0.141
0.15,0.3,0.9,0.8,0.2,6034,10566,10566,1594,7505,1467,0.175184,-1087.2417,-0.18
0.15,0.3,0.45,1.0,0.4,6034,12237,12237,1806,6483,3948,0.217879,-1274.12,-0.2109
0.15,0.6,0.9,1.0,0.2,6034,9076,9076,945,6506,1625,0.126829,-1458.1617,-0.2414
0.15,0.3,0.6,0.8,0.2,6034,11589,11589,1715,8223,1651,0.17257,-1573.6417,-0.2605
0.15,0.3,0.6,0.8,0.3,6034,11589,11589,2090,6998,2501,0.229974,-1932.88,-0.32
0.15,0.3,0.75,0.8,0.3,6034,11028,11028,1997,6688,2343,0.229937,-2265.2017,-0.375
0.15,0.6,0.9,0.8,0.2,6034,9076,9076,1323,6388,1365,0.171573,-2352.425,-0.3895
0.15,0.3,0.9,1.0,0.65,6034,10566,10566,1945,3842,4779,0.336098,-2435.2733,-0.4032
0.15,0.6,0.9,1.0,0.3,6034,9076,9076,1180,5570,2326,0.174815,-2558.0317,-0.4235
0.15,0.75,0.9,1.0,0.3,6034,8515,8515,1127,5247,2141,0.176812,-2583.6,-0.4277
0.15,0.3,0.9,0.8,0.5,6034,10566,10566,2401,4674,3491,0.339364,-2590.6567,-0.4289
0.15,0.6,0.75,1.0,0.2,6034,9538,9538,985,6838,1715,0.125911,-2751.4733,-0.4555
0.15,0.3,0.9,0.8,0.4,6034,10566,10566,2190,5504,2872,0.284637,-2950.4517,-0.4885
0.15,0.3,0.45,1.0,0.5,6034,12237,12237,1979,5534,4724,0.26341,-2968.64,-0.4915
0.15,0.6,0.75,1.0,0.3,6034,9538,9538,1234,5832,2472,0.174639,-3040.7667,-0.5034
0.15,0.3,0.45,0.8,0.3,6034,12237,12237,2194,7435,2608,0.227853,-3216.6567,-0.5326
0.15,0.75,0.9,1.0,0.2,6034,8515,8515,890,6126,1499,0.126853,-3234.3033,-0.5355
0.15,0.3,0.45,0.8,0.2,6034,12237,12237,1792,8748,1697,0.170019,-3479.4617,-0.5761
0.15,0.3,0.75,0.8,0.2,6034,11028,11028,1628,7855,1545,0.171676,-3511.02,-0.5813
0.15,0.45,0.6,1.0,0.2,6034,10747,10747,1077,7751,1919,0.121998,-3560.815,-0.5895
