indicator,trades,win_rate,total_pips,avg_pips_per_trade,profit_factor
rsi2,61,0.639344262295082,14.869999999994775,0.24377049180319305,1.0198771103556064
hl_range_pct,37,0.6486486486486487,-15.34500000001583,-0.41472972973015754,0.9686161020155324
cci20,45,0.7111111111111111,-42.79166666667436,-0.9509259259260969,0.9167949445029424
ema20_dist,36,0.5833333333333334,-128.9733333333303,-3.582592592592508,0.7874789906735139
tr,40,0.6,-147.73499999999956,-3.693374999999989,0.7193670633601473
sma20_dist,38,0.6578947368421053,-159.56333333335,-4.199035087719737,0.7391889462184924
rsi14,33,0.5757575757575758,-172.79166666667027,-5.23611111111122,0.6426909755130832
di_minus14,39,0.5384615384615384,-199.1550000000202,-5.10653846153898,0.6332241638095047
roc10,53,0.5660377358490566,-202.24666666668145,-3.8159748427675746,0.6810894908911063
keltner_pos,40,0.575,-204.68666666666252,-5.117166666666563,0.6383755579897125
