indicator,side,bucket,bin,trades,win_rate,expectancy_pips,avg_r,rr_ratio,profit_factor
cci20,SELL,00-05%,Q2,50,0.58,1.0681333333333498,-0.0003466503139414,1.5092332031305906,2.0841791852755778
cci20,SELL,05-10%,Q1,32,0.90625,3.2460937499999574,0.0328129890552306,0.1909360809113026,1.8457154488092595
cci20,SELL,10-15%,Q5,59,0.864406779661017,4.03471751412444,0.0852581424811674,0.2678362358411094,1.7074560034870725
cci20,SELL,15-20%,Q5,67,0.835820895522388,5.289004975124082,0.1822021292231671,0.3264858393827984,1.662109727766974
cci20,SELL,20-25%,Q5,83,0.6626506024096386,2.895642570281213,0.0813740429984069,0.5947293455602156,1.1682183573504237
cci20,SELL,25-30%,Q1,36,0.5555555555555556,3.105787037036714,0.0728490227884087,0.9712471481676256,1.214058935209532
cci20,SELL,30-35%,Q5,52,0.4807692307692308,-1.590480769230886,0.0878979129377836,0.9857762978148022,0.912755831310002
di_minus14,SELL,00-05%,Q4,59,0.6101694915254238,-0.4291525423729593,-0.018788212527701,0.5000174872978271,0.7826360670748598
di_minus14,SELL,05-10%,Q5,41,0.8780487804878049,1.8826016260162544,-0.003612353133899,0.1857340998177653,1.33728551868791
di_minus14,SELL,10-15%,Q1,53,0.9056603773584906,5.657672955974889,0.1382195826115545,0.2410765162251823,2.3143345557617505
di_minus14,SELL,15-20%,Q5,49,0.7755102040816326,3.922278911564865,0.1089351132762178,0.3809613793710358,1.3160484014635785
di_minus14,SELL,20-25%,Q1,76,0.6578947368421053,3.711951754386496,0.0850511683054859,0.6381899115769306,1.2272882914940972
di_minus14,SELL,25-30%,Q3,79,0.5569620253164557,4.861603375527286,0.0722548636708271,1.0444487390682566,1.3130212719715226
di_minus14,SELL,30-35%,Q2,35,0.5428571428571428,4.887523809523226,0.230654830286229,1.0942391480243452,1.2994089882789095
ema20_dist,SELL,00-05%,Q4,42,0.8809523809523809,0.4329365079366393,0.0045208964802601,0.1793427610519214,1.3271364317842187
ema20_dist,SELL,05-10%,Q1,35,0.9142857142857144,5.282952380952419,0.0409433969358073,0.2475672158301006,2.6407169688544068
ema20_dist,SELL,10-15%,Q5,61,0.8688524590163934,4.496557377049142,0.0936024220507928,0.2503223457258116,1.658385540433502
ema20_dist,SELL,15-20%,Q2,44,0.8181818181818182,7.280340909091389,0.1572402746145753,0.4971424607236103,2.2371410732562462
ema20_dist,SELL,20-25%,Q1,49,0.6938775510204082,7.698673469387867,0.1429577607259622,0.6563567031220594,1.4877418604100012
ema20_dist,SELL,25-30%,Q5,121,0.5371900826446281,-0.0108953168046689,0.0419022609366499,0.8610491657941555,0.9994320674396446
ema20_dist,SELL,30-35%,Q4,31,0.5483870967741935,11.20962365591392,0.2314968120918181,1.7223158441196946,2.0913835250024864
hl_range_pct,SELL,00-05%,Q3,54,0.7777777777777778,-1.1633641975308924,-0.028247698786371,0.1497246329491525,0.524036215322034
hl_range_pct,SELL,05-10%,Q5,57,0.8771929824561403,1.2200292397662318,0.0025719054501915,0.1581449671517564,1.1296069082268314
hl_range_pct,SELL,10-15%,Q3,64,0.859375,2.9829687499997712,0.0833626622937407,0.2586219763999497,1.5804676335552486
hl_range_pct,SELL,15-20%,Q5,68,0.7794117647058824,7.313235294117781,0.1241308011798606,0.3992188428967642,1.4105732449019004
hl_range_pct,SELL,20-25%,Q4,80,0.65,2.7503125000001702,0.0695787298445243,0.6442577447704718,1.1964786688594478
hl_range_pct,SELL,25-30%,Q4,92,0.5543478260869565,1.6500905797099497,0.0799563563008494,0.8884679475794388,1.105167446989058
hl_range_pct,SELL,30-35%,Q2,35,0.5428571428571428,3.999142857143073,0.1967467958798203,1.4708654136809487,1.7466526787461265
keltner_pos,SELL,00-05%,Q4,52,0.8269230769230769,1.6397435897436594,0.024598045508096,4.234831264205494,20.23308270675958
keltner_pos,SELL,05-10%,Q2,53,0.8679245283018868,1.3838050314466304,-0.0140738023007384,0.1888635716659405,1.2411034709476096
keltner_pos,SELL,10-15%,Q4,46,0.8695652173913043,5.396413043478271,0.0996213576065029,0.3076885071182042,2.0512567141213616
keltner_pos,SELL,15-20%,Q2,52,0.8269230769230769,10.081858974359369,0.1805451594126478,0.5439992017363411,2.5991072971847404
keltner_pos,SELL,20-25%,Q1,46,0.717391304347826,6.831557971014786,0.1592656892830191,0.5899387149040922,1.4975367378334647
keltner_pos,SELL,25-30%,Q4,83,0.5783132530120482,6.276947791164369,0.115298310685152,1.101234394588365,1.5102643125783293
keltner_pos,SELL,30-35%,Q4,38,0.6052631578947368,14.966710526315875,0.3724484069614134,1.7677107240594336,2.710489776891131
roc10,SELL,00-05%,Q4,38,0.868421052631579,0.0276315789474509,-0.0003295366209296,0.1543602944497217,1.0187779433681636
roc10,SELL,05-10%,Q1,41,0.8536585365853658,1.7802845528456963,-0.0209590855184301,0.2151225291513413,1.254881420049491
roc10,SELL,10-15%,Q4,46,0.8695652173913043,3.5488043478259006,0.0934067074543599,0.2448651475725229,1.632434317150153
roc10,SELL,15-20%,Q5,78,0.8205128205128205,4.619230769230581,0.1682239333848454,0.3146016600453988,1.438179017350395
roc10,SELL,20-25%,Q4,79,0.6582278481012658,4.397299578059115,0.0726254531990327,0.688086409321869,1.3252034549902665
roc10,SELL,25-30%,Q3,74,0.5405405405405406,2.088918918918873,0.0333783558819783,0.9627462701935816,1.1326426708159782
roc10,SELL,30-35%,Q1,30,0.5,5.8711666666667295,0.1276670839849338,1.431634666045858,1.431634666045858
rsi14,SELL,00-05%,Q4,46,0.8478260869565217,1.2884057971015737,0.0234137900682326,3.2778192681099543,18.262135922326888
rsi14,SELL,05-10%,Q2,51,0.9215686274509804,3.1285947712417643,0.0420165995472336,0.1509593599394665,1.773772479288731
rsi14,SELL,10-15%,Q4,52,0.903846153846154,7.395897435897317,0.140781516286992,0.2920045768298589,2.744843022200674
rsi14,SELL,15-20%,Q2,54,0.8333333333333334,11.01487654321022,0.1903218197803695,0.6117758368044139,3.0588791840220697
rsi14,SELL,20-25%,Q1,44,0.7272727272727273,8.63462121212153,0.1749548620500729,0.6289851024761977,1.677293606603194
